bucket_minutes,model,max_depth,min_samples_leaf,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,n_folds
15,pooled_mean,,,14.400700290892104,0.8675554582234825,17.701190310960918,1.3167199416266648,-0.03436276770166442,0.04600322164872775,5
15,time_aware_tree,3.0,5.0,7.200984836184601,1.0350476402106656,11.751261620699912,1.3650046194292629,0.5161129250767034,0.21773009929632595,5
15,time_aware_tree,5.0,5.0,6.940941798711319,1.0464479577300412,11.722470189272135,1.2946216011703087,0.5203686699914146,0.20453768468902608,5
15,time_aware_tree,5.0,10.0,6.934490632391804,1.049583270838774,11.71903772424799,1.298010319827778,0.5205986225937185,0.20470790514243556,5
15,time_aware_tree,8.0,5.0,6.941268401885114,1.0037869484781798,11.720926101606553,1.3722998351576494,0.5209242217038256,0.2010865797454959,5
15,time_aware_tree,,5.0,6.975510172709605,1.0045957358224051,11.761862828999845,1.3509180602191042,0.5176865736518215,0.20185613677754122,5
30,pooled_mean,,,28.310164479318587,1.8784664433279006,33.26308854671785,2.647881353379196,-0.040279967715700374,0.05497164270585024,5
30,time_aware_tree,3.0,5.0,12.85186790280859,1.6352923407014823,20.09287117542319,3.120918298215201,0.5830321534585872,0.24106771548654515,5
30,time_aware_tree,5.0,5.0,12.25924528695359,1.7410819284769676,20.023355023877805,3.0156539954682997,0.5884520073614342,0.22552112388579343,5
30,time_aware_tree,5.0,10.0,12.35429562220107,1.7066956615304019,20.188209394238555,2.895002183461255,0.5827487665373086,0.22424157379916476,5
30,time_aware_tree,8.0,5.0,12.292977298828076,1.6739508479152445,20.108374887812253,3.068669669087722,0.5865491078670511,0.21851752305845004,5
30,time_aware_tree,,5.0,12.327722863556197,1.6943969135874437,20.166340798201894,3.071526994267038,0.5839717070366305,0.2206621732299316,5
60,pooled_mean,,,55.291988268385936,4.733643823920289,61.45962488157365,4.980272392882388,-0.048547241485244676,0.06554880804026365,5
60,time_aware_tree,3.0,5.0,19.498841150986653,5.4938324823502676,30.4787183833616,9.568211700617853,0.6839365605579648,0.28366609794710956,5
60,time_aware_tree,5.0,5.0,18.457200463286117,5.163567082273776,30.889455454260315,9.016203899750293,0.6825959987070256,0.2626201609823679,5
60,time_aware_tree,5.0,10.0,18.83209633996124,4.83419470847581,31.158338645310323,8.757331811900087,0.679342040141419,0.2595357452440368,5
60,time_aware_tree,8.0,5.0,18.45816830195618,5.4400865829338985,30.77072470644403,9.461337650380905,0.6839025951273976,0.2619901298840614,5
60,time_aware_tree,,5.0,18.518734895856106,5.41420649625389,30.828594968056382,9.457069575590669,0.6826252897663279,0.2635582632926927,5
