bucket_minutes,fold,model,mae,rmse,r2,max_depth,min_samples_leaf
15,1,pooled_mean,14.724293817572713,17.840482235038625,-0.005519229459072905,,
15,1,time_aware_tree,6.839831682700869,10.610200792055073,0.6443486944745087,3.0,5.0
15,1,time_aware_tree,6.497374744352921,10.33407303548767,0.6626192845360133,5.0,5.0
15,1,time_aware_tree,6.492697287970921,10.333514086142715,0.6626557800454487,5.0,10.0
15,1,time_aware_tree,6.233608140225787,9.949142534175532,0.6872851485803202,8.0,5.0
15,1,time_aware_tree,6.232470538720539,10.017942868751062,0.6829452215509171,,5.0
15,2,pooled_mean,14.609800778566521,17.873187111509992,-5.1652547577774044e-05,,
15,2,time_aware_tree,6.640053665842535,10.39926247551774,0.6614494624853902,3.0,5.0
15,2,time_aware_tree,6.550002016389212,10.71744451524231,0.6404155393108394,5.0,5.0
15,2,time_aware_tree,6.522423641173641,10.700841139466533,0.6415288068129229,5.0,10.0
15,2,time_aware_tree,6.711524971941639,10.93429330462362,0.6257172026865438,8.0,5.0
15,2,time_aware_tree,6.807852833894501,11.022021925631185,0.6196871766390628,,5.0
15,3,pooled_mean,12.867922926746456,15.678475512658757,-0.11213074770261744,,
15,3,time_aware_tree,9.040409818136618,13.76009551965312,0.14337433609873118,3.0,5.0
15,3,time_aware_tree,8.780181323139695,13.476783468759283,0.17828600203782874,5.0,5.0
15,3,time_aware_tree,8.780181323139695,13.476783468759283,0.17828600203782874,5.0,10.0
15,3,time_aware_tree,8.661081973581975,13.334936699659165,0.1954924929813634,8.0,5.0
15,3,time_aware_tree,8.692121535871536,13.387549801468085,0.18913158728772528,,5.0
15,4,pooled_mean,14.821104328276462,17.741380288315177,-0.03933107723307794,,
15,4,time_aware_tree,6.8764373726873735,12.285246086709861,0.5016358155142777,3.0,5.0
15,4,time_aware_tree,6.706046717500493,12.534270587491815,0.4812271550135542,5.0,5.0
15,4,time_aware_tree,6.706046717500493,12.534270587491815,0.4812271550135542,5.0,10.0
15,4,time_aware_tree,6.876365875696372,12.79472596233641,0.4594435169749387,8.0,5.0
15,4,time_aware_tree,6.876797874253369,12.782631765371042,0.46046495452175307,,5.0
15,5,pooled_mean,14.980379603298372,19.37242640728203,-0.014781131565976047,,
15,5,time_aware_tree,6.608191641555612,11.701503229563773,0.6297563168106091,3.0,5.0
15,5,time_aware_tree,6.171104192174269,11.549779339379604,0.6392953690588377,5.0,5.0
15,5,time_aware_tree,6.171104192174269,11.549779339379604,0.6392953690588377,5.0,10.0
15,5,time_aware_tree,6.223761047979798,11.591532007238033,0.6366827472959614,8.0,5.0
15,5,time_aware_tree,6.26830808080808,11.599167783777853,0.6362039282596492,,5.0
30,1,pooled_mean,28.975367712209817,33.86303536064286,-0.006423074752250235,,
30,1,time_aware_tree,12.08946390658174,17.996382847094665,0.715750791253279,3.0,5.0
30,1,time_aware_tree,11.299180473602917,17.352666418448493,0.7357218527083198,5.0,5.0
30,1,time_aware_tree,11.729131327338077,18.108154905626836,0.7122089927028141,5.0,10.0
30,1,time_aware_tree,11.065659501996715,16.820017474711012,0.7516971510214557,8.0,5.0
30,1,time_aware_tree,11.00888047138047,16.825307607299397,0.7515409369674662,,5.0
30,2,pooled_mean,28.640985324947593,33.77720118403778,-3.8192110693335835e-05,,
30,2,time_aware_tree,11.857462368845598,17.189581784327736,0.740999927114042,3.0,5.0
30,2,time_aware_tree,11.457176031039667,17.904510356033406,0.7190078661456278,5.0,5.0
30,2,time_aware_tree,11.442950441814078,17.888857549133554,0.7194989594999185,5.0,10.0
30,2,time_aware_tree,11.790247715247718,18.50097752859401,0.6999741903635012,8.0,5.0
30,2,time_aware_tree,11.94436026936027,18.675020348874167,0.6943028199664252,,5.0
30,3,pooled_mean,25.010616237946206,28.882980239806255,-0.1339576443031707,,
30,3,time_aware_tree,15.686288153302545,24.676136481800125,0.17231105603865315,3.0,5.0
30,3,time_aware_tree,15.191753283864776,24.044275041428648,0.21415625411155348,5.0,5.0
30,3,time_aware_tree,15.221440123400098,24.127290697220918,0.20872045257096894,5.0,10.0
30,3,time_aware_tree,14.95277326839827,23.72632538813554,0.23480206203094656,8.0,5.0
30,3,time_aware_tree,15.023027898027898,23.84454503728621,0.22715765873807225,,5.0
30,4,pooled_mean,29.35591580582129,33.691544936035854,-0.04380700293013251,,
30,4,time_aware_tree,12.819057280831474,21.889067767087653,0.5594117756349242,3.0,5.0
30,4,time_aware_tree,12.472786960514235,22.443762677220974,0.5367987854298588,5.0,5.0
30,4,time_aware_tree,12.502626532706746,22.445183192953973,0.53674014950103,5.0,10.0
30,4,time_aware_tree,12.813666025332692,23.023672826789348,0.5125528176789933,8.0,5.0
30,4,time_aware_tree,12.790291806958475,22.996785862945888,0.5136906311208078,,5.0
30,5,pooled_mean,29.567937315668033,36.10068101306652,-0.017173924482255076,,
30,5,time_aware_tree,11.807067804481598,18.713186996805774,0.726687217252038,3.0,5.0
30,5,time_aware_tree,10.875329685746353,18.3715606262575,0.7365752784118113,5.0,5.0
30,5,time_aware_tree,10.875329685746353,18.3715606262575,0.7365752784118113,5.0,10.0
30,5,time_aware_tree,10.842539983164984,18.470881220831362,0.7337193182403583,8.0,5.0
30,5,time_aware_tree,10.872053872053872,18.490045134603804,0.7331664883903812,,5.0
60,1,pooled_mean,56.832121212121216,62.40411379213568,-0.010540483746569018,,
60,1,time_aware_tree,16.202919490261262,25.247046357588083,0.8345950770102416,3.0,5.0
60,1,time_aware_tree,15.07693602693603,25.96464363704595,0.8250588371113595,5.0,5.0
60,1,time_aware_tree,16.603086419753087,26.476437902933423,0.8180942667198033,5.0,10.0
60,1,time_aware_tree,13.664875864875864,22.805923191741183,0.8650345549511064,8.0,5.0
60,1,time_aware_tree,13.701899951899952,22.849411122987068,0.8645193410738693,,5.0
60,2,pooled_mean,56.23623166336733,62.07997283203684,-1.7303612499519616e-05,,
60,2,time_aware_tree,15.43284228916234,21.824792360175998,0.8764039135361861,3.0,5.0
60,2,time_aware_tree,16.057108884381613,23.92575411929649,0.8514626235392257,5.0,5.0
60,2,time_aware_tree,16.467909867909867,24.57315081817928,0.8433154514144185,5.0,10.0
60,2,time_aware_tree,16.525485008818343,25.280130138225452,0.83417000447704,8.0,5.0
60,2,time_aware_tree,16.669965528298864,25.378852947651286,0.8328722920845356,,5.0
60,3,pooled_mean,46.967578469256324,53.060741723671455,-0.1607913657565685,,
60,3,time_aware_tree,28.600249458144198,43.86270872754261,0.2067712771363206,3.0,5.0
60,3,time_aware_tree,26.877819306959694,42.607530187160975,0.25151990266816837,5.0,5.0
60,3,time_aware_tree,26.737434195880798,42.585757776212624,0.2522846525852849,5.0,10.0
60,3,time_aware_tree,26.891169268441995,42.192898167504154,0.26601657821672264,8.0,5.0
60,3,time_aware_tree,26.891169268441995,42.342307485887176,0.2608091554932649,,5.0
60,4,pooled_mean,58.304569625728305,63.454988989773376,-0.05082192860207635,,
60,4,time_aware_tree,20.74862468107149,37.236628739929536,0.638141906761772,3.0,5.0
60,4,time_aware_tree,19.882133455769818,38.56061637395429,0.6119519409786642,5.0,5.0
