model,mean_arrivals_per_slot,mae,rmse,r2,notes,source_eventlog,tree_max_depth,tree_min_samples_leaf
pooled_exponential_rate,30.082387557797393,28.982190984842866,34.59549824464337,-0.0008725393747586185,single arrival rate across all periods,s6_train.csv,,
time_aware_decision_tree,29.060924369747898,9.414151190902324,16.872532573858056,0.7619324815904623,"tree conditioned on hour, weekday, weekend indicator",s6_train.csv,5.0,5.0
