activity,max_depth,min_samples_leaf,baseline_mae_mean,baseline_rmse_mean,baseline_r2_mean,tree_mae_mean,tree_rmse_mean,tree_r2_mean,tree_mae_std,tree_rmse_std,tree_r2_std,n_folds
Gate In,3.0,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5
Gate In,5.0,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5
Gate In,5.0,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5
Gate In,8.0,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5
Gate In,,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5
Gate Out,3.0,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5
Gate Out,5.0,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5
Gate Out,5.0,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5
Gate Out,8.0,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5
Gate Out,,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5
HO2_delivery,3.0,5,6.889048211779094,9.730862932240644,-0.01743887862292639,6.787266565005117,9.866919017993908,-0.04713937514057942,0.9164872392860044,1.3147930664390646,0.09020688342569,5
HO2_delivery,5.0,5,6.889048211779094,9.730862932240644,-0.01743887862292639,6.936830746902691,10.243209132628744,-0.13389094611910385,0.9805577854759235,1.345751391662503,0.13646432176795806,5
HO2_delivery,5.0,10,6.889048211779094,9.730862932240644,-0.01743887862292639,7.1313031411142465,10.397176649292302,-0.160882835970943,1.1643055236656943,1.4919453190688676,0.12159124578905714,5
HO2_delivery,8.0,5,6.889048211779094,9.730862932240644,-0.01743887862292639,7.234897441529796,10.785270833837174,-0.2714424564426441,1.032733732826393,1.6179453409765872,0.27882644783953714,5
HO2_delivery,,5,6.889048211779094,9.730862932240644,-0.01743887862292639,7.8780609121518195,11.568643670801807,-0.4603126991553513,1.2405202587704056,1.7164745547905067,0.30659127498606514,5
HO2_mixed,3.0,5,10.744517449427837,13.629439862668278,-0.07027782803871205,10.4653622526119,13.831197229690346,-0.10338169463560502,0.6976526261246683,0.8962269476029654,0.13264317067447104,5
HO2_mixed,5.0,5,10.744517449427837,13.629439862668278,-0.07027782803871205,10.981826858325189,14.794219327054265,-0.2656405995249902,0.6179382943475634,1.1783935839157145,0.19612317956894898,5
HO2_mixed,5.0,10,10.744517449427837,13.629439862668278,-0.07027782803871205,10.820338765128849,14.229994500474618,-0.168052770152624,0.4917957359087193,0.6722062790229427,0.11946931965411774,5
HO2_mixed,8.0,5,10.744517449427837,13.629439862668278,-0.07027782803871205,11.440726898329107,15.502684821644593,-0.39099627810983484,0.4112292584948367,1.1338820731035006,0.21353604165081622,5
HO2_mixed,,5,10.744517449427837,13.629439862668278,-0.07027782803871205,11.875745398934768,16.076464396512034,-0.4915098252445863,0.7656083468411808,1.5039735448089468,0.232387487060127,5
HO2_receive,3.0,5,8.704799721948204,12.203860558228836,-0.04630446970172488,8.718328575762753,12.298993039037718,-0.06604249883448747,0.9635850106637659,1.7424334388231744,0.1533183693352229,5
HO2_receive,5.0,5,8.704799721948204,12.203860558228836,-0.04630446970172488,9.033030447605388,12.95962720275445,-0.1892766735572923,0.5109571595372141,1.4441751246155006,0.14055883065316319,5
HO2_receive,5.0,10,8.704799721948204,12.203860558228836,-0.04630446970172488,8.914907829364118,12.641956201152345,-0.1266663867571202,0.5484935300475244,1.4422257972874677,0.08537080156378146,5
HO2_receive,8.0,5,8.704799721948204,12.203860558228836,-0.04630446970172488,9.408230438253959,13.620011072362834,-0.31968980383518636,0.6233927974414326,1.2599589826560902,0.16296245235734924,5
HO2_receive,,5,8.704799721948204,12.203860558228836,-0.04630446970172488,10.224440973502489,14.43860638636398,-0.4798473503701768,1.0576214703648084,1.6733056094124095,0.21272165871082208,5
LL_delivery,3.0,5,6.465752840619952,9.561654164026574,-0.028220139765756748,5.690228139188045,8.47289242670063,0.19490576865122503,0.6095617878964963,0.9760635048710042,0.08415551664451401,5
LL_delivery,5.0,5,6.465752840619952,9.561654164026574,-0.028220139765756748,5.596366849764186,8.475285885318826,0.19414604025761836,0.5972238634685804,1.0509864131536837,0.10452761458802934,5
LL_delivery,5.0,10,6.465752840619952,9.561654164026574,-0.028220139765756748,5.65671222104111,8.596644561670722,0.16865666170868926,0.5897275679025872,0.9359095945843058,0.09770682598861527,5
LL_delivery,8.0,5,6.465752840619952,9.561654164026574,-0.028220139765756748,5.8448940895172115,9.138534615304199,0.06017559801789294,0.8638440462447021,1.233746101541408,0.1615457672004957,5
LL_delivery,,5,6.465752840619952,9.561654164026574,-0.028220139765756748,6.280013747437517,9.671354969158923,-0.05586355404496428,0.7614474590344018,1.0772855352459147,0.16097973887332484,5
LL_mixed,3.0,5,5.497085706090507,7.728397914737764,-0.032956303705353296,4.937180863991534,7.161602423543772,0.1065860299891207,0.40025057753836224,0.8700664044499237,0.10448645341932293,5
LL_mixed,5.0,5,5.497085706090507,7.728397914737764,-0.032956303705353296,4.81461067306318,7.094699939217163,0.11751231549457883,0.3303187150434783,0.8018516500916101,0.1332947100944268,5
LL_mixed,5.0,10,5.497085706090507,7.728397914737764,-0.032956303705353296,4.857097827284785,7.119803142564299,0.1040878111953131,0.33012273212441307,0.7964437486111713,0.17483237908306806,5
LL_mixed,8.0,5,5.497085706090507,7.728397914737764,-0.032956303705353296,5.155700532133992,7.616513755992708,-0.03725623616833258,0.32627882307140815,0.6387168540292903,0.2483647150038608,5
LL_mixed,,5,5.497085706090507,7.728397914737764,-0.032956303705353296,5.642831132452981,8.147689419916663,-0.19930199325933082,0.21288159210872754,0.5197648951857166,0.329992296286625,5
LL_receive,3.0,5,5.420253141420291,8.111229449318483,-0.0984444184353364,5.797576566314528,8.650501454763525,-0.2847897454159862,1.8943676127218185,3.5588120227868547,0.09854921156835755,5
