demand_multiplier,metric,n,mean,std,min,max
1.0,mean_turnaround_min,2,32.00325,0.46209428150540705,31.6765,32.33
1.0,median_turnaround_min,2,27.5,0.7071067811865476,27.0,28.0
1.0,p90_turnaround_min,2,54.0,1.4142135623730951,53.0,55.0
1.0,mean_rmg_service_min,2,10.82793873303144,0.07219037366166627,10.776892430278885,10.878985035783995
1.0,median_rmg_service_min,2,8.0,0.0,8.0,8.0
1.0,p90_rmg_service_min,2,21.0,1.4142135623730951,20.0,22.0
1.0,mean_rmg_pre_service_min,2,7.994848193433164,0.33407613964837685,7.758620689655173,8.231075697211155
1.0,median_rmg_pre_service_min,2,5.5,0.7071067811865476,5.0,6.0
1.0,p90_rmg_pre_service_min,2,18.5,0.7071067811865476,18.0,19.0
1.0,rmg_events,2,1521.5,21.920310216782973,1506.0,1537.0
1.0,rmg_receive_events,2,929.0,5.656854249492381,925.0,933.0
1.0,mean_rmg_receive_service_min,2,10.880404970887286,0.14008420115269862,10.781350482315112,10.97945945945946
1.0,median_rmg_receive_service_min,2,8.5,0.7071067811865476,8.0,9.0
1.0,p90_rmg_receive_service_min,2,20.5,0.7071067811865476,20.0,21.0
1.0,mean_rmg_receive_pre_service_min,2,7.972477622316851,0.3294096298973329,7.739549839228296,8.205405405405406
1.0,median_rmg_receive_pre_service_min,2,5.0,0.0,5.0,5.0
1.0,p90_rmg_receive_pre_service_min,2,18.5,0.7071067811865476,18.0,19.0
1.0,rmg_delivery_events,2,486.0,16.97056274847714,474.0,498.0
1.0,mean_rmg_delivery_service_min,2,8.793210817955366,0.4713506007985675,8.459915611814345,9.126506024096386
1.0,median_rmg_delivery_service_min,2,6.5,0.7071067811865476,6.0,7.0
1.0,p90_rmg_delivery_service_min,2,17.150000000000006,1.6263455967290674,16.0,18.30000000000001
1.0,mean_rmg_delivery_pre_service_min,2,8.044977377865894,0.16016035095199335,7.931726907630522,8.158227848101266
1.0,median_rmg_delivery_pre_service_min,2,5.5,0.7071067811865476,5.0,6.0
1.0,p90_rmg_delivery_pre_service_min,2,18.5,0.7071067811865476,18.0,19.0
1.0,mean_inter_arrival_min,2,0.6735867933966984,0.044216281965141796,0.6423211605802901,0.7048524262131065
1.0,zero_inter_arrival_share,2,0.5552776388194096,0.01414921022884539,0.545272636318159,0.5652826413206603
1.0,arrival_rate_per_elapsed_hour,2,89.26770825733104,5.859803365182057,85.12420156139106,93.41121495327103
1.2,mean_turnaround_min,2,32.30229166666667,0.04566731295162985,32.27,32.334583333333335
1.2,median_turnaround_min,2,28.0,0.0,28.0,28.0
1.2,p90_turnaround_min,2,54.5,0.7071067811865476,54.0,55.0
