log,fitness_log,fitness_perc_fit_traces,fitness_average_trace,precision_token,compute_seconds,generalization,simplicity
train,1.0,100.0,1.0,0.7778335918009575,2.8642194271087646,0.9733215545882588,0.5
test,1.0,100.0,1.0,0.7572874765352642,0.7226901054382324,0.946051670699561,0.5
