seed,scenario,sim_cases,sim_events,rmg_events,mean_turnaround_min,median_turnaround_min,p90_turnaround_min,max_turnaround_min,mean_rmg_service_min,median_rmg_service_min,p90_rmg_service_min,mean_rmg_pre_service_min,median_rmg_pre_service_min,p90_rmg_pre_service_min,rmg_receive_events,mean_rmg_receive_service_min,median_rmg_receive_service_min,p90_rmg_receive_service_min,mean_rmg_receive_pre_service_min,median_rmg_receive_pre_service_min,p90_rmg_receive_pre_service_min,rmg_delivery_events,mean_rmg_delivery_service_min,median_rmg_delivery_service_min,p90_rmg_delivery_service_min,mean_rmg_delivery_pre_service_min,median_rmg_delivery_pre_service_min,p90_rmg_delivery_pre_service_min,mean_inter_arrival_min,zero_inter_arrival_share,arrival_span_min,arrival_rate_per_elapsed_hour,service_events_above_24h,turnaround_cases_above_24h
42,baseline,250,769,182,32.464,28.0,59.099999999999994,89.0,10.791208791208792,9.0,20.900000000000006,7.961538461538462,6.0,17.0,116,11.448275862068966,9.0,21.0,9.086206896551724,7.0,20.5,53,8.641509433962264,7.0,19.200000000000017,6.037735849056604,4.0,13.600000000000009,0.606425702811245,0.5783132530120482,151.0,98.94039735099338,0,0
42,t22_closed,250,779,187,34.04,28.0,58.19999999999999,150.0,11.385026737967914,8.0,21.400000000000006,8.946524064171124,7.0,20.0,117,11.487179487179487,8.0,22.400000000000006,8.871794871794872,6.0,19.0,57,8.964912280701755,7.0,16.799999999999997,8.894736842105264,8.0,20.4,0.606425702811245,0.5783132530120482,151.0,98.94039735099338,0,0
42,demand_plus_20pct,250,780,184,34.304,30.0,58.0,147.0,11.652173913043478,9.0,25.0,8.027173913043478,5.0,19.700000000000017,117,11.025641025641026,9.0,21.80000000000001,7.94017094017094,6.0,19.0,54,10.425925925925926,7.0,26.0,8.0,5.0,23.400000000000006,0.5060240963855421,0.6305220883534136,126.0,118.57142857142857,0,0
43,baseline,250,766,197,33.888,29.0,61.0,114.0,12.543147208121827,9.0,22.400000000000006,7.710659898477157,6.0,16.0,119,13.403361344537815,10.0,24.0,8.134453781512605,6.0,16.200000000000003,64,9.671875,7.0,18.700000000000003,6.75,4.5,14.0,0.6265060240963856,0.5140562248995983,156.0,95.76923076923077,0,0
43,t22_closed,250,763,196,32.932,28.0,60.099999999999994,122.0,11.596938775510203,8.0,23.0,8.051020408163266,5.0,16.5,118,11.728813559322035,8.0,22.799999999999983,7.686440677966102,5.0,17.299999999999997,64,9.296875,7.0,17.700000000000003,7.859375,5.5,16.0,0.6265060240963856,0.5140562248995983,156.0,95.76923076923077,0,0
43,demand_plus_20pct,250,766,196,32.772,28.0,58.19999999999999,107.0,12.979591836734693,9.0,28.0,7.551020408163265,5.0,17.5,119,13.512605042016807,9.0,30.60000000000001,8.033613445378151,5.0,17.0,63,9.365079365079366,7.0,20.400000000000013,6.73015873015873,3.0,18.800000000000004,0.5220883534136547,0.5783132530120482,130.0,114.92307692307692,0,0
