scenario,metric,n,mean_delta,std_delta,ci95_delta_lo,ci95_delta_hi,mean_delta_pct,std_delta_pct,ci95_delta_pct_lo,ci95_delta_pct_hi,ci_excludes_zero
t22_closed,mean_turnaround_min,2,0.3100000000000023,1.7903943699643359,-15.776055195997138,16.396055195997143,1.0167752899296436,5.427515325196692,-47.747515171938545,49.781065751797826,False
t22_closed,median_turnaround_min,2,-0.5,0.7071067811865476,-6.853102368087347,5.853102368087347,-1.7241379310344827,2.438299245470853,-23.631387476163262,20.183111614094294,False
t22_closed,p90_turnaround_min,2,-0.9000000000000057,0.0,-0.9000000000000057,-0.9000000000000057,-1.4991262378297507,0.033540057025574964,-1.8004716942506385,-1.197780781408863,True
t22_closed,mean_rmg_service_min,2,-0.17619524292625055,1.0889630960592207,-9.960140480623515,9.607749994771016,-1.0204174698652229,9.225213565669286,-83.90567286483932,81.86483792510887,False
t22_closed,median_rmg_service_min,2,-1.0,0.0,-1.0,-1.0,-11.11111111111111,0.0,-11.11111111111111,-11.11111111111111,True
t22_closed,p90_rmg_service_min,2,0.5499999999999972,0.07071067811865074,-0.08531023680870153,1.1853102368086958,2.5354579630895286,0.20239300384267997,0.7170289701733681,4.353886956005689,False
t22_closed,mean_rmg_pre_service_min,2,0.6626730561593854,0.45581877454551617,-3.432696148367887,4.758042260686658,8.392977616036514,5.626904351160984,-42.16275216833222,58.948707400405254,False
t22_closed,median_rmg_pre_service_min,2,0.0,1.4142135623730951,-12.706204736174694,12.706204736174694,0.0,23.570226039551585,-211.7700789362449,211.7700789362449,False
t22_closed,p90_rmg_pre_service_min,2,1.75,1.7677669529663689,-14.132755920218367,17.632755920218365,10.386029411764707,10.268646270907585,-81.87409688950376,102.64615571303318,False
t22_closed,rmg_events,2,2.0,4.242640687119285,-36.11861420852408,40.11861420852408,1.1198192670273888,2.301538499594748,-19.558683727221325,21.798322261276102,False
t22_closed,rmg_receive_events,2,0.0,1.4142135623730951,-12.706204736174694,12.706204736174694,0.0108664155317299,1.2037821905160726,-10.804687456538153,10.826420287601612,False
t22_closed,mean_rmg_receive_service_min,2,-0.8178220800526299,1.2115931114753817,-11.703554292599264,10.067910132494003,-6.07683524557332,9.074522035490164,-87.60818095858225,75.45451046743561,False
t22_closed,median_rmg_receive_service_min,2,-1.5,0.7071067811865476,-7.853102368087347,4.853102368087347,-15.555555555555555,6.285393610547089,-72.02757660522086,40.91646549410975,False
t22_closed,p90_rmg_receive_service_min,2,0.09999999999999432,1.8384776310850397,-16.41806615702725,16.61806615702724,0.8333333333333113,8.249579113843124,-73.28619429435302,74.95286096101965,False
