case:concept:name,concept:name,org:resource,enabled:timestamp,start:timestamp,time:timestamp,process_flow_type,visit_complexity,target_rank,target_area,has_reefer,n_receives,target_demand_bin,mt_utilization,target_demand,n_stops,rmg_demand,mt_demand,target_rank_group,vc_utilization,n_deliveries,rmg_utilization,target_utilization,vc_demand,gate_demand,gate_utilization,full_ratio,target_utilization_bin,has_hazardous,primary_target_area,n_containers
case_1863,Gate In,Res.GateIn,2026-04-21 13:57:00,2026-04-21 13:57:00,2026-04-21 13:57:00,receive,4,17.0,T07,0,1,low,0.8761,3.43,1,103.4,27.67,low,0.47,0,0.6161,0.4878,23.33,148.23,0.6361,1.0,low,0,T07,1
case_1830,Gate Out,Res.GateOut,2026-04-21 13:53:00,2026-04-21 13:58:00,2026-04-21 13:58:00,mixed,12,10.0,T13,0,1,medium,0.69,6.5,1,118.5,34.33,mid,0.5188,1,0.5496,0.6488,19.17,157.5,0.5696,1.0,high,0,T13,2
case_1853,LL_delivery,LL,2026-04-21 13:51:00,2026-04-21 13:58:00,2026-04-21 14:03:00,receive,8,14.0,T12,0,2,low,0.8997,4.35,2,97.97,17.82,low,0.4497,0,0.58,0.5303,32.6,137.97,0.61,0.0,medium,0,T12,2
case_1864,Gate In,Res.GateIn,2026-04-21 13:58:00,2026-04-21 13:58:00,2026-04-21 13:58:00,receive,4,19.0,T26,0,1,low,0.8438,3.0,1,99.55,17.55,low,0.4762,0,0.5724,0.3624,12.45,131.3,0.6062,1.0,low,0,T26,1
case_1865,Gate In,Res.GateIn,2026-04-21 13:58:00,2026-04-21 13:58:00,2026-04-21 13:58:00,receive,4,9.0,T15,0,1,high,0.9,8.33,1,127.67,27.0,mid,0.4562,0,0.58,0.6621,34.33,166.33,0.6121,1.0,high,0,T15,1
case_1866,Gate In,Res.GateIn,2026-04-21 13:58:00,2026-04-21 13:58:00,2026-04-21 13:58:00,delivery,3,18.0,T06,0,0,high,0.8109,10.37,1,95.67,8.1,low,0.47,2,0.5591,0.3582,13.73,99.87,0.5891,0.0,low,0,T06,2
case_1867,Gate In,Res.GateIn,2026-04-21 13:58:00,2026-04-21 13:58:00,2026-04-21 13:58:00,mixed,10,20.0,T08,0,1,low,0.85,2.83,2,120.17,35.5,low,0.35,1,0.4627,0.2273,27.33,173.42,0.5127,1.0,low,0,T08,2
case_1868,Gate In,Res.GateIn,2026-04-21 13:58:00,2026-04-21 13:58:00,2026-04-21 13:58:00,mixed,13,9.0,T15,0,1,high,0.8658,9.3,1,143.1,11.3,mid,0.4179,1,0.54,0.6364,16.9,167.5,0.5779,1.0,medium,0,T15,2
case_1869,Gate In,Res.GateIn,2026-04-21 13:58:00,2026-04-21 13:58:00,2026-04-21 13:58:00,delivery,4,2.0,T23,0,0,low,0.8551,2.25,1,80.0,13.7,top_3,0.4126,1,0.54,0.6774,7.1,80.3,0.5726,1.0,high,0,T23,1
case_1828,RMG_receive,T26,2026-04-21 13:36:00,2026-04-21 13:59:00,2026-04-21 14:04:00,receive,4,4.0,T26,0,1,medium,0.8793,6.47,1,49.47,18.67,mid,0.44,0,0.58,0.7207,6.73,62.47,0.61,1.0,very_high,0,T26,1
case_1836,Gate Out,Res.GateOut,2026-04-21 13:47:00,2026-04-21 13:59:00,2026-04-21 13:59:00,delivery,2,10.0,T25,0,0,high,0.8256,7.5,1,108.75,20.25,mid,0.5712,1,0.5456,0.69,28.5,125.5,0.5956,0.0,high,0,T25,1
case_1837,Gate Out,Res.GateOut,2026-04-21 13:51:00,2026-04-21 13:59:00,2026-04-21 13:59:00,delivery,3,12.0,T10,0,0,very_high,0.8277,11.53,1,142.13,19.67,low,0.5338,1,0.6262,0.6938,20.93,178.6,0.64,1.0,high,0,T10,1
case_1856,LL_receive,LL,2026-04-21 13:53:00,2026-04-21 13:59:00,2026-04-21 14:02:00,receive,3,,MT,0,1,very_high,0.851,39.62,1,152.02,39.62,non_rmg,0.42,0,0.529,0.851,19.93,196.02,0.569,0.0,very_high,0,MT,1
case_1867,LL_delivery,LL,2026-04-21 13:58:00,2026-04-21 13:59:00,2026-04-21 15:01:00,mixed,10,20.0,T08,0,1,low,0.85,2.83,2,120.17,35.5,low,0.35,1,0.4627,0.2273,27.33,173.42,0.5127,1.0,low,0,T08,2
case_1870,Gate In,Res.GateIn,2026-04-21 13:59:00,2026-04-21 13:59:00,2026-04-21 13:59:00,mixed,9,6.0,T26,0,1,low,0.893,1.63,2,18.53,8.82,mid,0.443,1,0.56,0.667,3.0,24.27,0.6,0.5,high,0,T26,2
case_1789,Gate Out,Res.GateOut,2026-04-21 13:42:00,2026-04-21 14:00:00,2026-04-21 14:00:00,receive,7,9.0,T11,1,1,low,0.86,3.85,1,86.25,32.05,mid,0.39,0,0.59,0.71,5.05,106.2,0.6,1.0,high,0,T11,1
case_1794,Gate Out,Res.GateOut,2026-04-21 13:50:00,2026-04-21 14:00:00,2026-04-21 14:00:00,mixed,10,9.0,T27,0,1,very_high,0.7478,12.55,2,118.3,33.35,mid,0.4789,1,0.53,0.5956,50.95,201.25,0.5589,0.5,medium,0,T27,2
case_1796,RMG_delivery,T26,2026-04-21 13:20:00,2026-04-21 14:00:00,2026-04-21 14:04:00,delivery,4,8.0,T26,0,0,low,0.8134,4.0,1,96.05,10.35,mid,0.47,1,0.5566,0.69,12.9,112.45,0.5866,1.0,high,0,T26,1
case_1871,Gate In,Res.GateIn,2026-04-21 14:00:00,2026-04-21 14:00:00,2026-04-21 14:00:00,mixed,10,11.0,T18,0,1,low,0.7678,4.2,2,109.15,24.95,low,0.44,1,0.6011,0.6022,23.75,135.0,0.6,0.5,medium,0,T18,2
case_1869,RMG_delivery,T23,2026-04-21 13:58:00,2026-04-21 14:00:00,2026-04-21 14:07:00,delivery,4,2.0,T23,0,0,low,0.8551,2.25,1,80.0,13.7,top_3,0.4126,1,0.54,0.6774,7.1,80.3,0.5726,1.0,high,0,T23,1
case_1870,LL_delivery,LL,2026-04-21 13:59:00,2026-04-21 14:00:00,2026-04-21 14:10:00,mixed,9,6.0,T26,0,1,low,0.893,1.63,2,18.53,8.82,mid,0.443,1,0.56,0.667,3.0,24.27,0.6,0.5,high,0,T26,2
case_1872,Gate In,Res.GateIn,2026-04-21 14:00:00,2026-04-21 14:00:00,2026-04-21 14:00:00,receive,5,5.0,T16,0,1,medium,0.8188,4.58,1,116.18,34.12,mid,0.5028,0,0.5156,0.6712,37.0,183.72,0.5628,1.0,high,0,T16,1
case_1873,Gate In,Res.GateIn,2026-04-21 14:00:00,2026-04-21 14:00:00,2026-04-21 14:00:00,receive,7,13.0,T11,1,1,medium,0.8484,5.83,1,122.83,27.93,low,0.3516,0,0.5016,0.5632,35.57,169.07,0.54,1.0,medium,0,T11,1
case_1819,Gate Out,Res.GateOut,2026-04-21 13:46:00,2026-04-21 14:01:00,2026-04-21 14:01:00,delivery,3,,VC,0,0,very_high,0.7168,11.27,1,25.13,0.0,non_rmg,0.4556,1,0.5188,0.4556,11.27,33.73,0.54,0.0,low,0,VC,1
case_1844,RMG_delivery,T22,2026-04-21 13:46:00,2026-04-21 14:01:00,2026-04-21 14:21:00,delivery,3,3.0,T22,0,0,medium,0.8107,6.4,1,109.4,29.27,top_3,0.3893,1,0.55,0.6987,26.53,154.93,0.5693,0.0,high,0,T22,1
case_1854,HO2_receive,HO2,2026-04-21 13:52:00,2026-04-21 14:01:00,2026-04-21 14:05:00,delivery,4,,VC,0,0,very_high,0.75,33.5,1,119.5,24.5,non_rmg,0.4025,1,0.6,0.4025,33.5,171.0,0.5962,1.0,low,0,VC,1
case_1874,Gate In,Res.GateIn,2026-04-21 14:01:00,2026-04-21 14:01:00,2026-04-21 14:01:00,receive,7,7.0,T20,0,2,high,0.75,9.0,1,119.08,21.73,mid,0.3955,0,0.6,0.7045,37.35,158.03,0.59,1.0,high,0,T20,2
case_1875,Gate In,Res.GateIn,2026-04-21 14:01:00,2026-04-21 14:01:00,2026-04-21 14:01:00,receive,4,11.0,T10,0,1,medium,0.8382,5.37,1,147.93,18.8,low,0.5391,0,0.6209,0.6991,25.27,184.13,0.64,0.0,high,0,T10,1
case_1808,Gate Out,Res.GateOut,2026-04-21 13:58:00,2026-04-21 14:02:00,2026-04-21 14:02:00,receive,4,,VC,0,1,very_high,0.8313,21.07,1,141.27,20.13,non_rmg,0.5357,0,0.6243,0.5357,21.07,178.4,0.64,1.0,medium,0,VC,1
case_1852,RMG_receive,T07,2026-04-21 13:51:00,2026-04-21 14:02:00,2026-04-21 14:05:00,receive,5,17.0,T07,0,1,low,0.863,4.4,1,104.2,6.2,low,0.4165,0,0.54,0.356,8.8,105.6,0.5765,1.0,low,0,T07,1
case_1858,RMG_delivery,T20,2026-04-21 13:55:00,2026-04-21 14:02:00,2026-04-21 14:07:00,delivery,3,3.0,T20,0,0,high,0.8984,7.7,1,116.1,21.55,top_3,0.4484,1,0.58,0.72,26.2,156.1,0.61,0.0,very_high,0,T20,1
case_1862,RMG_receive,T22,2026-04-21 13:57:00,2026-04-21 14:02:00,2026-04-21 14:16:00,receive,5,4.0,T22,0,1,medium,0.8311,7.0,1,104.42,31.75,mid,0.3855,0,0.55,0.6689,9.22,119.43,0.5655,1.0,high,0,T22,1
case_1865,RMG_receive,T15,2026-04-21 13:58:00,2026-04-21 14:02:00,2026-04-21 14:06:00,receive,4,9.0,T15,0,1,high,0.9,8.33,1,127.67,27.0,mid,0.4562,0,0.58,0.6621,34.33,166.33,0.6121,1.0,high,0,T15,1
case_1876,Gate In,Res.GateIn,2026-04-21 14:02:00,2026-04-21 14:02:00,2026-04-21 14:02:00,receive,5,18.0,T06,0,1,low,0.8383,3.9,1,34.0,7.53,low,0.5217,0,0.6117,0.5115,8.1,52.43,0.6317,1.0,medium,0,T06,1
case_1877,Gate In,Res.GateIn,2026-04-21 14:02:00,2026-04-21 14:02:00,2026-04-21 14:02:00,receive,5,4.0,T20,0,1,medium,0.7344,7.0,1,137.25,26.25,mid,0.4156,0,0.5344,0.6275,34.0,166.0,0.5444,1.0,medium,0,T20,1
case_1878,Gate In,Res.GateIn,2026-04-21 14:02:00,2026-04-21 14:02:00,2026-04-21 14:02:00,receive,4,2.0,T24,0,1,low,0.87,4.0,1,103.9,27.1,top_3,0.4672,0,0.62,0.7772,11.1,138.7,0.63,0.0,very_high,0,T24,1
case_1879,Gate In,Res.GateIn,2026-04-21 14:02:00,2026-04-21 14:02:00,2026-04-21 14:02:00,delivery,3,6.0,T13,0,0,medium,0.84,6.7,1,85.13,8.73,mid,0.48,1,0.5764,0.6864,16.27,100.5,0.6,1.0,high,0,T13,1
case_1793,Gate Out,Res.GateOut,2026-04-21 13:48:00,2026-04-21 14:03:00,2026-04-21 14:03:00,delivery,4,11.0,T14,0,0,medium,0.8192,5.45,1,126.3,16.55,low,0.4146,1,0.52,0.5792,19.0,167.0,0.5546,1.0,medium,0,T14,1
case_1853,RMG_receive,T12,2026-04-21 14:03:00,2026-04-21 14:03:00,2026-04-21 14:13:00,receive,8,14.0,T12,0,2,low,0.8997,4.35,2,97.97,17.82,low,0.4497,0,0.58,0.5303,32.6,137.97,0.61,0.0,medium,0,T12,2
case_1872,LL_mixed,LL,2026-04-21 14:00:00,2026-04-21 14:03:00,2026-04-21 14:28:00,receive,5,5.0,T16,0,1,medium,0.8188,4.58,1,116.18,34.12,mid,0.5028,0,0.5156,0.6712,37.0,183.72,0.5628,1.0,high,0,T16,1
case_1880,Gate In,Res.GateIn,2026-04-21 14:03:00,2026-04-21 14:03:00,2026-04-21 14:03:00,receive,6,,MT,1,1,very_high,0.85,46.8,1,114.2,46.8,non_rmg,0.361,0,0.4945,0.85,33.8,187.2,0.5345,0.0,very_high,0,MT,1
case_1881,Gate In,Res.GateIn,2026-04-21 14:04:00,2026-04-21 14:04:00,2026-04-21 14:04:00,mixed,10,6.0,T14,0,1,medium,0.91,5.23,2,119.2,9.45,mid,0.41,1,0.55,0.6535,9.62,130.62,0.59,0.5,high,0,T14,2
case_1882,Gate In,Res.GateIn,2026-04-21 14:04:00,2026-04-21 14:04:00,2026-04-21 14:04:00,receive,6,,MT,1,1,very_high,0.8149,17.55,1,127.55,17.55,non_rmg,0.3851,0,0.55,0.8149,35.45,170.8,0.5651,0.0,very_high,0,MT,1
case_1823,Gate Out,Res.GateOut,2026-04-21 13:52:00,2026-04-21 14:04:00,2026-04-21 14:04:00,receive,7,6.0,T15,1,1,medium,0.75,5.5,1,127.0,22.1,mid,0.3942,0,0.6,0.71,43.1,161.9,0.59,1.0,high,0,T15,1
case_1821,Gate Out,Res.GateOut,2026-04-21 13:53:00,2026-04-21 14:04:00,2026-04-21 14:04:00,delivery,3,,VC,0,0,very_high,0.8524,15.27,1,140.57,29.37,non_rmg,0.42,1,0.5324,0.42,15.27,154.6,0.5724,1.0,low,0,VC,1
case_1826,Gate Out,Res.GateOut,2026-04-21 13:53:00,2026-04-21 14:04:00,2026-04-21 14:04:00,receive,5,5.0,T21,0,1,low,0.89,3.07,1,24.53,2.53,mid,0.44,0,0.5781,0.71,3.63,27.33,0.6081,1.0,high,0,T21,1
case_1855,HO2_receive,HO2,2026-04-21 13:52:00,2026-04-21 14:04:00,2026-04-21 14:19:00,receive,8,,VC,0,2,very_high,0.8187,35.83,1,138.12,25.68,non_rmg,0.53,0,0.6313,0.53,35.83,191.23,0.65,1.0,medium,0,VC,2
case_1861,HO2_receive,HO2,2026-04-21 13:57:00,2026-04-21 14:04:00,2026-04-21 14:07:00,delivery,6,,VC,1,0,very_high,0.7793,36.3,1,120.25,27.58,non_rmg,0.5614,1,0.5907,0.5614,36.3,172.55,0.6207,1.0,medium,0,VC,1
case_1871,LL_delivery,LL,2026-04-21 14:00:00,2026-04-21 14:04:00,2026-04-21 14:09:00,mixed,10,11.0,T18,0,1,low,0.7678,4.2,2,109.15,24.95,low,0.44,1,0.6011,0.6022,23.75,135.0,0.6,0.5,medium,0,T18,2
case_1874,RMG_receive,T20,2026-04-21 14:01:00,2026-04-21 14:04:00,2026-04-21 14:08:00,receive,7,7.0,T20,0,2,high,0.75,9.0,1,119.08,21.73,mid,0.3955,0,0.6,0.7045,37.35,158.03,0.59,1.0,high,0,T20,2
case_1883,Gate In,Res.GateIn,2026-04-21 14:05:00,2026-04-21 14:05:00,2026-04-21 14:05:00,delivery,4,6.0,T14,0,0,medium,0.747,6.6,1,114.0,26.6,mid,0.4635,1,0.52,0.67,20.2,169.0,0.55,1.0,high,0,T14,1
case_1882,LL_receive,LL,2026-04-21 14:04:00,2026-04-21 14:05:00,2026-04-21 14:14:00,receive,6,,MT,1,1,very_high,0.8149,17.55,1,127.55,17.55,non_rmg,0.3851,0,0.55,0.8149,35.45,170.8,0.5651,0.0,very_high,0,MT,1
case_1818,Gate Out,Res.GateOut,2026-04-21 13:48:00,2026-04-21 14:05:00,2026-04-21 14:05:00,mixed,13,20.0,T06,1,1,medium,0.8227,5.07,1,72.73,15.8,low,0.5263,1,0.62,0.47,12.13,121.8,0.64,0.5,low,0,T06,2
case_1840,Gate Out,Res.GateOut,2026-04-21 14:02:00,2026-04-21 14:05:00,2026-04-21 14:05:00,mixed,15,10.0,T14,0,1,medium,0.69,6.37,1,96.47,38.98,mid,0.497,1,0.5441,0.7141,19.37,156.27,0.557,1.0,high,1,T14,2
case_1864,RMG_receive,T26,2026-04-21 13:58:00,2026-04-21 14:05:00,2026-04-21 14:31:00,receive,4,19.0,T26,0,1,low,0.8438,3.0,1,99.55,17.55,low,0.4762,0,0.5724,0.3624,12.45,131.3,0.6062,1.0,low,0,T26,1
case_1881,LL_delivery,LL,2026-04-21 14:04:00,2026-04-21 14:06:00,2026-04-21 14:13:00,mixed,10,6.0,T14,0,1,medium,0.91,5.23,2,119.2,9.45,mid,0.41,1,0.55,0.6535,9.62,130.62,0.59,0.5,high,0,T14,2
case_1884,Gate In,Res.GateIn,2026-04-21 14:06:00,2026-04-21 14:06:00,2026-04-21 14:06:00,receive,5,4.0,T17,0,1,medium,0.7435,5.83,1,105.25,17.83,mid,0.4,0,0.55,0.6635,12.67,112.83,0.56,1.0,high,0,T17,1
case_1779,Gate Out,Res.GateOut,2026-04-21 13:52:00,2026-04-21 14:06:00,2026-04-21 14:06:00,receive,4,,VC,0,1,very_high,0.8589,12.2,1,66.0,13.35,non_rmg,0.47,0,0.5511,0.47,12.2,86.1,0.5911,1.0,low,0,VC,1
case_1817,Gate Out,Res.GateOut,2026-04-21 13:52:00,2026-04-21 14:06:00,2026-04-21 14:06:00,mixed,9,16.0,T10,0,1,medium,0.85,5.67,2,65.0,12.33,low,0.35,1,0.4667,0.46,18.67,100.33,0.5167,0.5,low,0,T10,2
case_1849,Gate Out,Res.GateOut,2026-04-21 13:59:00,2026-04-21 14:06:00,2026-04-21 14:06:00,delivery,3,1.0,T21,0,0,high,0.8437,8.45,1,123.03,13.52,top_3,0.48,1,0.58,0.74,17.07,147.57,0.6037,0.0,very_high,0,T21,1
case_1883,RMG_delivery,T14,2026-04-21 14:05:00,2026-04-21 14:07:00,2026-04-21 14:14:00,delivery,4,6.0,T14,0,0,medium,0.747,6.6,1,114.0,26.6,mid,0.4635,1,0.52,0.67,20.2,169.0,0.55,1.0,high,0,T14,1
case_1804,Gate Out,Res.GateOut,2026-04-21 13:41:00,2026-04-21 14:07:00,2026-04-21 14:07:00,delivery,4,,VC,0,0,very_high,0.91,12.93,1,147.07,5.6,non_rmg,0.42,1,0.56,0.42,12.93,152.33,0.6,1.0,low,0,VC,1
case_1841,RMG_delivery,T09,2026-04-21 13:45:00,2026-04-21 14:07:00,2026-04-21 14:11:00,delivery,3,11.0,T09,0,0,low,0.8005,2.4,1,69.2,10.6,low,0.4095,1,0.4805,0.56,9.6,78.0,0.5205,1.0,medium,0,T09,1
case_1752,Gate Out,Res.GateOut,2026-04-21 13:10:00,2026-04-21 14:07:00,2026-04-21 14:07:00,mixed,12,3.0,T18,0,1,high,0.8465,7.2,1,101.2,14.2,top_3,0.5,1,0.6035,0.7,12.6,137.8,0.6235,0.5,high,0,T18,2
case_1815,Gate Out,Res.GateOut,2026-04-21 13:47:00,2026-04-21 14:08:00,2026-04-21 14:08:00,receive,4,13.0,T16,0,1,very_high,0.9,11.4,1,133.9,10.9,low,0.4759,0,0.58,0.6314,29.2,161.8,0.6186,1.0,medium,0,T16,1
case_1829,Gate Out,Res.GateOut,2026-04-21 13:52:00,2026-04-21 14:08:00,2026-04-21 14:08:00,delivery,4,9.0,T14,0,0,medium,0.7152,5.93,1,106.87,26.17,mid,0.4602,1,0.53,0.6,40.97,170.0,0.5451,1.0,medium,0,T14,1
case_1834,Gate Out,Res.GateOut,2026-04-21 14:01:00,2026-04-21 14:08:00,2026-04-21 14:08:00,delivery,3,,MT,0,0,very_high,0.8381,26.75,1,130.25,26.75,non_rmg,0.5,1,0.5019,0.8381,36.25,190.5,0.56,0.0,very_high,0,MT,1
case_1749,Gate Out,Res.GateOut,2026-04-21 12:58:00,2026-04-21 14:08:00,2026-04-21 14:08:00,delivery,3,9.0,T15,0,0,low,0.81,3.33,1,80.67,9.0,mid,0.4683,1,0.56,0.68,10.33,82.67,0.5892,1.0,high,0,T15,1
case_1868,RMG_mixed,T15,2026-04-21 13:58:00,2026-04-21 14:08:00,2026-04-21 15:05:00,mixed,13,9.0,T15,0,1,high,0.8658,9.3,1,143.1,11.3,mid,0.4179,1,0.54,0.6364,16.9,167.5,0.5779,1.0,medium,0,T15,2
case_1877,RMG_receive,T20,2026-04-21 14:02:00,2026-04-21 14:08:00,2026-04-21 14:18:00,receive,5,4.0,T20,0,1,medium,0.7344,7.0,1,137.25,26.25,mid,0.4156,0,0.5344,0.6275,34.0,166.0,0.5444,1.0,medium,0,T20,1
case_1831,Gate Out,Res.GateOut,2026-04-21 14:07:00,2026-04-21 14:09:00,2026-04-21 14:09:00,mixed,8,18.0,T09,0,1,low,0.9086,2.57,2,141.98,16.85,low,0.3893,1,0.5393,0.3179,22.42,172.68,0.5793,0.5,low,0,T09,2
case_1847,Gate Out,Res.GateOut,2026-04-21 14:02:00,2026-04-21 14:09:00,2026-04-21 14:09:00,receive,5,2.0,T22,0,1,medium,0.84,4.5,1,125.0,3.25,top_3,0.3869,0,0.5869,0.7575,36.0,164.0,0.5969,1.0,very_high,0,T22,1
case_1848,Gate Out,Res.GateOut,2026-04-21 14:03:00,2026-04-21 14:09:00,2026-04-21 14:09:00,receive,5,1.0,T23,0,1,medium,0.9,6.0,1,101.1,13.7,top_3,0.4609,0,0.58,0.7364,25.2,156.8,0.6136,1.0,very_high,0,T23,1
case_1854,Gate Out,Res.GateOut,2026-04-21 14:05:00,2026-04-21 14:09:00,2026-04-21 14:09:00,delivery,4,,VC,0,0,very_high,0.75,33.5,1,119.5,24.5,non_rmg,0.4025,1,0.6,0.4025,33.5,171.0,0.5962,1.0,low,0,VC,1
case_1866,RMG_delivery,T06,2026-04-21 13:58:00,2026-04-21 14:09:00,2026-04-21 14:13:00,delivery,3,18.0,T06,0,0,high,0.8109,10.37,1,95.67,8.1,low,0.47,2,0.5591,0.3582,13.73,99.87,0.5891,0.0,low,0,T06,2
case_1873,RMG_receive,T11,2026-04-21 14:00:00,2026-04-21 14:09:00,2026-04-21 14:21:00,receive,7,13.0,T11,1,1,medium,0.8484,5.83,1,122.83,27.93,low,0.3516,0,0.5016,0.5632,35.57,169.07,0.54,1.0,medium,0,T11,1
case_1885,Gate In,Res.GateIn,2026-04-21 14:10:00,2026-04-21 14:10:00,2026-04-21 14:10:00,delivery,3,,MT,0,0,very_high,0.85,45.68,1,110.72,45.68,non_rmg,0.3651,1,0.4925,0.85,49.05,199.22,0.5325,0.0,very_high,0,MT,1
case_1885,LL_delivery,LL,2026-04-21 14:10:00,2026-04-21 14:10:00,2026-04-21 14:18:00,delivery,3,,MT,0,0,very_high,0.85,45.68,1,110.72,45.68,non_rmg,0.3651,1,0.4925,0.85,49.05,199.22,0.5325,0.0,very_high,0,MT,1
case_1796,Gate Out,Res.GateOut,2026-04-21 14:04:00,2026-04-21 14:10:00,2026-04-21 14:10:00,delivery,4,8.0,T26,0,0,low,0.8134,4.0,1,96.05,10.35,mid,0.47,1,0.5566,0.69,12.9,112.45,0.5866,1.0,high,0,T26,1
case_1799,Gate Out,Res.GateOut,2026-04-21 13:54:00,2026-04-21 14:10:00,2026-04-21 14:10:00,receive,4,,VC,0,1,very_high,0.89,17.15,1,84.3,4.65,non_rmg,0.4311,0,0.5511,0.4311,17.15,105.2,0.5911,1.0,low,0,VC,1
case_1856,Gate Out,Res.GateOut,2026-04-21 14:02:00,2026-04-21 14:10:00,2026-04-21 14:10:00,receive,3,,MT,0,1,very_high,0.851,39.62,1,152.02,39.62,non_rmg,0.42,0,0.529,0.851,19.93,196.02,0.569,0.0,very_high,0,MT,1
case_1860,Gate Out,Res.GateOut,2026-04-21 14:02:00,2026-04-21 14:10:00,2026-04-21 14:10:00,delivery,3,,MT,0,0,very_high,0.74,22.35,1,71.45,22.35,non_rmg,0.46,1,0.5162,0.74,31.87,88.38,0.5462,0.0,very_high,0,MT,1
case_1869,Gate Out,Res.GateOut,2026-04-21 14:07:00,2026-04-21 14:10:00,2026-04-21 14:10:00,delivery,4,2.0,T23,0,0,low,0.8551,2.25,1,80.0,13.7,top_3,0.4126,1,0.54,0.6774,7.1,80.3,0.5726,1.0,high,0,T23,1
case_1880,LL_receive,LL,2026-04-21 14:03:00,2026-04-21 14:10:00,2026-04-21 14:23:00,receive,6,,MT,1,1,very_high,0.85,46.8,1,114.2,46.8,non_rmg,0.361,0,0.4945,0.85,33.8,187.2,0.5345,0.0,very_high,0,MT,1
case_1886,Gate In,Res.GateIn,2026-04-21 14:11:00,2026-04-21 14:11:00,2026-04-21 14:11:00,receive,6,13.0,T17,1,1,low,0.84,3.95,1,68.6,10.8,low,0.48,0,0.5751,0.5954,14.2,92.75,0.6,1.0,medium,0,T17,1
case_1887,Gate In,Res.GateIn,2026-04-21 14:11:00,2026-04-21 14:11:00,2026-04-21 14:11:00,delivery,3,14.0,T13,0,0,high,0.7024,8.73,1,111.8,21.37,low,0.4516,1,0.53,0.55,37.37,159.42,0.5408,1.0,medium,0,T13,1
case_1874,Gate Out,Res.GateOut,2026-04-21 14:08:00,2026-04-21 14:11:00,2026-04-21 14:11:00,receive,7,7.0,T20,0,2,high,0.75,9.0,1,119.08,21.73,mid,0.3955,0,0.6,0.7045,37.35,158.03,0.59,1.0,high,0,T20,2
case_1878,RMG_receive,T24,2026-04-21 14:02:00,2026-04-21 14:11:00,2026-04-21 14:14:00,receive,4,2.0,T24,0,1,low,0.87,4.0,1,103.9,27.1,top_3,0.4672,0,0.62,0.7772,11.1,138.7,0.63,0.0,very_high,0,T24,1
case_1884,RMG_receive,T17,2026-04-21 14:06:00,2026-04-21 14:12:00,2026-04-21 14:53:00,receive,5,4.0,T17,0,1,medium,0.7435,5.83,1,105.25,17.83,mid,0.4,0,0.55,0.6635,12.67,112.83,0.56,1.0,high,0,T17,1
case_1888,Gate In,Res.GateIn,2026-04-21 14:12:00,2026-04-21 14:12:00,2026-04-21 14:12:00,receive,5,,MT,0,1,very_high,0.84,37.3,1,118.25,37.3,non_rmg,0.3589,0,0.5111,0.84,19.8,173.0,0.54,1.0,very_high,0,MT,1
case_1889,Gate In,Res.GateIn,2026-04-21 14:12:00,2026-04-21 14:12:00,2026-04-21 14:12:00,delivery,3,,VC,0,0,very_high,0.7177,12.6,1,56.93,15.0,non_rmg,0.4612,1,0.58,0.4612,12.6,83.4,0.5844,1.0,low,0,VC,1
case_1890,Gate In,Res.GateIn,2026-04-21 14:12:00,2026-04-21 14:12:00,2026-04-21 14:12:00,receive,7,1.0,T18,0,1,high,0.9106,7.23,1,133.5,7.53,top_3,0.4612,0,0.5894,0.7394,34.37,169.77,0.62,1.0,very_high,1,T18,1
case_1835,RMG_delivery,T13,2026-04-21 13:38:00,2026-04-21 14:12:00,2026-04-21 14:18:00,delivery,2,,MT,0,0,very_high,0.7236,29.8,1,101.65,29.8,non_rmg,0.4658,1,0.53,0.7236,40.6,142.65,0.5479,0.0,very_high,0,MT,1
case_1879,RMG_delivery,T13,2026-04-21 14:02:00,2026-04-21 14:12:00,2026-04-21 14:34:00,delivery,3,6.0,T13,0,0,medium,0.84,6.7,1,85.13,8.73,mid,0.48,1,0.5764,0.6864,16.27,100.5,0.6,1.0,high,0,T13,1
case_1886,RMG_receive,T17,2026-04-21 14:11:00,2026-04-21 14:13:00,2026-04-21 14:24:00,receive,6,13.0,T17,1,1,low,0.84,3.95,1,68.6,10.8,low,0.48,0,0.5751,0.5954,14.2,92.75,0.6,1.0,medium,0,T17,1
case_1888,LL_receive,LL,2026-04-21 14:12:00,2026-04-21 14:13:00,2026-04-21 14:23:00,receive,5,,MT,0,1,very_high,0.84,37.3,1,118.25,37.3,non_rmg,0.3589,0,0.5111,0.84,19.8,173.0,0.54,1.0,very_high,0,MT,1
case_1891,Gate In,Res.GateIn,2026-04-21 14:13:00,2026-04-21 14:13:00,2026-04-21 14:13:00,delivery,3,12.0,T10,0,0,high,0.8319,8.0,1,104.03,9.15,low,0.47,1,0.544,0.63,16.3,121.87,0.58,1.0,medium,0,T10,1
case_1892,Gate In,Res.GateIn,2026-04-21 14:13:00,2026-04-21 14:13:00,2026-04-21 14:13:00,delivery,4,3.0,T22,0,0,medium,0.8419,5.23,1,106.28,31.55,top_3,0.45,1,0.571,0.7319,15.47,143.0,0.601,1.0,very_high,0,T22,1
case_1893,Gate In,Res.GateIn,2026-04-21 14:13:00,2026-04-21 14:13:00,2026-04-21 14:13:00,receive,4,5.0,T20,0,1,low,0.7585,3.7,1,66.7,10.8,mid,0.44,0,0.6058,0.7358,15.6,106.2,0.6,1.0,very_high,0,T20,1
