contrast,metric,n_paired_seeds,mean_difference,sd_difference,ci95_lo,ci95_hi,interval_excludes_zero
rules_only_minus_no_rules,case_turnaround_emd_min,10,-0.19289626648781394,0.23119933982922367,-0.35828631089050766,-0.02750622208512024,True
rules_only_minus_no_rules,case_turnaround_sim_mean,10,0.3463950368879939,0.2402521374577094,0.17452901118340805,0.5182610625925798,True
rules_only_minus_no_rules,case_turnaround_sim_p90,10,-0.4,0.5163977794943223,-0.76940871778918,-0.03059128221082008,True
rules_only_minus_no_rules,yard_service_time_emd_frequency_weighted_min,10,-0.005546866294753006,0.09793504744681038,-0.07560537882239353,0.0645116462328875,False
rules_only_minus_no_rules,yard_activity_rate_l1_error,10,-0.012569863626201655,0.008421285241004248,-0.018594088180502878,-0.006545639071900433,True
rules_only_minus_no_rules,inter_arrival_emd_min,10,-0.004097032027276463,0.01328416096339092,-0.013599948312464076,0.0054058842579111505,False
rules_only_minus_no_rules,gate_only_cases,10,-11.9,3.2472210341220142,-14.222921991972386,-9.577078008027614,True
rules_workload_minus_rules_only,case_turnaround_emd_min,10,0.3276101050748913,0.126504436997285,0.23711428243295263,0.41810592771683,True
rules_workload_minus_rules_only,case_turnaround_sim_mean,10,-0.47573217080259306,0.12275190545578608,-0.5635435940914477,-0.3879207475137384,True
rules_workload_minus_rules_only,case_turnaround_sim_p90,10,-0.4,0.5163977794943222,-0.76940871778918,-0.030591282210820137,True
rules_workload_minus_rules_only,yard_service_time_emd_frequency_weighted_min,10,-0.0001271560888392198,0.0863839720211764,-0.061922527039364426,0.06166821486168599,False
rules_workload_minus_rules_only,yard_activity_rate_l1_error,10,0.063721216186005,0.0068881967369086505,0.0587936970805728,0.0686487352914372,True
rules_workload_minus_rules_only,inter_arrival_emd_min,10,0.0,0.0,0.0,0.0,False
rules_workload_minus_rules_only,gate_only_cases,10,0.0,0.0,0.0,0.0,False
rules_workload_minus_no_rules,case_turnaround_emd_min,10,0.13471383858707736,0.21514751089890255,-0.019193419136851436,0.2886210963110062,False
rules_workload_minus_no_rules,case_turnaround_sim_mean,10,-0.12933713391459917,0.21359046348863853,-0.28213054702067186,0.0234562791914735,False
rules_workload_minus_no_rules,case_turnaround_sim_p90,10,-0.8,0.6324555320336759,-1.252431432559641,-0.3475685674403591,True
rules_workload_minus_no_rules,yard_service_time_emd_frequency_weighted_min,10,-0.005674022383592226,0.08668813334014837,-0.06768697723417318,0.05633893246698873,False
rules_workload_minus_no_rules,yard_activity_rate_l1_error,10,0.05115135255980334,0.009855897257238073,0.04410086839230075,0.05820183672730593,True
rules_workload_minus_no_rules,inter_arrival_emd_min,10,-0.004097032027276463,0.01328416096339092,-0.013599948312464076,0.0054058842579111505,False
rules_workload_minus_no_rules,gate_only_cases,10,-11.9,3.2472210341220142,-14.222921991972386,-9.577078008027614,True
