seed,scenario,sim_cases,sim_events,rmg_events,mean_turnaround_min,median_turnaround_min,p90_turnaround_min,max_turnaround_min,mean_rmg_service_min,median_rmg_service_min,p90_rmg_service_min,mean_rmg_pre_service_min,median_rmg_pre_service_min,p90_rmg_pre_service_min,rmg_receive_events,mean_rmg_receive_service_min,median_rmg_receive_service_min,p90_rmg_receive_service_min,mean_rmg_receive_pre_service_min,median_rmg_receive_pre_service_min,p90_rmg_receive_pre_service_min,rmg_delivery_events,mean_rmg_delivery_service_min,median_rmg_delivery_service_min,p90_rmg_delivery_service_min,mean_rmg_delivery_pre_service_min,median_rmg_delivery_pre_service_min,p90_rmg_delivery_pre_service_min,mean_inter_arrival_min,zero_inter_arrival_share,arrival_span_min,arrival_rate_per_elapsed_hour,service_events_above_24h,turnaround_cases_above_24h,demand_multiplier
42,demand_x1.00,250,769,182,32.464,28.0,59.099999999999994,89.0,10.791208791208792,9.0,20.900000000000006,7.961538461538462,6.0,17.0,116,11.448275862068966,9.0,21.0,9.086206896551724,7.0,20.5,53,8.641509433962264,7.0,19.200000000000017,6.037735849056604,4.0,13.600000000000009,0.606425702811245,0.5783132530120482,151.0,98.94039735099338,0,0,1.0
42,demand_x1.20,250,780,184,34.304,30.0,58.0,147.0,11.652173913043478,9.0,25.0,8.027173913043478,5.0,19.700000000000017,117,11.025641025641026,9.0,21.80000000000001,7.94017094017094,6.0,19.0,54,10.425925925925926,7.0,26.0,8.0,5.0,23.400000000000006,0.5060240963855421,0.6305220883534136,126.0,118.57142857142857,0,0,1.2
42,demand_x2.40,250,773,182,30.364,26.0,52.19999999999999,111.0,10.357142857142858,8.0,23.80000000000001,7.417582417582418,5.0,14.900000000000006,114,10.026315789473685,8.0,19.0,7.675438596491228,6.0,16.0,55,9.2,6.0,22.800000000000004,6.0181818181818185,4.0,13.0,0.2570281124497992,0.7670682730923695,64.0,233.4375,0,0,2.4
42,demand_x3.00,250,779,184,31.244,27.5,53.0,120.0,10.33695652173913,8.0,20.700000000000017,7.510869565217392,5.0,18.0,117,10.76923076923077,8.0,21.00000000000003,7.6239316239316235,6.0,16.0,54,8.666666666666666,6.0,14.400000000000006,7.425925925925926,5.0,18.700000000000003,0.20883534136546184,0.7991967871485943,52.0,287.3076923076923,0,0,3.0
43,demand_x1.00,250,766,197,33.888,29.0,61.0,114.0,12.543147208121827,9.0,22.400000000000006,7.710659898477157,6.0,16.0,119,13.403361344537815,10.0,24.0,8.134453781512605,6.0,16.200000000000003,64,9.671875,7.0,18.700000000000003,6.75,4.5,14.0,0.6265060240963856,0.5140562248995983,156.0,95.76923076923077,0,0,1.0
43,demand_x1.20,250,766,196,32.772,28.0,58.19999999999999,107.0,12.979591836734693,9.0,28.0,7.551020408163265,5.0,17.5,119,13.512605042016807,9.0,30.60000000000001,8.033613445378151,5.0,17.0,63,9.365079365079366,7.0,20.400000000000013,6.73015873015873,3.0,18.800000000000004,0.5220883534136547,0.5783132530120482,130.0,114.92307692307692,0,0,1.2
43,demand_x2.40,250,769,195,33.048,28.0,55.099999999999994,181.0,11.056410256410256,8.0,21.599999999999994,8.21025641025641,5.0,21.599999999999994,117,11.572649572649572,9.0,19.400000000000006,8.256410256410257,5.0,21.400000000000006,64,8.109375,6.5,16.0,8.84375,5.0,23.700000000000003,0.26506024096385544,0.7550200803212851,66.0,226.36363636363637,0,0,2.4
43,demand_x3.00,250,765,198,32.516,28.5,57.099999999999994,95.0,11.156565656565656,9.0,20.0,7.777777777777778,5.0,19.0,119,10.815126050420169,9.0,18.0,8.445378151260504,5.0,21.200000000000003,65,8.707692307692307,7.0,15.0,5.969230769230769,4.0,15.0,0.21285140562248997,0.8032128514056225,53.0,281.8867924528302,0,0,3.0
