demand_multiplier,metric,n,mean,std,ci95_lo,ci95_hi
1.0,mean_turnaround_min,2,33.176,1.0069200564096432,24.129182227843625,42.222817772156375
1.0,median_turnaround_min,2,28.5,0.7071067811865476,22.14689763191265,34.85310236808735
1.0,p90_turnaround_min,2,60.05,1.3435028842544443,47.979105500634006,72.12089449936599
1.0,mean_rmg_service_min,2,11.66717799966531,1.2388075348204317,0.5369338944319111,22.797422104898708
1.0,median_rmg_service_min,2,9.0,0.0,9.0,9.0
1.0,p90_rmg_service_min,2,21.650000000000006,1.0606601717798212,12.120346447868986,31.179653552131025
1.0,mean_rmg_pre_service_min,2,7.8360991800078095,0.17739793319498523,6.2422419869206855,9.429956373094933
1.0,median_rmg_pre_service_min,2,6.0,0.0,6.0,6.0
1.0,p90_rmg_pre_service_min,2,16.5,0.7071067811865476,10.146897631912653,22.85310236808735
1.0,rmg_events,2,189.5,10.606601717798213,94.20346447868981,284.7965355213102
1.0,rmg_receive_events,2,117.5,2.1213203435596424,98.44069289573795,136.55930710426205
1.0,mean_rmg_receive_service_min,2,12.42581860330339,1.3824542024530964,0.004960394817350888,24.84667681178943
1.0,median_rmg_receive_service_min,2,9.5,0.7071067811865476,3.146897631912653,15.853102368087347
1.0,p90_rmg_receive_service_min,2,22.5,2.1213203435596424,3.4406928957379606,41.55930710426204
1.0,mean_rmg_receive_pre_service_min,2,8.610330339032163,0.6729910816595818,2.563745370042623,14.656915308021704
1.0,median_rmg_receive_pre_service_min,2,6.5,0.7071067811865476,0.14689763191265293,12.853102368087347
1.0,p90_rmg_receive_pre_service_min,2,18.35,3.0405591591021524,-8.96834018277557,45.66834018277557
1.0,rmg_delivery_events,2,58.5,7.7781745930520225,-11.384126048960809,128.3841260489608
1.0,mean_rmg_delivery_service_min,2,9.156692216981131,0.7285784788463983,2.6106742993911345,15.702710134571127
1.0,median_rmg_delivery_service_min,2,7.0,0.0,7.0,7.0
1.0,p90_rmg_delivery_service_min,2,18.95000000000001,0.35355339059328383,15.773448815956247,22.126551184043773
1.0,mean_rmg_delivery_pre_service_min,2,6.393867924528302,0.5036468111281538,1.8687808604660914,10.918954988590514
1.0,median_rmg_delivery_pre_service_min,2,4.25,0.3535533905932738,1.0734488159563265,7.4265511840436735
1.0,p90_rmg_delivery_pre_service_min,2,13.800000000000004,0.28284271247461296,11.25875905276512,16.341240947234887
1.0,mean_inter_arrival_min,2,0.6164658634538153,0.01419893134912748,0.48889352674523384,0.7440382001623966
1.0,zero_inter_arrival_share,2,0.5461847389558232,0.04543658031720789,0.13795326148836307,0.9544162164232833
1.0,arrival_rate_per_elapsed_hour,2,97.35481406011208,2.2423533942365026,77.2080681399166,117.50155998030755
1.2,mean_turnaround_min,2,33.538,1.0832875887777933,23.80504717209016,43.27095282790984
1.2,median_turnaround_min,2,29.0,1.4142135623730951,16.293795263825306,41.7062047361747
1.2,p90_turnaround_min,2,58.099999999999994,0.14142135623730148,56.829379526382596,59.37062047361739
1.2,mean_rmg_service_min,2,12.315882874889086,0.9386262153106251,3.88266092044484,20.749104829333334
1.2,median_rmg_service_min,2,9.0,0.0,9.0,9.0
1.2,p90_rmg_service_min,2,26.5,2.1213203435596424,7.4406928957379606,45.55930710426204
1.2,mean_rmg_pre_service_min,2,7.789097160603372,0.3366913721865406,4.7640452011758,10.814149120030944
1.2,median_rmg_pre_service_min,2,5.0,0.0,5.0,5.0
1.2,p90_rmg_pre_service_min,2,18.60000000000001,1.5556349186104166,4.623174790207736,32.57682520979228
1.2,rmg_events,2,190.0,8.48528137423857,113.76277158295184,266.2372284170482
1.2,rmg_receive_events,2,118.0,1.4142135623730951,105.2937952638253,130.7062047361747
1.2,mean_rmg_receive_service_min,2,12.269123033828915,1.758549120546247,-3.53081394795608,28.06906001561391
1.2,median_rmg_receive_service_min,2,9.0,0.0,9.0,9.0
1.2,p90_rmg_receive_service_min,2,26.20000000000001,6.222539674441617,-29.707300839168624,82.10730083916864
1.2,mean_rmg_receive_pre_service_min,2,7.986892192774546,0.066073829083078,7.393242391662601,8.580541993886492
1.2,median_rmg_receive_pre_service_min,2,5.5,0.7071067811865476,-0.8531023680873471,11.853102368087347
1.2,p90_rmg_receive_pre_service_min,2,18.0,1.4142135623730951,5.293795263825306,30.706204736174694
1.2,rmg_delivery_events,2,58.5,6.363961030678928,1.3220786872138817,115.67792131278611
1.2,mean_rmg_delivery_service_min,2,9.895502645502646,0.75013179697303,3.1558358476110477,16.635169443394243
1.2,median_rmg_delivery_service_min,2,7.0,0.0,7.0,7.0
1.2,p90_rmg_delivery_service_min,2,23.200000000000006,3.959797974644657,-12.377373261289048,58.77737326128906
1.2,mean_rmg_delivery_pre_service_min,2,7.365079365079366,0.8979133729352984,-0.7023522134442484,15.43251094360298
1.2,median_rmg_delivery_pre_service_min,2,4.0,1.4142135623730951,-8.706204736174694,16.706204736174694
1.2,p90_rmg_delivery_pre_service_min,2,21.100000000000005,3.2526911934581197,-8.1242708932018,50.32427089320181
1.2,mean_inter_arrival_min,2,0.5140562248995983,0.011359145079302031,0.4119983555327328,0.6161140942664639
1.2,zero_inter_arrival_share,2,0.6044176706827309,0.036917221507731385,0.27272959524041973,0.936105746125042
1.2,arrival_rate_per_elapsed_hour,2,116.74725274725274,2.5797741907025697,93.5689012504945,139.92560424401097
2.4,mean_turnaround_min,2,31.706000000000003,1.8978746007046943,14.654273244053556,48.75772675594645
2.4,median_turnaround_min,2,27.0,1.4142135623730951,14.293795263825306,39.7062047361747
2.4,p90_turnaround_min,2,53.64999999999999,2.0506096654409918,35.22600313254665,72.07399686745333
2.4,mean_rmg_service_min,2,10.706776556776557,0.49445671988465856,6.264259186564567,15.149293926988546
2.4,median_rmg_service_min,2,8.0,0.0,8.0,8.0
2.4,p90_rmg_service_min,2,22.700000000000003,1.5556349186104166,8.72317479020773,36.67682520979228
2.4,mean_rmg_pre_service_min,2,7.813919413919414,0.5605051554899952,2.777980393941025,12.849858433897802
2.4,median_rmg_pre_service_min,2,5.0,0.0,5.0,5.0
2.4,p90_rmg_pre_service_min,2,18.25,4.73761543394986,-24.315785866185145,60.815785866185145
2.4,rmg_events,2,188.5,9.192388155425117,105.9096692148645,271.0903307851355
2.4,rmg_receive_events,2,115.5,2.1213203435596424,96.44069289573795,134.55930710426205
2.4,mean_rmg_receive_service_min,2,10.79948268106163,1.0934231040615185,0.9754658613134328,20.623499500809828
2.4,median_rmg_receive_service_min,2,8.5,0.7071067811865476,2.146897631912653,14.853102368087347
2.4,p90_rmg_receive_service_min,2,19.200000000000003,0.28284271247462306,16.658759052765028,21.741240947234978
2.4,mean_rmg_receive_pre_service_min,2,7.9659244264507425,0.41080900040595053,4.27495199802752,11.656896854873965
2.4,median_rmg_receive_pre_service_min,2,5.5,0.7071067811865476,-0.8531023680873471,11.853102368087347
2.4,p90_rmg_receive_pre_service_min,2,18.700000000000003,3.8183766184073606,-15.606752787671702,53.00675278767171
2.4,rmg_delivery_events,2,59.5,6.363961030678928,2.3220786872138817,116.67792131278611
2.4,mean_rmg_delivery_service_min,2,8.6546875,0.7711883332315779,1.7258352298047424,15.583539770195257
2.4,median_rmg_delivery_service_min,2,6.25,0.3535533905932738,3.0734488159563265,9.426551184043674
2.4,p90_rmg_delivery_service_min,2,19.400000000000002,4.808326112068526,-23.801096102993977,62.60109610299398
2.4,mean_rmg_delivery_pre_service_min,2,7.43096590909091,1.99797842206858,-10.520157998010438,25.382089816192256
2.4,median_rmg_delivery_pre_service_min,2,4.5,0.7071067811865476,-1.853102368087347,10.853102368087347
2.4,p90_rmg_delivery_pre_service_min,2,18.35,7.5660425586960605,-49.62819533853463,86.32819533853464
2.4,mean_inter_arrival_min,2,0.26104417670682734,0.005679572539651016,0.21001524202339455,0.3120731113902601
2.4,zero_inter_arrival_share,2,0.7610441767068272,0.008519358809476504,0.6845007746816782,0.8375875787319762
2.4,arrival_rate_per_elapsed_hour,2,229.9005681818182,5.00197694646165,184.95958836210946,274.8415480015269
3.0,mean_turnaround_min,2,31.88,0.8994398256692874,23.798853787792904,39.9611462122071
3.0,median_turnaround_min,2,28.0,0.7071067811865476,21.64689763191265,34.35310236808735
3.0,p90_turnaround_min,2,55.05,2.899137802864841,29.002280290841913,81.09771970915808
3.0,mean_rmg_service_min,2,10.746761089152393,0.5795511771582751,5.539700353779977,15.953821824524809
3.0,median_rmg_service_min,2,8.5,0.7071067811865476,2.146897631912653,14.853102368087347
3.0,p90_rmg_service_min,2,20.35000000000001,0.49497474683059534,15.902828342338758,24.79717165766126
3.0,mean_rmg_pre_service_min,2,7.644323671497585,0.18873260705582945,5.948628474218235,9.340018868776934
3.0,median_rmg_pre_service_min,2,5.0,0.0,5.0,5.0
3.0,p90_rmg_pre_service_min,2,18.5,0.7071067811865476,12.146897631912653,24.85310236808735
3.0,rmg_events,2,191.0,9.899494936611665,102.05656684677714,279.9434331532228
3.0,rmg_receive_events,2,118.0,1.4142135623730951,105.2937952638253,130.7062047361747
3.0,mean_rmg_receive_service_min,2,10.79217840982547,0.0324528645534872,10.500600990217066,11.083755829433873
3.0,median_rmg_receive_service_min,2,8.5,0.7071067811865476,2.146897631912653,14.853102368087347
3.0,p90_rmg_receive_service_min,2,19.500000000000014,2.121320343559663,0.4406928957377936,38.55930710426223
3.0,mean_rmg_receive_pre_service_min,2,8.034654887596064,0.5808504098563924,2.815921009565823,13.253388765626305
3.0,median_rmg_receive_pre_service_min,2,5.5,0.7071067811865476,-0.8531023680873471,11.853102368087347
3.0,p90_rmg_receive_pre_service_min,2,18.6,3.676955262170049,-14.43613231405422,51.63613231405422
3.0,rmg_delivery_events,2,59.5,7.7781745930520225,-10.384126048960809,129.3841260489608
3.0,mean_rmg_delivery_service_min,2,8.687179487179487,0.029009508971755693,8.426539390027186,8.947819584331787
3.0,median_rmg_delivery_service_min,2,6.5,0.7071067811865476,0.14689763191265293,12.853102368087347
3.0,p90_rmg_delivery_service_min,2,14.700000000000003,0.42426406871192446,10.88813857914763,18.511861420852377
3.0,mean_rmg_delivery_pre_service_min,2,6.6975783475783475,1.0300390234207455,-2.556955102003019,15.952111797159713
3.0,median_rmg_delivery_pre_service_min,2,4.5,0.7071067811865476,-1.853102368087347,10.853102368087347
3.0,p90_rmg_delivery_pre_service_min,2,16.85,2.616295090390228,-6.6564787619232,40.3564787619232
3.0,mean_inter_arrival_min,2,0.21084337349397592,0.002839786269825508,0.18532890615225953,0.2363578408356923
3.0,zero_inter_arrival_share,2,0.8012048192771084,0.0028397862698255273,0.7756903519353918,0.826719286618825
3.0,arrival_rate_per_elapsed_hour,2,284.59724238026126,3.833155047506172,250.1577106751724,319.0367740853501
