seed,scenario,sim_cases,sim_events,rmg_events,mean_turnaround_min,median_turnaround_min,p90_turnaround_min,max_turnaround_min,mean_rmg_service_min,median_rmg_service_min,p90_rmg_service_min,mean_rmg_pre_service_min,median_rmg_pre_service_min,p90_rmg_pre_service_min,rmg_receive_events,mean_rmg_receive_service_min,median_rmg_receive_service_min,p90_rmg_receive_service_min,mean_rmg_receive_pre_service_min,median_rmg_receive_pre_service_min,p90_rmg_receive_pre_service_min,rmg_delivery_events,mean_rmg_delivery_service_min,median_rmg_delivery_service_min,p90_rmg_delivery_service_min,mean_rmg_delivery_pre_service_min,median_rmg_delivery_pre_service_min,p90_rmg_delivery_pre_service_min,mean_inter_arrival_min,zero_inter_arrival_share,arrival_span_min,arrival_rate_per_elapsed_hour,service_events_above_24h,turnaround_cases_above_24h,gate_arrivals,closed_period_gate_arrivals,sunday_gate_arrivals,night_gate_arrivals,arrival_calendar_compliance,demand_multiplier,nominal_cases
48,calendar_demand_x1.50,3000,9293,2282,32.01833333333333,28.0,53.0,499.0,11.205083260297984,9.0,21.0,8.028483786152497,6.0,18.0,1354,11.163220088626293,9.0,21.0,8.17208271787297,6.0,18.0,759,9.812911725955205,7.0,20.0,8.11725955204216,6.0,18.0,0.5725241747249084,0.5531843947982661,1717.0,104.79906814210833,0,0,3000,0,0,481,True,1.5,3000
48,calendar_demand_x2.00,4000,12376,3054,32.3785,28.0,56.0,388.0,11.150294695481335,8.0,22.0,8.176489849377866,6.0,19.0,1829,11.290322580645162,9.0,22.0,8.172772006560962,6.0,19.0,990,9.003030303030304,6.0,18.0,8.16868686868687,6.0,19.0,0.18604651162790697,0.889472368092023,744.0,322.5,0,0,4000,0,0,1648,True,2.0,4000
48,calendar_demand_x2.40,4800,14875,3674,32.098333333333336,28.0,54.0,728.0,11.170930865541644,8.0,22.0,8.170114316820904,6.0,19.0,2209,11.445903123585333,9.0,22.0,8.189678587596198,6.0,19.0,1181,8.861981371718882,6.0,18.0,8.30397967823878,6.0,20.0,0.15961658678891436,0.8845592831839967,766.0,375.90078328981724,0,0,4800,0,0,1975,True,2.4,4800
48,calendar_demand_x3.00,6000,18574,4576,32.167,28.0,53.0,498.0,10.965909090909092,8.0,21.5,8.184003496503497,6.0,19.0,2764,11.185238784370478,9.0,21.0,8.388205499276411,6.0,19.0,1456,8.87293956043956,7.0,17.0,7.916895604395604,5.0,18.0,0.14035672612102018,0.8848141356892816,842.0,427.48218527315913,0,0,6000,0,0,2200,True,3.0,6000
49,calendar_demand_x1.00,2000,6137,1531,31.733,28.0,53.0,156.0,11.133899412148923,8.0,23.0,8.133899412148923,6.0,19.0,940,11.512765957446808,9.0,23.0,8.254255319148935,6.0,19.0,480,8.78125,6.0,18.0,7.916666666666667,5.0,19.0,0.704352176088044,0.5567783891945973,1408.0,85.1846590909091,0,0,2000,0,0,440,True,1.0,2000
49,calendar_demand_x1.20,2400,7391,1835,31.514583333333334,28.0,54.0,300.0,10.857765667574931,8.0,21.0,8.303542234332426,6.0,19.0,1114,11.151705565529623,8.5,21.0,8.392280071813286,6.0,20.0,583,8.44082332761578,6.0,17.0,8.473413379073756,6.0,20.0,0.6356815339724885,0.5552313463943309,1525.0,94.38688524590164,0,0,2400,0,0,413,True,1.2,2400
49,calendar_demand_x1.50,3000,9216,2299,31.677666666666667,28.0,53.0,332.0,11.015224010439322,8.0,22.0,8.026533275337103,5.0,18.0,1404,11.30982905982906,9.0,22.0,8.053418803418804,5.0,18.0,724,8.646408839779005,7.0,17.0,8.009668508287293,5.0,18.700000000000045,0.5491830610203401,0.5515171723907969,1647.0,109.25318761384335,0,0,3000,0,0,577,True,1.5,3000
49,calendar_demand_x2.00,4000,12342,3073,31.881,27.0,55.0,596.0,11.020175724048162,8.0,22.0,8.142206313049138,5.0,19.0,1862,11.117615467239528,9.0,21.0,8.154135338345865,5.0,19.0,983,8.92878942014242,6.0,19.0,8.23702950152594,6.0,19.0,0.18454613653413354,0.8852213053263316,738.0,325.1219512195122,0,0,4000,0,0,1603,True,2.0,4000
49,calendar_demand_x2.40,4800,14792,3645,32.054375,28.0,54.0,636.0,11.317421124828533,8.0,23.0,7.995884773662551,5.0,18.0,2198,11.505459508644222,9.0,22.0,8.143767060964514,5.0,19.0,1180,8.939830508474577,6.0,17.0,7.683050847457627,5.0,18.0,0.16315899145655344,0.881433632006668,783.0,367.7394636015326,0,0,4800,0,0,1606,True,2.4,4800
49,calendar_demand_x3.00,6000,18491,4541,31.8225,28.0,54.0,339.0,11.016075754239154,8.0,21.0,8.090508698524554,6.0,19.0,2716,11.276877761413845,9.0,21.0,8.094256259204712,6.0,19.0,1488,8.547043010752688,6.0,17.0,8.03763440860215,5.0,19.0,0.14602433738956494,0.8801466911151858,876.0,410.8904109589041,0,0,6000,0,0,2011,True,3.0,6000
