demand_multiplier,metric,n,mean,std,min,max
1.0,mean_turnaround_min,10,32.1951,0.3330936471591391,31.6765,32.696
1.0,median_turnaround_min,10,27.9,0.3162277660168379,27.0,28.0
1.0,p90_turnaround_min,10,53.93000000000004,0.9877584050093686,53.0,55.100000000000136
1.0,mean_rmg_service_min,10,10.956336580200292,0.1858726472125651,10.61187214611872,11.191906005221933
1.0,median_rmg_service_min,10,8.2,0.4216370213557839,8.0,9.0
1.0,p90_rmg_service_min,10,21.84000000000001,0.888444333277738,20.0,23.0
1.0,mean_rmg_pre_service_min,10,8.212835438202934,0.2870657538788521,7.758620689655173,8.86038961038961
1.0,median_rmg_pre_service_min,10,5.5,0.5270462766947299,5.0,6.0
1.0,p90_rmg_pre_service_min,10,19.1,0.5676462121975466,18.0,20.0
1.0,rmg_events,10,1528.6,23.434068267280345,1497.0,1579.0
1.0,rmg_receive_events,10,918.8,23.14591396625619,883.0,957.0
1.0,mean_rmg_receive_service_min,10,11.219057269596856,0.27900547785916735,10.781350482315112,11.596656217345872
1.0,median_rmg_receive_service_min,10,8.8,0.4216370213557839,8.0,9.0
1.0,p90_rmg_receive_service_min,10,21.439999999999998,1.1462014560179934,20.0,23.399999999999977
1.0,mean_rmg_receive_pre_service_min,10,8.224599569915977,0.37063010201595337,7.739549839228296,8.86833855799373
1.0,median_rmg_receive_pre_service_min,10,5.5,0.5270462766947299,5.0,6.0
1.0,p90_rmg_receive_pre_service_min,10,19.1,0.5676462121975466,18.0,20.0
1.0,rmg_delivery_events,10,495.0,17.90716802475106,472.0,525.0
1.0,mean_rmg_delivery_service_min,10,8.739717879738643,0.30927043274134614,8.370762711864407,9.205761316872428
1.0,median_rmg_delivery_service_min,10,6.3,0.48304589153964794,6.0,7.0
1.0,p90_rmg_delivery_service_min,10,17.370000000000005,1.2329278612762005,16.0,19.0
1.0,mean_rmg_delivery_pre_service_min,10,8.17349506440979,0.36603327135862,7.6460905349794235,8.726377952755906
1.0,median_rmg_delivery_pre_service_min,10,5.5,0.5270462766947299,5.0,6.0
1.0,p90_rmg_delivery_pre_service_min,10,18.97000000000001,0.9381423725166305,18.0,20.400000000000034
1.0,mean_inter_arrival_min,10,0.682991495747874,0.027707665817216995,0.6423211605802901,0.7238619309654828
1.0,zero_inter_arrival_share,10,0.5479239619809906,0.011439223011601501,0.5302651325662832,0.5652826413206603
1.0,arrival_rate_per_elapsed_hour,10,87.97997069833838,3.593814229148624,82.88873531444368,93.41121495327103
1.2,mean_turnaround_min,10,31.99733333333333,0.43716853404664646,31.175,32.54875
1.2,median_turnaround_min,10,27.8,0.4216370213557839,27.0,28.0
1.2,p90_turnaround_min,10,53.90999999999999,0.864677203739455,52.0,55.0
1.2,mean_rmg_service_min,10,11.045915057844367,0.18960432849651984,10.786102062975027,11.406232609905398
1.2,median_rmg_service_min,10,8.0,0.0,8.0,8.0
1.2,p90_rmg_service_min,10,22.3,0.9486832980505139,21.0,24.0
1.2,mean_rmg_pre_service_min,10,8.212807542769013,0.18553182323693923,7.88536449638286,8.54851157662624
1.2,median_rmg_pre_service_min,10,5.6,0.5163977794943222,5.0,6.0
1.2,p90_rmg_pre_service_min,10,19.2,0.6324555320336759,18.0,20.0
1.2,rmg_events,10,1832.4,27.61320135168845,1797.0,1895.0
1.2,rmg_receive_events,10,1097.9,27.26189852360087,1063.0,1145.0
1.2,mean_rmg_receive_service_min,10,11.260341394897612,0.1822804719180488,10.93939393939394,11.530941704035875
1.2,median_rmg_receive_service_min,10,8.75,0.42491829279939874,8.0,9.0
1.2,p90_rmg_receive_service_min,10,22.2,0.7888106377466155,21.0,23.0
1.2,mean_rmg_receive_pre_service_min,10,8.199287722951723,0.25245993354986634,7.739852398523985,8.671748878923767
1.2,median_rmg_receive_pre_service_min,10,5.4,0.5163977794943222,5.0,6.0
1.2,p90_rmg_receive_pre_service_min,10,19.189999999999998,0.7781031065639314,18.0,20.0
1.2,rmg_delivery_events,10,598.1,23.03355040901086,565.0,633.0
1.2,mean_rmg_delivery_service_min,10,8.9274699907974,0.2976296217548847,8.44082332761578,9.235973597359736
1.2,median_rmg_delivery_service_min,10,6.5,0.5270462766947299,6.0,7.0
1.2,p90_rmg_delivery_service_min,10,17.980000000000008,1.0347302385968427,17.0,20.0
1.2,mean_rmg_delivery_pre_service_min,10,8.26135134159459,0.32396445025228005,7.656303972366149,8.647540983606557
1.2,median_rmg_delivery_pre_service_min,10,5.7,0.48304589153964794,5.0,6.0
1.2,p90_rmg_delivery_pre_service_min,10,19.380000000000006,1.1640923980127684,18.0,21.0
1.2,mean_inter_arrival_min,10,0.6291788245102126,0.022362404565621066,0.5923301375573156,0.6594414339308045
1.2,zero_inter_arrival_share,10,0.5472280116715297,0.010521125305730327,0.5318882867861608,0.5656523551479783
1.2,arrival_rate_per_elapsed_hour,10,95.47228033239229,3.4368972626412138,90.98609355246523,101.29486277269528
1.5,mean_turnaround_min,10,32.132400000000004,0.38073307457334765,31.677666666666667,32.781
1.5,median_turnaround_min,10,28.05,0.15811388300841894,28.0,28.5
1.5,p90_turnaround_min,10,53.8,1.1352924243950933,53.0,56.0
1.5,mean_rmg_service_min,10,11.10651360241249,0.1981138604561782,10.777923211169284,11.463793869391381
1.5,median_rmg_service_min,10,8.2,0.4216370213557839,8.0,9.0
1.5,p90_rmg_service_min,10,21.890000000000008,0.3142893217686181,21.0,22.0
1.5,mean_rmg_pre_service_min,10,8.125756892408315,0.13294694587316228,7.93935427574171,8.349804941482445
1.5,median_rmg_pre_service_min,10,5.7,0.48304589153964794,5.0,6.0
1.5,p90_rmg_pre_service_min,10,18.6,0.5163977794943222,18.0,19.0
1.5,rmg_events,10,2293.9,30.450141397226897,2251.0,2358.0
1.5,rmg_receive_events,10,1374.5,29.13665122220542,1335.0,1426.0
