seed,scenario,sim_cases,sim_events,rmg_events,mean_turnaround_min,median_turnaround_min,p90_turnaround_min,max_turnaround_min,mean_rmg_service_min,median_rmg_service_min,p90_rmg_service_min,mean_rmg_pre_service_min,median_rmg_pre_service_min,p90_rmg_pre_service_min,rmg_receive_events,mean_rmg_receive_service_min,median_rmg_receive_service_min,p90_rmg_receive_service_min,mean_rmg_receive_pre_service_min,median_rmg_receive_pre_service_min,p90_rmg_receive_pre_service_min,rmg_delivery_events,mean_rmg_delivery_service_min,median_rmg_delivery_service_min,p90_rmg_delivery_service_min,mean_rmg_delivery_pre_service_min,median_rmg_delivery_pre_service_min,p90_rmg_delivery_pre_service_min,mean_inter_arrival_min,zero_inter_arrival_share,arrival_span_min,arrival_rate_per_elapsed_hour,service_events_above_24h,turnaround_cases_above_24h,demand_multiplier
42,demand_x1.00,250,769,193,31.42,27.0,57.0,93.0,10.544041450777202,8.0,20.0,7.9067357512953365,6.0,18.80000000000001,112,10.964285714285714,8.0,24.0,7.357142857142857,5.0,17.0,71,8.661971830985916,7.0,16.0,8.901408450704226,6.0,23.0,0.606425702811245,0.5783132530120482,151.0,98.94039735099338,0,0,1.0
42,demand_x1.20,250,759,195,30.936,28.0,50.0,103.0,11.456410256410257,9.0,23.0,6.969230769230769,5.0,16.0,108,11.407407407407407,9.0,23.299999999999997,6.694444444444445,5.0,16.0,77,10.688311688311689,7.0,21.0,7.597402597402597,5.0,17.0,0.5060240963855421,0.6305220883534136,126.0,118.57142857142857,0,0,1.2
42,demand_x2.40,250,765,195,31.772,29.0,51.0,144.0,10.41025641025641,8.0,22.0,7.666666666666667,5.0,18.0,113,11.168141592920353,9.0,22.799999999999997,7.938053097345133,5.0,19.799999999999997,72,8.166666666666666,7.0,14.899999999999999,7.375,5.0,15.899999999999999,0.2570281124497992,0.7670682730923695,64.0,233.4375,0,0,2.4
42,demand_x3.00,250,761,196,31.028,27.0,51.19999999999999,158.0,10.188775510204081,8.0,21.0,8.066326530612244,5.0,20.0,113,10.486725663716815,8.0,23.599999999999994,8.946902654867257,7.0,21.0,72,9.402777777777779,9.0,17.799999999999997,6.486111111111111,4.5,15.0,0.20883534136546184,0.7991967871485943,52.0,287.3076923076923,0,0,3.0
43,demand_x1.00,250,767,205,30.076,27.0,49.0,112.0,10.31219512195122,8.0,20.0,8.078048780487805,5.0,20.0,119,10.705882352941176,8.0,21.0,7.764705882352941,5.0,19.0,78,9.243589743589743,7.0,17.0,8.692307692307692,7.0,20.299999999999997,0.6265060240963856,0.5140562248995983,156.0,95.76923076923077,0,0,1.0
43,demand_x1.20,250,766,199,31.076,27.0,53.19999999999999,107.0,9.92964824120603,8.0,19.200000000000017,7.71356783919598,6.0,17.0,112,11.035714285714286,9.0,21.0,8.276785714285714,6.0,19.900000000000006,76,8.131578947368421,7.0,14.5,7.144736842105263,6.5,15.0,0.5220883534136547,0.5783132530120482,130.0,114.92307692307692,0,0,1.2
43,demand_x2.40,250,767,196,34.128,30.0,59.099999999999994,110.0,11.454081632653061,8.0,26.0,8.928571428571429,6.0,21.0,116,12.025862068965518,8.0,26.5,9.275862068965518,6.0,21.5,70,9.728571428571428,6.5,18.1,7.185714285714286,6.0,15.0,0.26506024096385544,0.7550200803212851,66.0,226.36363636363637,0,0,2.4
43,demand_x3.00,250,763,198,33.068,29.0,57.0,212.0,10.590909090909092,8.0,22.0,10.176767676767676,5.0,22.0,116,10.801724137931034,8.0,21.0,9.379310344827585,5.5,22.5,74,9.337837837837839,7.0,16.0,11.14864864864865,5.0,15.0,0.21285140562248997,0.8032128514056225,53.0,281.8867924528302,0,0,3.0
