demand_multiplier,metric,n,mean_delta,std_delta,ci95_delta_lo,ci95_delta_hi,ci_excludes_zero
1.2,mean_turnaround_min,2,0.2579999999999991,1.0493464632808378,-9.170003914241635,9.686003914241633,False
1.2,median_turnaround_min,2,0.5,0.7071067811865476,-5.853102368087347,6.853102368087347,False
1.2,p90_turnaround_min,2,-1.4000000000000057,7.919595949289324,-72.55474652257821,69.7547465225782,False
1.2,mean_rmg_service_min,2,0.2649109624439321,0.9156436629028893,-7.961820951159145,8.49164287604701,False
1.2,median_rmg_service_min,2,0.5,0.7071067811865476,-5.853102368087347,6.853102368087347,False
1.2,p90_rmg_service_min,2,1.1000000000000085,2.6870057685088686,-23.041788998731803,25.24178899873182,False
1.2,mean_rmg_pre_service_min,2,-0.6509929616781962,0.4051891850133224,-4.291473352082482,2.9894874287260897,False
1.2,median_rmg_pre_service_min,2,0.0,1.4142135623730951,-12.706204736174694,12.706204736174694,False
1.2,p90_rmg_pre_service_min,2,-2.9000000000000057,0.14142135623730148,-4.170620473617403,-1.6293795263826083,True
1.2,rmg_events,2,-2.0,5.656854249492381,-52.82481894469878,48.82481894469878,False
1.2,rmg_receive_events,2,-5.5,2.1213203435596424,-24.55930710426204,13.55930710426204,False
1.2,mean_rmg_receive_service_min,2,0.3864768129474019,0.08010795778148139,-0.3332646318032243,1.106218257698028,False
1.2,median_rmg_receive_service_min,2,1.0,0.0,1.0,1.0,True
1.2,p90_rmg_receive_service_min,2,-0.3500000000000014,0.4949747468305853,-4.7971716576611625,4.09717165766116,False
1.2,mean_rmg_receive_pre_service_min,2,-0.07530929038281986,0.8306936631691394,-7.538795738326694,7.388177157561055,False
1.2,median_rmg_receive_pre_service_min,2,0.5,0.7071067811865476,-5.853102368087347,6.853102368087347,False
1.2,p90_rmg_receive_pre_service_min,2,-0.04999999999999716,1.3435028842544443,-12.12089449936599,12.020894499365996,False
1.2,rmg_delivery_events,2,2.0,5.656854249492381,-48.82481894469878,52.82481894469878,False
1.2,mean_rmg_delivery_service_min,2,0.45716453055222583,2.2191490288643836,-19.48109843838629,20.395427499490744,False
1.2,median_rmg_delivery_service_min,2,0.0,0.0,0.0,0.0,False
1.2,p90_rmg_delivery_service_min,2,1.25,5.303300858899107,-46.398267760655095,48.898267760655095,False
1.2,mean_rmg_delivery_pre_service_min,2,-1.4257883517520287,0.1722264609682363,-2.97318171034569,0.12160500684163278,False
1.2,median_rmg_delivery_pre_service_min,2,-0.75,0.3535533905932738,-3.9265511840436735,2.4265511840436735,False
1.2,p90_rmg_delivery_pre_service_min,2,-5.649999999999999,0.4949747468305853,-10.09717165766116,-1.2028283423388375,True
1.2,mean_inter_arrival_min,2,-0.10240963855421686,0.002839786269825449,-0.12792410589593273,-0.076895171212501,True
1.2,zero_inter_arrival_share,2,0.05823293172690763,0.008519358809476504,-0.01831047029824137,0.13477633375205664,False
1.2,arrival_rate_per_elapsed_hour,2,19.392438687140668,0.33742079646606726,16.360833110577893,22.424044263703443,True
2.4,mean_turnaround_min,2,2.201999999999998,2.616295090390228,-21.304478761923203,25.7084787619232,False
2.4,median_turnaround_min,2,2.5,0.7071067811865476,-3.853102368087347,8.853102368087347,False
2.4,p90_turnaround_min,2,2.049999999999997,11.38441917710341,-100.23494812620625,104.33494812620624,False
2.4,mean_rmg_service_min,2,0.5040507350905248,0.902036004436286,-7.6004212178836426,8.608522688064692,False
2.4,median_rmg_service_min,2,0.0,0.0,0.0,0.0,False
2.4,p90_rmg_service_min,2,4.0,2.8284271247461903,-21.41240947234939,29.41240947234939,False
2.4,mean_rmg_pre_service_min,2,0.3052267817274772,0.7711648097068493,-6.623414137983476,7.233867701438431,False
2.4,median_rmg_pre_service_min,2,0.0,1.4142135623730951,-12.706204736174694,12.706204736174694,False
2.4,p90_rmg_pre_service_min,2,0.09999999999999432,1.2727922061357937,-11.335584262557305,11.535584262557293,False
2.4,rmg_events,2,-3.5,7.7781745930520225,-73.38412604896081,66.38412604896081,False
2.4,rmg_receive_events,2,-1.0,2.8284271247461903,-26.41240947234939,24.41240947234939,False
2.4,mean_rmg_receive_service_min,2,0.7619177973294908,0.7892187340622101,-6.328931197069765,7.8527667917287465,False
2.4,median_rmg_receive_service_min,2,0.5,0.7071067811865476,-5.853102368087347,6.853102368087347,False
2.4,p90_rmg_receive_service_min,2,2.1499999999999986,4.737615433949871,-40.415785866185246,44.71578586618524,False
2.4,mean_rmg_receive_pre_service_min,2,1.0460332134074264,0.6577832168780212,-4.8639145116355085,6.955980938450361,False
2.4,median_rmg_receive_pre_service_min,2,0.5,0.7071067811865476,-5.853102368087347,6.853102368087347,False
2.4,p90_rmg_receive_pre_service_min,2,2.6499999999999986,0.21213203435596223,0.7440692895738126,4.555930710426185,True
2.4,rmg_delivery_events,2,-3.5,6.363961030678928,-60.67792131278612,53.67792131278612,False
