seed,scenario,sim_cases,sim_events,rmg_events,mean_turnaround_min,median_turnaround_min,p90_turnaround_min,max_turnaround_min,mean_rmg_service_min,median_rmg_service_min,p90_rmg_service_min,mean_rmg_pre_service_min,median_rmg_pre_service_min,p90_rmg_pre_service_min,rmg_receive_events,mean_rmg_receive_service_min,median_rmg_receive_service_min,p90_rmg_receive_service_min,mean_rmg_receive_pre_service_min,median_rmg_receive_pre_service_min,p90_rmg_receive_pre_service_min,rmg_delivery_events,mean_rmg_delivery_service_min,median_rmg_delivery_service_min,p90_rmg_delivery_service_min,mean_rmg_delivery_pre_service_min,median_rmg_delivery_pre_service_min,p90_rmg_delivery_pre_service_min,mean_inter_arrival_min,zero_inter_arrival_share,arrival_span_min,arrival_rate_per_elapsed_hour,service_events_above_24h,turnaround_cases_above_24h,gate_arrivals,closed_period_gate_arrivals,sunday_gate_arrivals,night_gate_arrivals,arrival_calendar_compliance,demand_multiplier,nominal_cases
42,calendar_demand_x1.00,250,769,182,32.464,28.0,59.099999999999994,89.0,10.791208791208792,9.0,20.900000000000006,7.961538461538462,6.0,17.0,116,11.448275862068966,9.0,21.0,9.086206896551724,7.0,20.5,53,8.641509433962264,7.0,19.200000000000017,6.037735849056604,4.0,13.600000000000009,0.606425702811245,0.5783132530120482,151.0,98.94039735099338,0,0,0,0,0,0,True,1.0,250
42,calendar_demand_x1.20,300,936,221,32.156666666666666,27.5,58.10000000000002,114.0,10.923076923076923,9.0,23.0,8.647058823529411,6.0,20.0,139,11.050359712230216,9.0,24.0,8.676258992805755,6.0,20.0,67,9.492537313432836,7.0,17.0,8.522388059701493,6.0,20.4,0.43478260869565216,0.6622073578595318,130.0,138.0,0,0,0,0,0,0,True,1.2,300
42,calendar_demand_x2.40,600,1859,441,31.876666666666665,28.0,55.0,136.0,10.560090702947846,8.0,22.0,8.079365079365079,6.0,19.0,272,10.808823529411764,8.0,20.0,7.7536764705882355,6.0,17.0,141,8.865248226950355,6.0,20.0,9.070921985815604,6.0,22.0,0.3021702838063439,0.7629382303839732,181.0,198.5635359116022,0,0,0,0,0,0,True,2.4,600
42,calendar_demand_x3.00,750,2321,564,31.697333333333333,27.0,56.0,282.0,10.957446808510639,8.0,21.0,7.51063829787234,5.0,17.0,351,11.450142450142451,9.0,22.0,7.52991452991453,5.0,17.0,181,8.530386740331492,6.0,17.0,7.613259668508287,5.0,17.0,0.2643524699599466,0.7850467289719626,198.0,226.96969696969697,0,0,0,0,0,0,True,3.0,750
43,calendar_demand_x1.00,250,766,197,33.888,29.0,61.0,114.0,12.543147208121827,9.0,22.400000000000006,7.710659898477157,6.0,16.0,119,13.403361344537815,10.0,24.0,8.134453781512605,6.0,16.200000000000003,64,9.671875,7.0,18.700000000000003,6.75,4.5,14.0,0.6265060240963856,0.5140562248995983,156.0,95.76923076923077,0,0,0,0,0,0,True,1.0,250
43,calendar_demand_x1.20,300,915,229,31.233333333333334,28.0,53.0,99.0,10.790393013100436,8.0,23.0,7.4803493449781655,6.0,16.0,138,11.528985507246377,8.0,23.299999999999997,7.6521739130434785,6.0,16.0,75,7.733333333333333,6.0,14.0,6.72,5.0,15.0,0.5183946488294314,0.5886287625418061,155.0,115.74193548387096,0,0,0,0,0,0,True,1.2,300
43,calendar_demand_x2.40,600,1860,453,32.27166666666667,28.0,54.0,657.0,10.282560706401766,8.0,21.0,8.397350993377483,6.0,20.0,283,10.473498233215548,8.0,21.0,8.883392226148409,6.0,21.0,140,8.385714285714286,7.0,16.10000000000001,7.171428571428572,5.0,15.0,0.2988313856427379,0.7412353923205343,179.0,200.78212290502793,0,0,0,0,0,0,True,2.4,600
43,calendar_demand_x3.00,750,2296,571,31.610666666666667,28.0,53.0,138.0,11.304728546409807,8.0,22.0,8.189141856392295,6.0,19.0,349,11.598853868194842,9.0,22.0,8.297994269340974,5.0,20.0,183,8.939890710382514,6.0,17.80000000000001,8.437158469945356,6.0,20.0,0.22296395193591456,0.794392523364486,167.0,269.10179640718565,0,0,0,0,0,0,True,3.0,750
