variant,count,cum_coverage
"('Gate In', 'HO2_delivery', 'HO2_delivery', 'RMG_mixed', 'RMG_mixed', 'Gate Out')",5,0.9986362315276442
"('Gate In', 'LL_mixed', 'RMG_delivery', 'Gate Out')",5,0.9986921236781506
"('Gate In', 'RMG_mixed', 'HO2_receive', 'Gate Out')",5,0.998748015828657
"('Gate In', 'RMG_mixed', 'HO2_mixed', 'Gate Out')",5,0.9988039079791634
"('Gate In', 'RMG_delivery', 'RMG_delivery', 'LL_delivery', 'LL_delivery', 'Gate Out')",4,0.9988486216995686
"('Gate In', 'LL_delivery', 'RMG_receive', 'RMG_receive', 'Gate Out')",4,0.9988933354199736
"('Gate In', 'HO2_delivery', 'RMG_receive', 'HO2_delivery', 'Gate Out')",4,0.9989380491403788
"('Gate In', 'HO2_mixed', 'RMG_mixed', 'HO2_mixed', 'Gate Out')",3,0.9989715844306826
"('Gate In', 'Gate Out', 'LL_mixed')",3,0.9990051197209864
"('Gate In', 'HO2_delivery', 'LL_delivery', 'Gate Out')",3,0.9990386550112902
"('Gate In', 'HO2_mixed', 'HO2_mixed', 'LL_mixed', 'LL_mixed', 'Gate Out')",3,0.999072190301594
"('Gate In', 'HO2_receive', 'HO2_receive', 'RMG_receive', 'RMG_receive', 'Gate Out')",3,0.9991057255918979
"('Gate In', 'LL_delivery', 'LL_delivery', 'RMG_delivery', 'RMG_delivery', 'Gate Out')",3,0.9991392608822017
"('Gate In', 'LL_mixed', 'HO2_delivery', 'Gate Out')",3,0.9991727961725055
"('Gate In', 'LL_mixed', 'RMG_mixed', 'HO2_mixed', 'Gate Out')",3,0.9992063314628093
"('Gate In', 'RMG_delivery', 'RMG_delivery', 'LL_mixed', 'LL_mixed', 'Gate Out')",3,0.9992398667531132
"('Gate In', 'RMG_mixed', 'RMG_mixed', 'RMG_mixed', 'RMG_mixed', 'Gate Out')",3,0.999273402043417
"('Gate In', 'LL_delivery', 'LL_delivery', 'HO2_mixed', 'HO2_mixed', 'Gate Out')",2,0.9992957589036195
"('Gate In', 'HO2_delivery', 'HO2_delivery', 'LL_mixed', 'LL_mixed', 'Gate Out')",2,0.9993181157638221
"('Gate In', 'HO2_delivery', 'RMG_delivery', 'Gate Out')",2,0.9993404726240247
