case:concept:name,concept:name,org:resource,enabled:timestamp,start:timestamp,time:timestamp,rmg_demand,target_demand,target_rank_group,target_area,full_ratio,has_reefer,rmg_utilization,target_utilization_bin,mt_utilization,gate_demand,vc_demand,n_receives,gate_utilization,n_containers,process_flow_type,n_stops,primary_target_area,target_utilization,target_demand_bin,vc_utilization,target_rank,n_deliveries,mt_demand,visit_complexity,has_hazardous
case_5675,Gate Out,Res.GateOut,2026-04-23 12:13:00,2026-04-23 12:55:00,2026-04-23 12:55:00,11.6,3.0,low,T07,1.0,0,0.55,low,0.8389,19.8,1.43,1,0.58,1,receive,1,T07,0.33,low,0.45,16.0,0,10.6,5,0
case_5705,Gate Out,Res.GateOut,2026-04-23 12:42:00,2026-04-23 12:56:00,2026-04-23 12:56:00,146.67,8.53,low,T14,1.0,0,0.5857,high,0.7943,239.87,25.8,1,0.6178,2,mixed,1,T14,0.6778,high,0.58,11.0,1,37.07,13,0
case_5758,Gate Out,Res.GateOut,2026-04-23 12:50:00,2026-04-23 12:56:00,2026-04-23 12:56:00,136.93,5.97,mid,T26,0.0,0,0.52,medium,0.8276,160.1,17.97,0,0.5588,1,delivery,1,T26,0.5888,medium,0.4188,9.0,1,32.32,2,0
case_5770,Gate In,Res.GateIn,2026-04-23 12:56:00,2026-04-23 12:56:00,2026-04-23 12:56:00,77.07,11.53,low,T11,1.0,0,0.58,medium,0.7343,110.47,17.73,0,0.5886,1,delivery,1,T11,0.6,very_high,0.4528,12.0,1,15.67,3,0
case_5729,Gate Out,Res.GateOut,2026-04-23 12:33:00,2026-04-23 12:57:00,2026-04-23 12:57:00,146.6,9.2,low,T11,0.0,0,0.6205,high,0.839,186.8,25.6,0,0.64,1,delivery,1,T11,0.691,high,0.5395,12.0,1,19.8,2,0
case_5768,RMG_receive,T14,2026-04-23 12:55:00,2026-04-23 12:57:00,2026-04-23 13:11:00,121.78,3.95,mid,T14,1.0,0,0.58,high,0.8417,136.9,18.68,1,0.6017,1,receive,1,T14,0.6917,low,0.48,6.0,0,12.1,4,0
case_5771,Gate In,Res.GateIn,2026-04-23 12:57:00,2026-04-23 12:57:00,2026-04-23 12:57:00,72.6,23.27,non_rmg,MT,1.0,0,0.4886,very_high,0.8791,94.5,10.77,1,0.5386,1,receive,1,MT,0.8791,very_high,0.3595,,0,23.27,5,0
case_5772,Gate In,Res.GateIn,2026-04-23 12:57:00,2026-04-23 12:57:00,2026-04-23 12:57:00,70.22,2.37,mid,T24,1.0,0,0.58,high,0.8942,104.67,16.05,1,0.61,2,mixed,1,T24,0.7058,low,0.4442,6.0,1,11.47,13,0
case_5773,Gate In,Res.GateIn,2026-04-23 12:57:00,2026-04-23 12:57:00,2026-04-23 12:57:00,122.9,3.23,top_3,T23,0.5,0,0.52,medium,0.86,147.75,9.47,1,0.56,2,mixed,2,T23,0.62,low,0.42,2.0,1,36.53,10,0
case_5701,Gate Out,Res.GateOut,2026-04-23 12:51:00,2026-04-23 12:57:00,2026-04-23 12:57:00,151.8,10.82,low,T12,1.0,0,0.56,high,0.8295,191.53,31.18,0,0.61,1,delivery,1,T12,0.6386,high,0.5795,11.0,1,25.37,3,0
case_5717,Gate Out,Res.GateOut,2026-04-23 12:35:00,2026-04-23 12:58:00,2026-04-23 12:58:00,106.5,8.75,low,T27,1.0,1,0.53,medium,0.69,140.0,17.0,1,0.55,1,receive,1,T27,0.61,high,0.4919,13.0,0,26.5,7,0
case_5720,RMG_receive,T13,2026-04-23 12:44:00,2026-04-23 12:58:00,2026-04-23 13:06:00,122.77,24.9,non_rmg,MT,0.5,0,0.59,very_high,0.7862,171.95,28.67,1,0.6,2,mixed,2,MT,0.7862,very_high,0.4562,,1,24.9,8,0
case_5737,Gate Out,Res.GateOut,2026-04-23 12:20:00,2026-04-23 12:58:00,2026-04-23 12:58:00,114.5,4.2,mid,T21,1.0,0,0.5008,high,0.8492,166.4,47.9,0,0.54,1,delivery,1,T21,0.6608,low,0.3508,5.0,1,30.6,6,1
case_5764,RMG_delivery,T13,2026-04-23 12:54:00,2026-04-23 12:58:00,2026-04-23 13:11:00,141.95,20.22,non_rmg,MT,0.0,0,0.62,very_high,0.8708,171.58,32.22,0,0.6308,1,delivery,1,MT,0.8708,very_high,0.4716,,1,20.22,3,0
case_5774,Gate In,Res.GateIn,2026-04-23 12:58:00,2026-04-23 12:58:00,2026-04-23 12:58:00,34.93,2.3,mid,T09,1.0,0,0.62,very_high,0.8714,45.4,7.03,1,0.6314,1,receive,1,T09,0.7186,low,0.46,9.0,0,11.73,5,0
case_5773,LL_delivery,LL,2026-04-23 12:57:00,2026-04-23 12:58:00,2026-04-23 13:05:00,122.9,3.23,top_3,T23,0.5,0,0.52,medium,0.86,147.75,9.47,1,0.56,2,mixed,2,T23,0.62,low,0.42,2.0,1,36.53,10,0
case_5746,Gate Out,Res.GateOut,2026-04-23 12:47:00,2026-04-23 12:59:00,2026-04-23 12:59:00,114.0,9.8,low,T13,1.0,0,0.6347,medium,0.8153,159.87,34.47,0,0.65,1,delivery,1,T13,0.55,high,0.53,12.0,1,30.13,3,0
case_5763,RMG_receive,T19,2026-04-23 12:53:00,2026-04-23 12:59:00,2026-04-23 13:27:00,118.73,5.93,mid,T19,1.0,0,0.6,high,0.75,170.27,29.8,1,0.5937,1,receive,1,T19,0.6937,medium,0.3973,9.0,0,24.93,4,0
case_5757,Gate Out,Res.GateOut,2026-04-23 12:38:00,2026-04-23 13:01:00,2026-04-23 13:01:00,20.45,3.48,non_rmg,VC,1.0,0,0.5381,low,0.7819,30.45,3.48,1,0.57,2,mixed,1,VC,0.5019,low,0.5019,,1,11.07,13,0
case_5753,Gate Out,Res.GateOut,2026-04-23 12:44:00,2026-04-23 13:02:00,2026-04-23 13:02:00,118.2,8.6,top_3,T23,1.0,0,0.4555,medium,0.859,175.8,39.8,1,0.51,1,receive,1,T23,0.6255,high,0.35,1.0,0,39.8,4,0
case_5769,RMG_delivery,T22,2026-04-23 12:55:00,2026-04-23 13:02:00,2026-04-23 13:49:00,72.6,4.73,top_3,T22,1.0,0,0.4886,medium,0.8791,94.5,10.77,0,0.5386,1,delivery,1,T22,0.6082,medium,0.3595,3.0,1,23.27,4,0
case_5775,Gate In,Res.GateIn,2026-04-23 13:02:00,2026-04-23 13:02:00,2026-04-23 13:02:00,72.45,7.05,mid,T21,0.5,0,0.55,high,0.7474,83.25,6.45,1,0.56,2,mixed,2,T21,0.64,high,0.4,8.0,1,20.9,10,0
case_5776,Gate In,Res.GateIn,2026-04-23 13:02:00,2026-04-23 13:02:00,2026-04-23 13:02:00,65.5,3.25,low,T27,1.0,0,0.5712,medium,0.9044,72.5,8.25,1,0.6156,2,mixed,1,T27,0.6156,low,0.48,14.0,1,14.0,13,0
case_5777,Gate In,Res.GateIn,2026-04-23 13:03:00,2026-04-23 13:03:00,2026-04-23 13:03:00,114.43,5.0,low,T09,1.0,1,0.5494,low,0.69,152.58,21.65,0,0.5597,1,delivery,1,T09,0.4491,medium,0.4997,16.0,1,31.28,6,0
case_5778,Gate In,Res.GateIn,2026-04-23 13:03:00,2026-04-23 13:03:00,2026-04-23 13:03:00,83.0,18.67,non_rmg,VC,1.0,0,0.5517,low,0.89,104.33,18.67,1,0.5917,1,receive,1,VC,0.4317,very_high,0.4317,,0,4.0,4,0
case_5719,Gate Out,Res.GateOut,2026-04-23 12:29:00,2026-04-23 13:04:00,2026-04-23 13:04:00,128.5,6.0,mid,T13,1.0,0,0.5879,very_high,0.84,164.67,38.5,1,0.5979,1,receive,1,T13,0.7279,medium,0.3879,5.0,0,2.83,4,0
case_5767,Gate Out,Res.GateOut,2026-04-23 12:59:00,2026-04-23 13:04:00,2026-04-23 13:04:00,97.87,3.17,mid,T14,1.0,0,0.52,high,0.78,139.57,36.9,1,0.56,1,receive,1,T14,0.7001,low,0.4702,6.0,0,0.0,5,0
case_5774,RMG_receive,T09,2026-04-23 12:58:00,2026-04-23 13:04:00,2026-04-23 13:16:00,34.93,2.3,mid,T09,1.0,0,0.62,very_high,0.8714,45.4,7.03,1,0.6314,1,receive,1,T09,0.7186,low,0.46,9.0,0,11.73,5,0
case_5779,Gate In,Res.GateIn,2026-04-23 13:04:00,2026-04-23 13:04:00,2026-04-23 13:04:00,81.4,5.15,mid,T10,1.0,0,0.5761,high,0.84,98.75,15.8,0,0.6,1,delivery,1,T10,0.65,medium,0.48,10.0,1,9.2,4,0
case_5780,Gate In,Res.GateIn,2026-04-23 13:04:00,2026-04-23 13:04:00,2026-04-23 13:04:00,123.3,12.38,low,T25,1.0,0,0.5869,low,0.8269,136.88,39.58,0,0.5969,1,delivery,1,T25,0.0323,very_high,0.4085,19.0,1,8.62,3,0
case_5781,Gate In,Res.GateIn,2026-04-23 13:04:00,2026-04-23 13:04:00,2026-04-23 13:04:00,128.48,7.35,mid,T19,1.0,0,0.53,high,0.7561,149.97,40.05,1,0.563,2,mixed,1,T19,0.6661,high,0.483,8.0,1,31.75,13,0
case_5782,Gate In,Res.GateIn,2026-04-23 13:04:00,2026-04-23 13:04:00,2026-04-23 13:04:00,91.87,5.2,mid,T17,1.0,0,0.5368,medium,0.86,90.4,6.4,1,0.5768,1,receive,1,T17,0.6068,medium,0.42,7.0,0,13.0,4,0
case_5735,Gate Out,Res.GateOut,2026-04-23 12:24:00,2026-04-23 13:05:00,2026-04-23 13:05:00,77.33,2.05,top_3,T24,1.0,0,0.61,very_high,0.87,106.48,17.15,1,0.63,1,receive,1,T24,0.7467,low,0.47,2.0,0,27.78,5,0
case_5743,Gate Out,Res.GateOut,2026-04-23 12:54:00,2026-04-23 13:05:00,2026-04-23 13:05:00,89.57,3.43,low,T13,0.5,0,0.5978,medium,0.79,99.93,15.43,1,0.6078,2,mixed,2,T13,0.5861,low,0.4757,13.0,1,26.77,9,0
case_5775,LL_delivery,LL,2026-04-23 13:02:00,2026-04-23 13:05:00,2026-04-23 13:08:00,72.45,7.05,mid,T21,0.5,0,0.55,high,0.7474,83.25,6.45,1,0.56,2,mixed,2,T21,0.64,high,0.4,8.0,1,20.9,10,0
case_5778,HO2_delivery,HO2,2026-04-23 13:03:00,2026-04-23 13:05:00,2026-04-23 13:19:00,83.0,18.67,non_rmg,VC,1.0,0,0.5517,low,0.89,104.33,18.67,1,0.5917,1,receive,1,VC,0.4317,very_high,0.4317,,0,4.0,4,0
case_5739,Gate Out,Res.GateOut,2026-04-23 12:40:00,2026-04-23 13:06:00,2026-04-23 13:06:00,137.18,5.57,low,T11,1.0,0,0.56,low,0.8268,182.73,31.72,1,0.61,1,receive,1,T11,0.2896,medium,0.5768,20.0,0,25.02,4,0
case_5766,RMG_receive,T07,2026-04-23 12:55:00,2026-04-23 13:06:00,2026-04-23 13:12:00,85.77,6.73,low,T07,1.0,0,0.5561,medium,0.8539,114.43,19.3,1,0.5961,1,receive,1,T07,0.5282,medium,0.47,15.0,0,17.73,5,0
case_5783,Gate In,Res.GateIn,2026-04-23 13:06:00,2026-04-23 13:06:00,2026-04-23 13:06:00,92.4,17.9,non_rmg,MT,0.0,0,0.5074,very_high,0.8326,120.2,36.65,0,0.56,1,delivery,1,MT,0.8326,very_high,0.5,,1,17.9,3,0
case_5747,RMG_receive,T06,2026-04-23 12:40:00,2026-04-23 13:07:00,2026-04-23 13:09:00,42.77,2.0,low,T06,0.5,0,0.5194,medium,0.8703,48.17,6.65,1,0.5497,2,mixed,2,T06,0.5094,low,0.36,16.0,1,6.28,10,0
case_5765,RMG_delivery,T13,2026-04-23 12:55:00,2026-04-23 13:07:00,2026-04-23 13:23:00,19.37,12.72,non_rmg,MT,0.0,0,0.5326,very_high,0.7874,40.85,3.23,0,0.57,1,delivery,1,MT,0.7874,very_high,0.5074,,1,12.72,3,0
case_5771,LL_receive,LL,2026-04-23 12:57:00,2026-04-23 13:07:00,2026-04-23 13:15:00,72.6,23.27,non_rmg,MT,1.0,0,0.4886,very_high,0.8791,94.5,10.77,1,0.5386,1,receive,1,MT,0.8791,very_high,0.3595,,0,23.27,5,0
case_5776,RMG_mixed,T27,2026-04-23 13:02:00,2026-04-23 13:07:00,2026-04-23 13:17:00,65.5,3.25,low,T27,1.0,0,0.5712,medium,0.9044,72.5,8.25,1,0.6156,2,mixed,1,T27,0.6156,low,0.48,14.0,1,14.0,13,0
case_5784,Gate In,Res.GateIn,2026-04-23 13:07:00,2026-04-23 13:07:00,2026-04-23 13:07:00,90.65,9.48,low,T16,0.0,0,0.58,high,0.92,126.23,23.1,1,0.62,1,receive,1,T16,0.6489,high,0.4855,13.0,0,9.27,3,0
case_5784,RMG_receive,T16,2026-04-23 13:07:00,2026-04-23 13:07:00,2026-04-23 13:14:00,90.65,9.48,low,T16,0.0,0,0.58,high,0.92,126.23,23.1,1,0.62,1,receive,1,T16,0.6489,high,0.4855,13.0,0,9.27,3,0
case_5744,Gate Out,Res.GateOut,2026-04-23 12:55:00,2026-04-23 13:08:00,2026-04-23 13:08:00,120.45,10.0,mid,T23,1.0,0,0.5467,very_high,0.8267,164.5,29.37,0,0.5967,1,delivery,1,T23,0.77,high,0.5734,5.0,1,18.95,4,0
case_5761,Gate Out,Res.GateOut,2026-04-23 12:59:00,2026-04-23 13:08:00,2026-04-23 13:08:00,117.0,6.0,low,T10,1.0,0,0.6175,high,0.8775,159.0,29.0,1,0.6375,1,receive,1,T10,0.705,medium,0.47,11.0,0,39.0,4,0
case_5773,RMG_receive,T23,2026-04-23 13:05:00,2026-04-23 13:08:00,2026-04-23 13:38:00,122.9,3.23,top_3,T23,0.5,0,0.52,medium,0.86,147.75,9.47,1,0.56,2,mixed,2,T23,0.62,low,0.42,2.0,1,36.53,10,0
case_5781,RMG_mixed,T19,2026-04-23 13:04:00,2026-04-23 13:08:00,2026-04-23 13:30:00,128.48,7.35,mid,T19,1.0,0,0.53,high,0.7561,149.97,40.05,1,0.563,2,mixed,1,T19,0.6661,high,0.483,8.0,1,31.75,13,0
case_5785,Gate In,Res.GateIn,2026-04-23 13:08:00,2026-04-23 13:08:00,2026-04-23 13:08:00,101.8,5.8,mid,T21,1.0,0,0.6022,very_high,0.7522,119.4,24.8,0,0.6,1,delivery,1,T21,0.75,medium,0.4168,4.0,1,28.8,5,1
case_5786,Gate In,Res.GateIn,2026-04-23 13:08:00,2026-04-23 13:08:00,2026-04-23 13:08:00,137.75,10.02,top_3,T20,1.0,0,0.5868,very_high,0.9068,158.38,27.58,0,0.6168,1,delivery,1,T20,0.7268,high,0.4568,3.0,1,7.85,4,0
case_5786,RMG_delivery,T20,2026-04-23 13:08:00,2026-04-23 13:08:00,2026-04-23 13:21:00,137.75,10.02,top_3,T20,1.0,0,0.5868,very_high,0.9068,158.38,27.58,0,0.6168,1,delivery,1,T20,0.7268,high,0.4568,3.0,1,7.85,4,0
case_5787,Gate In,Res.GateIn,2026-04-23 13:08:00,2026-04-23 13:08:00,2026-04-23 13:08:00,16.5,12.5,non_rmg,MT,0.0,0,0.4525,very_high,0.85,24.5,1.5,0,0.5062,1,delivery,1,MT,0.85,very_high,0.34,,1,12.5,3,0
case_5788,Gate In,Res.GateIn,2026-04-23 13:08:00,2026-04-23 13:08:00,2026-04-23 13:08:00,124.25,3.37,top_3,T23,1.0,0,0.5059,high,0.8359,145.72,17.37,1,0.543,1,receive,1,T23,0.6389,low,0.403,1.0,0,10.63,5,0
case_5789,Gate In,Res.GateIn,2026-04-23 13:09:00,2026-04-23 13:09:00,2026-04-23 13:09:00,33.4,3.8,low,T25,0.5,0,0.51,medium,0.82,51.8,12.35,1,0.5451,2,mixed,1,T25,0.54,low,0.42,11.0,1,0.0,10,0
case_5788,RMG_receive,T23,2026-04-23 13:08:00,2026-04-23 13:09:00,2026-04-23 13:25:00,124.25,3.37,top_3,T23,1.0,0,0.5059,high,0.8359,145.72,17.37,1,0.543,1,receive,1,T23,0.6389,low,0.403,1.0,0,10.63,5,0
case_5790,Gate In,Res.GateIn,2026-04-23 13:10:00,2026-04-23 13:10:00,2026-04-23 13:10:00,130.0,11.0,top_3,T20,1.0,0,0.4928,medium,0.8155,160.0,16.0,1,0.5328,1,receive,1,T20,0.6372,very_high,0.4,1.0,0,8.2,4,0
case_5791,Gate In,Res.GateIn,2026-04-23 13:10:00,2026-04-23 13:10:00,2026-04-23 13:10:00,40.8,2.0,low,T27,1.0,0,0.63,medium,0.87,58.4,10.2,0,0.64,1,delivery,1,T27,0.6285,low,0.4615,15.0,1,6.8,4,0
case_5792,Gate In,Res.GateIn,2026-04-23 13:10:00,2026-04-23 13:10:00,2026-04-23 13:10:00,136.7,9.35,mid,T16,1.0,0,0.45,medium,0.87,166.15,28.15,1,0.5011,1,receive,1,T16,0.5211,high,0.35,8.0,0,17.8,4,0
case_5756,HO2_delivery,HO2,2026-04-23 12:31:00,2026-04-23 13:11:00,2026-04-23 13:14:00,121.0,11.0,non_rmg,VC,1.0,0,0.5,low,0.83,142.0,11.0,1,0.54,1,receive,1,VC,0.4,very_high,0.4,,0,9.0,4,0
case_5785,RMG_delivery,T21,2026-04-23 13:08:00,2026-04-23 13:11:00,2026-04-23 13:15:00,101.8,5.8,mid,T21,1.0,0,0.6022,very_high,0.7522,119.4,24.8,0,0.6,1,delivery,1,T21,0.75,medium,0.4168,4.0,1,28.8,5,1
case_5793,Gate In,Res.GateIn,2026-04-23 13:11:00,2026-04-23 13:11:00,2026-04-23 13:11:00,72.8,3.72,mid,T18,0.0,0,0.5764,high,0.8164,77.37,7.55,0,0.5864,1,delivery,1,T18,0.7064,low,0.4032,7.0,1,5.72,3,0
case_5794,Gate In,Res.GateIn,2026-04-23 13:11:00,2026-04-23 13:11:00,2026-04-23 13:11:00,130.65,1.3,low,T08,1.0,0,0.5329,low,0.8129,148.6,12.4,1,0.56,1,receive,1,T08,0.19,low,0.3971,18.0,0,30.1,5,0
case_5795,Gate In,Res.GateIn,2026-04-23 13:11:00,2026-04-23 13:11:00,2026-04-23 13:11:00,17.0,0.9,low,T12,1.0,0,0.5466,medium,0.84,18.0,1.9,1,0.5866,1,receive,1,T12,0.5866,low,0.4766,12.0,0,2.4,5,0
case_5795,RMG_receive,T12,2026-04-23 13:11:00,2026-04-23 13:11:00,2026-04-23 13:17:00,17.0,0.9,low,T12,1.0,0,0.5466,medium,0.84,18.0,1.9,1,0.5866,1,receive,1,T12,0.5866,low,0.4766,12.0,0,2.4,5,0
case_5782,RMG_receive,T17,2026-04-23 13:04:00,2026-04-23 13:12:00,2026-04-23 13:17:00,91.87,5.2,mid,T17,1.0,0,0.5368,medium,0.86,90.4,6.4,1,0.5768,1,receive,1,T17,0.6068,medium,0.42,7.0,0,13.0,4,0
case_5796,Gate In,Res.GateIn,2026-04-23 13:12:00,2026-04-23 13:12:00,2026-04-23 13:12:00,59.33,2.17,low,T27,1.0,0,0.55,medium,0.7496,65.33,4.33,1,0.56,1,receive,1,T27,0.5896,low,0.4,11.0,0,20.17,5,0
case_5775,RMG_receive,T21,2026-04-23 13:08:00,2026-04-23 13:13:00,2026-04-23 13:15:00,72.45,7.05,mid,T21,0.5,0,0.55,high,0.7474,83.25,6.45,1,0.56,2,mixed,2,T21,0.64,high,0.4,8.0,1,20.9,10,0
case_5777,RMG_delivery,T09,2026-04-23 13:03:00,2026-04-23 13:13:00,2026-04-23 13:21:00,114.43,5.0,low,T09,1.0,1,0.5494,low,0.69,152.58,21.65,0,0.5597,1,delivery,1,T09,0.4491,medium,0.4997,16.0,1,31.28,6,0
case_5779,RMG_delivery,T10,2026-04-23 13:04:00,2026-04-23 13:13:00,2026-04-23 13:16:00,81.4,5.15,mid,T10,1.0,0,0.5761,high,0.84,98.75,15.8,0,0.6,1,delivery,1,T10,0.65,medium,0.48,10.0,1,9.2,4,0
case_5780,RMG_delivery,T25,2026-04-23 13:04:00,2026-04-23 13:13:00,2026-04-23 13:19:00,123.3,12.38,low,T25,1.0,0,0.5869,low,0.8269,136.88,39.58,0,0.5969,1,delivery,1,T25,0.0323,very_high,0.4085,19.0,1,8.62,3,0
case_5797,Gate In,Res.GateIn,2026-04-23 13:13:00,2026-04-23 13:13:00,2026-04-23 13:13:00,72.33,4.3,low,T13,1.0,0,0.5519,medium,0.8581,98.13,10.93,0,0.5919,1,delivery,1,T13,0.55,low,0.47,12.0,1,14.3,3,0
case_5798,Gate In,Res.GateIn,2026-04-23 13:13:00,2026-04-23 13:13:00,2026-04-23 13:13:00,146.2,3.93,low,T19,0.5,0,0.52,medium,0.8102,162.0,18.03,1,0.5501,2,mixed,2,T19,0.5702,low,0.4101,12.0,1,41.63,8,0
case_5799,Gate In,Res.GateIn,2026-04-23 13:13:00,2026-04-23 13:13:00,2026-04-23 13:13:00,111.42,5.58,mid,T21,1.0,0,0.5085,high,0.8415,147.25,20.92,0,0.54,1,delivery,1,T21,0.6685,medium,0.3585,5.0,1,29.25,4,0
case_5792,RMG_receive,T16,2026-04-23 13:10:00,2026-04-23 13:14:00,2026-04-23 13:24:00,136.7,9.35,mid,T16,1.0,0,0.45,medium,0.87,166.15,28.15,1,0.5011,1,receive,1,T16,0.5211,high,0.35,8.0,0,17.8,4,0
case_5800,Gate In,Res.GateIn,2026-04-23 13:14:00,2026-04-23 13:14:00,2026-04-23 13:14:00,63.62,1.48,top_3,T19,1.0,0,0.5838,high,0.7476,99.58,10.52,1,0.59,1,receive,1,T19,0.6676,low,0.4538,3.0,0,17.38,4,0
case_5720,Gate Out,Res.GateOut,2026-04-23 13:06:00,2026-04-23 13:15:00,2026-04-23 13:15:00,122.77,24.9,non_rmg,MT,0.5,0,0.59,very_high,0.7862,171.95,28.67,1,0.6,2,mixed,2,MT,0.7862,very_high,0.4562,,1,24.9,8,0
case_5732,Gate Out,Res.GateOut,2026-04-23 12:21:00,2026-04-23 13:15:00,2026-04-23 13:15:00,95.8,12.1,low,T06,0.0,0,0.5478,low,0.8245,118.5,15.0,0,0.58,2,delivery,1,T06,0.34,very_high,0.47,17.0,2,10.8,3,0
case_5789,RMG_mixed,T25,2026-04-23 13:09:00,2026-04-23 13:15:00,2026-04-23 13:34:00,33.4,3.8,low,T25,0.5,0,0.51,medium,0.82,51.8,12.35,1,0.5451,2,mixed,1,T25,0.54,low,0.42,11.0,1,0.0,10,0
case_5797,RMG_delivery,T13,2026-04-23 13:13:00,2026-04-23 13:15:00,2026-04-23 13:18:00,72.33,4.3,low,T13,1.0,0,0.5519,medium,0.8581,98.13,10.93,0,0.5919,1,delivery,1,T13,0.55,low,0.47,12.0,1,14.3,3,0
case_5798,LL_delivery,LL,2026-04-23 13:13:00,2026-04-23 13:15:00,2026-04-23 13:25:00,146.2,3.93,low,T19,0.5,0,0.52,medium,0.8102,162.0,18.03,1,0.5501,2,mixed,2,T19,0.5702,low,0.4101,12.0,1,41.63,8,0
case_5801,Gate In,Res.GateIn,2026-04-23 13:15:00,2026-04-23 13:15:00,2026-04-23 13:15:00,111.4,7.6,low,T07,1.0,0,0.61,medium,0.836,114.6,31.2,1,0.636,1,receive,1,T07,0.544,high,0.526,11.0,0,0.0,4,0
case_5802,Gate In,Res.GateIn,2026-04-23 13:15:00,2026-04-23 13:15:00,2026-04-23 13:15:00,45.7,4.13,mid,T12,0.0,0,0.532,medium,0.788,84.73,7.77,0,0.57,1,delivery,1,T12,0.61,low,0.508,9.0,1,21.8,3,0
case_5803,Gate In,Res.GateIn,2026-04-23 13:15:00,2026-04-23 13:15:00,2026-04-23 13:15:00,35.5,9.17,non_rmg,VC,1.0,0,0.6079,medium,0.83,37.83,9.17,0,0.63,1,delivery,1,VC,0.52,high,0.52,,1,0.0,3,0
case_5804,Gate In,Res.GateIn,2026-04-23 13:15:00,2026-04-23 13:15:00,2026-04-23 13:15:00,97.22,35.85,non_rmg,VC,1.0,1,0.53,low,0.7584,115.43,35.85,1,0.5642,1,receive,1,VC,0.4842,very_high,0.4842,,0,24.75,9,1
case_5764,Gate Out,Res.GateOut,2026-04-23 13:11:00,2026-04-23 13:16:00,2026-04-23 13:16:00,141.95,20.22,non_rmg,MT,0.0,0,0.62,very_high,0.8708,171.58,32.22,0,0.6308,1,delivery,1,MT,0.8708,very_high,0.4716,,1,20.22,3,0
case_5766,Gate Out,Res.GateOut,2026-04-23 13:12:00,2026-04-23 13:16:00,2026-04-23 13:16:00,85.77,6.73,low,T07,1.0,0,0.5561,medium,0.8539,114.43,19.3,1,0.5961,1,receive,1,T07,0.5282,medium,0.47,15.0,0,17.73,5,0
case_5805,Gate In,Res.GateIn,2026-04-23 13:16:00,2026-04-23 13:16:00,2026-04-23 13:16:00,62.2,4.1,mid,T15,1.0,0,0.62,very_high,0.87,58.3,7.5,0,0.63,1,delivery,1,T15,0.73,low,0.4618,6.0,1,13.3,3,0
case_5805,RMG_delivery,T15,2026-04-23 13:16:00,2026-04-23 13:16:00,2026-04-23 13:21:00,62.2,4.1,mid,T15,1.0,0,0.62,very_high,0.87,58.3,7.5,0,0.63,1,delivery,1,T15,0.73,low,0.4618,6.0,1,13.3,3,0
case_5770,RMG_delivery,T11,2026-04-23 12:56:00,2026-04-23 13:17:00,2026-04-23 13:24:00,77.07,11.53,low,T11,1.0,0,0.58,medium,0.7343,110.47,17.73,0,0.5886,1,delivery,1,T11,0.6,very_high,0.4528,12.0,1,15.67,3,0
case_5775,Gate Out,Res.GateOut,2026-04-23 13:15:00,2026-04-23 13:17:00,2026-04-23 13:17:00,72.45,7.05,mid,T21,0.5,0,0.55,high,0.7474,83.25,6.45,1,0.56,2,mixed,2,T21,0.64,high,0.4,8.0,1,20.9,10,0
case_5790,RMG_receive,T20,2026-04-23 13:10:00,2026-04-23 13:18:00,2026-04-23 13:35:00,130.0,11.0,top_3,T20,1.0,0,0.4928,medium,0.8155,160.0,16.0,1,0.5328,1,receive,1,T20,0.6372,very_high,0.4,1.0,0,8.2,4,0
case_5791,RMG_delivery,T27,2026-04-23 13:10:00,2026-04-23 13:18:00,2026-04-23 13:21:00,40.8,2.0,low,T27,1.0,0,0.63,medium,0.87,58.4,10.2,0,0.64,1,delivery,1,T27,0.6285,low,0.4615,15.0,1,6.8,4,0
case_5747,Gate Out,Res.GateOut,2026-04-23 13:09:00,2026-04-23 13:19:00,2026-04-23 13:19:00,42.77,2.0,low,T06,0.5,0,0.5194,medium,0.8703,48.17,6.65,1,0.5497,2,mixed,2,T06,0.5094,low,0.36,16.0,1,6.28,10,0
case_5779,Gate Out,Res.GateOut,2026-04-23 13:16:00,2026-04-23 13:19:00,2026-04-23 13:19:00,81.4,5.15,mid,T10,1.0,0,0.5761,high,0.84,98.75,15.8,0,0.6,1,delivery,1,T10,0.65,medium,0.48,10.0,1,9.2,4,0
case_5806,Gate In,Res.GateIn,2026-04-23 13:19:00,2026-04-23 13:19:00,2026-04-23 13:19:00,124.6,30.93,non_rmg,VC,1.0,1,0.52,low,0.7623,166.13,30.93,1,0.5512,1,receive,1,VC,0.47,very_high,0.47,,0,18.6,7,0
case_5807,Gate In,Res.GateIn,2026-04-23 13:19:00,2026-04-23 13:19:00,2026-04-23 13:19:00,20.52,2.0,mid,T17,1.0,0,0.56,high,0.862,23.6,0.65,1,0.58,1,receive,1,T17,0.642,low,0.358,9.0,0,5.22,4,0
case_5808,Gate In,Res.GateIn,2026-04-23 13:20:00,2026-04-23 13:20:00,2026-04-23 13:20:00,112.05,7.88,top_3,T21,1.0,0,0.6203,very_high,0.8797,158.3,25.0,1,0.64,1,receive,1,T21,0.78,high,0.47,1.0,0,31.65,4,0
case_5809,Gate In,Res.GateIn,2026-04-23 13:20:00,2026-04-23 13:20:00,2026-04-23 13:20:00,125.65,30.23,non_rmg,VC,1.0,1,0.52,low,0.7606,162.28,30.23,0,0.5503,1,delivery,1,VC,0.47,very_high,0.47,,1,19.65,6,0
