case:concept:name,concept:name,org:resource,enabled:timestamp,start:timestamp,time:timestamp,rmg_demand,target_demand,target_rank_group,target_area,full_ratio,has_reefer,rmg_utilization,target_utilization_bin,mt_utilization,gate_demand,vc_demand,n_receives,gate_utilization,n_containers,process_flow_type,n_stops,primary_target_area,target_utilization,target_demand_bin,vc_utilization,target_rank,n_deliveries,mt_demand,visit_complexity,has_hazardous
case_14,Gate In,Res.GateIn,2026-04-20 18:23:00,2026-04-20 18:23:00,2026-04-20 18:23:00,143.08,30.17,non_rmg,VC,1.0,0,0.58,low,0.9,185.0,30.17,1,0.618,1,receive,1,VC,0.4741,very_high,0.4741,,0,20.08,4,0
case_14,HO2_delivery,HO2,2026-04-20 18:23:00,2026-04-20 18:23:00,2026-04-20 18:29:00,143.08,30.17,non_rmg,VC,1.0,0,0.58,low,0.9,185.0,30.17,1,0.618,1,receive,1,VC,0.4741,very_high,0.4741,,0,20.08,4,0
case_12,RMG_receive,T09,2026-04-20 18:23:00,2026-04-20 18:24:00,2026-04-20 18:30:00,127.0,10.73,low,T09,1.0,0,0.55,low,0.8154,171.0,32.2,1,0.5646,1,receive,1,T09,0.2616,high,0.3846,20.0,0,22.07,4,0
case_15,Gate In,Res.GateIn,2026-04-20 18:24:00,2026-04-20 18:24:00,2026-04-20 18:24:00,85.87,23.88,non_rmg,MT,0.0,0,0.6159,very_high,0.8341,109.48,15.57,0,0.6359,1,delivery,1,MT,0.8341,very_high,0.5259,,1,23.88,3,0
case_16,Gate In,Res.GateIn,2026-04-20 18:24:00,2026-04-20 18:24:00,2026-04-20 18:24:00,92.2,24.75,non_rmg,MT,0.0,0,0.5268,very_high,0.8334,114.7,12.55,0,0.5634,1,delivery,1,MT,0.8334,very_high,0.42,,1,24.75,3,0
case_17,Gate In,Res.GateIn,2026-04-20 18:25:00,2026-04-20 18:25:00,2026-04-20 18:25:00,120.4,4.27,mid,T11,1.0,0,0.5868,high,0.9132,147.33,32.2,1,0.62,1,receive,1,T11,0.6637,low,0.4663,10.0,0,5.73,5,0
case_18,Gate In,Res.GateIn,2026-04-20 18:25:00,2026-04-20 18:25:00,2026-04-20 18:25:00,52.2,5.73,mid,T16,1.0,0,0.59,high,0.7645,98.97,11.35,1,0.6,1,receive,1,T16,0.65,medium,0.4655,8.0,0,12.28,5,0
case_9,RMG_receive,T20,2026-04-20 18:20:00,2026-04-20 18:27:00,2026-04-20 18:41:00,71.15,3.65,mid,T20,1.0,0,0.56,high,0.9145,73.08,7.3,1,0.6,1,receive,1,T20,0.7,low,0.42,5.0,0,6.78,4,0
case_15,RMG_delivery,T13,2026-04-20 18:24:00,2026-04-20 18:27:00,2026-04-20 18:30:00,85.87,23.88,non_rmg,MT,0.0,0,0.6159,very_high,0.8341,109.48,15.57,0,0.6359,1,delivery,1,MT,0.8341,very_high,0.5259,,1,23.88,3,0
case_5,Gate Out,Res.GateOut,2026-04-20 18:23:00,2026-04-20 18:29:00,2026-04-20 18:29:00,115.47,13.47,top_3,T22,1.0,0,0.6,very_high,0.75,173.53,25.6,1,0.5948,2,mixed,1,T22,0.7497,very_high,0.3997,2.0,1,25.87,15,1
case_19,Gate In,Res.GateIn,2026-04-20 18:29:00,2026-04-20 18:29:00,2026-04-20 18:29:00,37.5,2.9,mid,T25,1.0,0,0.6291,high,0.82,47.97,6.73,1,0.6491,1,receive,1,T25,0.7082,low,0.53,8.0,0,12.27,5,0
case_6,RMG_receive,T11,2026-04-20 18:29:00,2026-04-20 18:30:00,2026-04-20 18:36:00,64.97,5.22,low,T11,0.5,0,0.5661,low,0.847,108.67,18.83,1,0.603,2,mixed,2,T11,0.4791,medium,0.473,16.0,1,11.95,8,0
case_20,Gate In,Res.GateIn,2026-04-20 18:30:00,2026-04-20 18:30:00,2026-04-20 18:30:00,126.55,8.35,top_3,T23,1.0,0,0.6289,very_high,0.8222,166.0,22.0,1,0.64,2,mixed,1,T23,0.7689,high,0.5311,2.0,1,19.75,13,0
case_21,Gate In,Res.GateIn,2026-04-20 18:30:00,2026-04-20 18:30:00,2026-04-20 18:30:00,82.4,1.8,mid,T19,1.0,1,0.61,high,0.8335,71.2,17.8,1,0.6335,1,receive,1,T19,0.7135,low,0.5235,8.0,0,0.0,7,0
case_22,Gate In,Res.GateIn,2026-04-20 18:30:00,2026-04-20 18:30:00,2026-04-20 18:30:00,120.3,6.17,top_3,T14,1.0,0,0.5444,high,0.74,152.47,20.87,0,0.5544,1,delivery,1,T14,0.6744,medium,0.4056,3.0,1,32.5,4,0
case_23,Gate In,Res.GateIn,2026-04-20 18:30:00,2026-04-20 18:30:00,2026-04-20 18:30:00,122.4,4.6,low,T13,1.0,0,0.45,low,0.87,185.0,36.0,1,0.508,1,receive,1,T13,0.458,medium,0.35,12.0,0,37.2,5,0
case_2,Gate Out,Res.GateOut,2026-04-20 18:23:00,2026-04-20 18:31:00,2026-04-20 18:31:00,152.45,9.9,low,T11,1.0,0,0.6195,high,0.85,182.6,24.1,0,0.6395,1,delivery,1,T11,0.6895,high,0.5286,11.0,1,27.17,4,0
case_17,RMG_receive,T11,2026-04-20 18:25:00,2026-04-20 18:31:00,2026-04-20 18:42:00,120.4,4.27,mid,T11,1.0,0,0.5868,high,0.9132,147.33,32.2,1,0.62,1,receive,1,T11,0.6637,low,0.4663,10.0,0,5.73,5,0
