scenario,metric,n,mean,std,ci95_lo,ci95_hi,half_width
baseline,mean_turnaround_min,10,31.548122065727704,0.16058333514909806,31.433247667944993,31.662996463510414,0.11487439778271025
baseline,median_turnaround_min,10,28.0,0.0,28.0,28.0,0.0
baseline,p90_turnaround_min,10,53.8,0.4216370213557839,53.49837904496024,54.101620955039756,0.30162095503975905
baseline,mean_rmg_service_min,10,10.889026410940959,0.09543990687890515,10.820752814449937,10.95730000743198,0.0682735964910215
baseline,median_rmg_service_min,10,8.0,0.0,8.0,8.0,0.0
baseline,p90_rmg_service_min,10,21.7,0.48304589153964794,21.354449785586354,22.045550214413645,0.3455502144136453
baseline,mean_rmg_pre_service_min,10,7.884954642642233,0.0624321158286824,7.840293397429825,7.929615887854641,0.04466124521240822
baseline,median_rmg_pre_service_min,10,5.0,0.0,5.0,5.0,0.0
baseline,p90_rmg_pre_service_min,10,18.0,0.0,18.0,18.0,0.0
baseline,rmg_events,10,14373.6,53.506385911714624,14335.323837324524,14411.876162675477,38.27616267547637
baseline,rmg_receive_events,10,8047.6,37.25348604120455,8020.950461488943,8074.249538511058,26.64953851105747
baseline,mean_rmg_receive_service_min,10,11.332293959256086,0.11839812303668011,11.247597044287833,11.41699087422434,0.08469691496825327
baseline,median_rmg_receive_service_min,10,9.0,0.0,9.0,9.0,0.0
baseline,p90_rmg_receive_service_min,10,22.1,0.3162277660168379,21.87378428372018,22.326215716279822,0.22621571627982107
baseline,mean_rmg_receive_pre_service_min,10,8.036268067335115,0.08959795031461308,7.97217355481674,8.10036257985349,0.06409451251837517
baseline,median_rmg_receive_pre_service_min,10,5.0,0.0,5.0,5.0,0.0
baseline,p90_rmg_receive_pre_service_min,10,18.8,0.4216370213557839,18.49837904496024,19.10162095503976,0.30162095503975905
baseline,rmg_delivery_events,10,5349.1,56.53406052991418,5308.657969377363,5389.542030622638,40.4420306226375
baseline,mean_rmg_delivery_service_min,10,8.78279848637656,0.07866785503202864,8.7265228930015,8.83907407975162,0.056275593375060495
baseline,median_rmg_delivery_service_min,10,6.25,0.42491829279939874,5.946031764772685,6.553968235227315,0.3039682352273152
baseline,p90_rmg_delivery_service_min,10,17.16999999999998,0.33349995835415186,16.93142850165041,17.408571498349552,0.2385714983495717
baseline,mean_rmg_delivery_pre_service_min,10,7.665522221474104,0.08589302720653286,7.604078051287185,7.726966391661024,0.0614441701869195
baseline,median_rmg_delivery_pre_service_min,10,5.0,0.0,5.0,5.0,0.0
baseline,p90_rmg_delivery_pre_service_min,10,17.890000000000054,0.31428932176861973,17.665170963200037,18.11482903680007,0.22482903680001698
baseline,mean_inter_arrival_min,10,0.8281873567715612,0.006893065142394227,0.8232563550186438,0.8331183585244786,0.0049310017529173855
baseline,zero_inter_arrival_share,10,0.5422055782236879,0.0026001504164092394,0.5403455426667471,0.5440656137806287,0.001860035556940809
baseline,arrival_rate_per_elapsed_hour,10,72.45191303851455,0.605848895442154,72.0185148471853,72.8853112298438,0.4333981913292462
t22_closed,mean_turnaround_min,10,31.639928459646775,0.17810766698880173,31.512517910060012,31.767339009233538,0.127410549586763
t22_closed,median_turnaround_min,10,27.9,0.31622776601683794,27.673784283720178,28.12621571627982,0.22621571627982107
t22_closed,p90_turnaround_min,10,53.8,0.4216370213557839,53.49837904496024,54.101620955039756,0.30162095503975905
t22_closed,mean_rmg_service_min,10,10.869996868828647,0.06772528742712472,10.821549116758804,10.918444620898489,0.04844775206984231
t22_closed,median_rmg_service_min,10,8.0,0.0,8.0,8.0,0.0
t22_closed,p90_rmg_service_min,10,21.6,0.5163977794943222,21.23059128221082,21.969408717789182,0.36940871778918094
t22_closed,mean_rmg_pre_service_min,10,7.950107901909831,0.07229501749207214,7.898391161879608,8.001824641940056,0.051716740030224084
t22_closed,median_rmg_pre_service_min,10,5.1,0.31622776601683794,4.8737842837201795,5.32621571627982,0.22621571627982018
t22_closed,p90_rmg_pre_service_min,10,18.1,0.3162277660168379,17.87378428372018,18.326215716279822,0.22621571627982107
t22_closed,rmg_events,10,14342.2,49.440873778686395,14306.832129505194,14377.567870494808,35.36787049480699
t22_closed,rmg_receive_events,10,8034.6,38.306367326826724,8007.197275590106,8062.002724409895,27.40272440989429
t22_closed,mean_rmg_receive_service_min,10,11.267444894887964,0.09404866366630854,11.200166533836958,11.33472325593897,0.06727836105100593
t22_closed,median_rmg_receive_service_min,10,9.0,0.0,9.0,9.0,0.0
t22_closed,p90_rmg_receive_service_min,10,21.9,0.31622776601683794,21.673784283720178,22.12621571627982,0.22621571627982107
t22_closed,mean_rmg_receive_pre_service_min,10,8.099981447474633,0.08029953356182536,8.042538621594957,8.157424273354309,0.05744282587967575
t22_closed,median_rmg_receive_pre_service_min,10,5.4,0.5163977794943222,5.03059128221082,5.76940871778918,0.36940871778918005
t22_closed,p90_rmg_receive_pre_service_min,10,19.0,0.0,19.0,19.0,0.0
t22_closed,rmg_delivery_events,10,5329.4,54.77671849325121,5290.215096139442,5368.5849038605575,39.184903860557824
t22_closed,mean_rmg_delivery_service_min,10,8.818648039553906,0.09894864734708786,8.747864441337711,8.889431637770102,0.07078359821619529
t22_closed,median_rmg_delivery_service_min,10,6.8,0.4216370213557839,6.498379044960239,7.101620955039761,0.30162095503976083
t22_closed,p90_rmg_delivery_service_min,10,17.33000000000002,0.4715223571935186,16.99269322546207,17.66730677453797,0.3373067745379501
t22_closed,mean_rmg_delivery_pre_service_min,10,7.759140109843486,0.08853786091651746,7.695803939596985,7.822476280089987,0.06333617024650096
t22_closed,median_rmg_delivery_pre_service_min,10,5.1,0.31622776601683794,4.8737842837201795,5.32621571627982,0.22621571627982018
t22_closed,p90_rmg_delivery_pre_service_min,10,18.0,0.0,18.0,18.0,0.0
t22_closed,mean_inter_arrival_min,10,0.8281873567715612,0.006893065142394227,0.8232563550186438,0.8331183585244786,0.0049310017529173855
t22_closed,zero_inter_arrival_share,10,0.5422055782236879,0.0026001504164092394,0.5403455426667471,0.5440656137806287,0.001860035556940809
t22_closed,arrival_rate_per_elapsed_hour,10,72.45191303851455,0.605848895442154,72.0185148471853,72.8853112298438,0.4333981913292462
demand_plus_20pct,mean_turnaround_min,10,31.67895707578806,0.11220255924002054,31.598692200168127,31.75922195140799,0.08026487561993179
demand_plus_20pct,median_turnaround_min,10,28.0,0.0,28.0,28.0,0.0
demand_plus_20pct,p90_turnaround_min,10,53.7,0.4830458915396479,53.35444978558636,54.045550214413645,0.34555021441364175
demand_plus_20pct,mean_rmg_service_min,10,10.932389076289208,0.07379682592889844,10.879598007222256,10.98518014535616,0.05279106906695219
demand_plus_20pct,median_rmg_service_min,10,8.0,0.0,8.0,8.0,0.0
demand_plus_20pct,p90_rmg_service_min,10,22.0,0.0,22.0,22.0,0.0
demand_plus_20pct,mean_rmg_pre_service_min,10,7.928042382241642,0.09129222770110106,7.862735856694213,7.993348907789072,0.06530652554742922
demand_plus_20pct,median_rmg_pre_service_min,10,5.0,0.0,5.0,5.0,0.0
demand_plus_20pct,p90_rmg_pre_service_min,10,18.2,0.4216370213557839,17.89837904496024,18.50162095503976,0.30162095503975905
