seed,scenario,sim_cases,sim_events,rmg_events,mean_turnaround_min,median_turnaround_min,p90_turnaround_min,max_turnaround_min,mean_rmg_service_min,median_rmg_service_min,p90_rmg_service_min,mean_rmg_pre_service_min,median_rmg_pre_service_min,p90_rmg_pre_service_min,rmg_receive_events,mean_rmg_receive_service_min,median_rmg_receive_service_min,p90_rmg_receive_service_min,mean_rmg_receive_pre_service_min,median_rmg_receive_pre_service_min,p90_rmg_receive_pre_service_min,rmg_delivery_events,mean_rmg_delivery_service_min,median_rmg_delivery_service_min,p90_rmg_delivery_service_min,mean_rmg_delivery_pre_service_min,median_rmg_delivery_pre_service_min,p90_rmg_delivery_pre_service_min,mean_inter_arrival_min,zero_inter_arrival_share,arrival_span_min,arrival_rate_per_elapsed_hour,service_events_above_24h,turnaround_cases_above_24h,demand_multiplier
42,demand_x1.00,17892,54994,14457,31.48401520232506,28.0,53.0,352.0,10.794909040603168,8.0,21.0,7.943349242581449,5.0,19.0,8040,11.275124378109453,9.0,22.0,8.038059701492537,5.0,19.0,5441,8.6934387061202,6.0,17.0,7.8200698401029225,5.0,18.0,0.8192946174053993,0.5416131015594433,14658.0,73.23372902169464,0,0,1.0
42,demand_x1.20,17892,54968,14413,31.729488039347196,28.0,54.0,406.0,11.016790397557761,8.0,22.0,7.98314022063415,5.0,19.0,8063,11.368597296291703,9.0,22.0,8.080863202282028,5.0,19.0,5376,8.999813988095237,7.0,18.0,7.843377976190476,5.0,19.0,0.7070594153484993,0.5991839472360405,12650.0,84.85849802371541,0,0,1.2
42,demand_x1.50,17892,54963,14398,32.16823161189358,28.0,55.0,252.0,10.925753576885679,8.0,22.0,8.571468259480483,5.0,20.0,8024,11.415752741774677,9.0,22.0,8.475199401794615,5.0,20.0,5403,8.764760318341661,7.0,17.0,8.742180270220247,6.0,20.0,0.5950477893913141,0.6601084344083618,10646.0,100.8322374600789,0,0,1.5
42,demand_x2.00,17892,54922,14373,37.1182092555332,30.0,67.0,271.0,10.912753078689208,8.0,22.0,15.003339595074097,7.0,38.80000000000109,8038,11.380691714356805,9.0,22.0,12.747325205274944,6.0,30.0,5365,8.796085740913327,6.0,17.0,18.819571295433363,8.0,52.600000000000364,0.3454809680845118,0.7158347772623107,6181.0,173.67092703446045,0,0,2.0
42,demand_x2.40,17892,54904,14368,37.07003129890454,30.0,67.0,265.0,10.842358017817372,8.0,22.0,14.82043429844098,7.0,38.0,8002,11.247688077980506,9.0,22.0,12.514871282179454,6.0,29.0,5397,8.823420418751159,7.0,18.0,18.596813044283863,8.0,49.0,0.2894192610809904,0.7536191381141356,5178.0,207.3117033603708,0,0,2.4
42,demand_x3.00,17892,54970,14425,37.7092555331992,31.0,68.0,295.0,10.97629116117851,8.0,22.0,15.730259965337956,7.0,41.0,8043,11.420987193833147,9.0,22.0,13.738530399104812,7.0,33.0,5409,8.976335736735072,7.0,18.0,19.064522092808282,8.0,51.0,0.2333575540774691,0.7920742272651053,4175.0,257.1161676646707,0,0,3.0
43,demand_x1.00,17892,55044,14271,31.56052984574111,28.0,53.0,370.0,10.833438441594843,8.0,21.0,7.89082755237895,5.0,18.0,8006,11.304896327754184,9.0,22.0,8.059330502123407,5.0,19.0,5316,8.707863054928518,6.0,17.0,7.629044394281415,5.0,18.0,0.8389693141803142,0.5384830361634342,15010.0,71.51632245169887,0,0,1.0
43,demand_x1.20,17892,54989,14292,31.609210820478427,28.0,54.0,321.0,10.982087881332214,8.0,22.0,7.97243212986286,5.0,18.0,8024,11.400299102691925,9.0,22.0,8.05234297108674,5.0,19.0,5306,8.945910290237467,7.0,18.0,7.832642291745194,5.0,18.0,0.7234922586775474,0.5978424906377509,12944.0,82.93108776266996,0,0,1.2
43,demand_x1.50,17892,55079,14258,31.662307176391682,28.0,54.0,403.0,10.948239584794502,8.0,22.0,7.951325571608922,5.0,18.0,8020,11.373192019950125,9.0,22.0,8.00062344139651,5.0,19.0,5284,8.802043906131718,6.0,17.0,7.897236941710825,5.0,18.0,0.6081269912246381,0.655413336314348,10880.0,98.66360294117646,0,0,1.5
43,demand_x2.00,17892,55046,14313,35.1122848200313,29.0,61.0,358.0,10.792286732341228,8.0,21.0,12.423600922238524,6.0,28.0,8012,11.14752870693959,9.0,21.0,10.814153769345982,6.0,24.0,5328,8.838963963963964,7.0,17.0,15.02346096096096,7.0,37.0,0.3552624224470404,0.7131518640657314,6356.0,168.88923851478918,0,0,2.0
