metric,n,mean,std,ci95_lo,ci95_hi,half_width
mean_service_time_emd_min,10,2.468820792709742,0.2302576569588855,2.304104387651579,2.6335371977679047,0.16471640505816287
mean_service_time_emd_min_raw,10,2.468820792709742,0.2302576569588855,2.304104387651579,2.6335371977679047,0.16471640505816287
yard_service_time_emd_unweighted_min,10,3.017447635534129,0.28142602517197124,2.8161275849074854,3.218767686160773,0.2013200506266437
yard_service_time_emd_frequency_weighted_min,10,2.350965124815553,0.10884631647083183,2.273101160638675,2.428829088992431,0.07786396417687813
yard_service_time_emd_unweighted_min_raw,10,3.017447635534129,0.28142602517197124,2.8161275849074854,3.218767686160773,0.2013200506266437
yard_service_time_emd_frequency_weighted_min_raw,10,2.350965124815553,0.10884631647083183,2.273101160638675,2.428829088992431,0.07786396417687813
mean_waiting_time_emd_min,0,,,,,
case_turnaround_emd_min,10,7.9427230046948365,0.2151739211077177,7.788796854245644,8.096649155144028,0.15392615044919244
case_turnaround_emd_min_raw,10,7.9427230046948365,0.2151739211077177,7.788796854245644,8.096649155144028,0.15392615044919244
case_turnaround_ks,10,0.12584999999999996,0.007817395133077673,0.12025777240485139,0.13144222759514854,0.0055922275951485745
case_turnaround_sim_mean,10,31.799731723675386,0.2151739211077168,31.645805573226195,31.953657874124577,0.1539261504491911
case_turnaround_sim_p90,10,54.5,0.5270462766947299,54.1229738062003,54.8770261937997,0.3770261937997006
inter_arrival_emd_min,10,0.07650774132244673,0.009725339043284913,0.06955065287492673,0.08346482976996672,0.0069570884475199934
inter_arrival_ks,10,0.022130000000000018,0.007031682270662935,0.017099837527089802,0.027160162472910233,0.005030162472910216
sim_zero_inter_arrival_share,10,0.5418031412442009,0.003976750654722583,0.5389583452000217,0.5446479372883801,0.0028447960441791986
sim_service_events_above_24h,10,0.0,0.0,0.0,0.0,0.0
sim_turnaround_cases_above_24h,10,0.0,0.0,0.0,0.0,0.0
yard_activity_rate_l1_error,10,0.17534093449586402,0.008373436096102353,0.16935093915781316,0.18133092983391488,0.005989995338050863
yard_activity_rate_max_abs_error,10,0.06673373574782024,0.0029866643456817566,0.06459720478232044,0.06887026671332004,0.0021365309654998027
gate_only_cases,10,10.5,2.6352313834736494,8.614869031001497,12.385130968998503,1.885130968998503
wrong_case_boundary_cases,10,0.0,0.0,0.0,0.0,0.0
within_case_overlap_cases,10,0.0,0.0,0.0,0.0,0.0
decreasing_completion_cases,10,0.0,0.0,0.0,0.0,0.0
gate_out_before_final_yard_cases,10,0.0,0.0,0.0,0.0,0.0
yard_service_emd__HO2_delivery,10,1.9453646303413716,0.3896130428042889,1.6666522495150793,2.224077011167664,0.27871238082629235
yard_service_emd__HO2_mixed,10,4.037071829076048,0.6946035000669152,3.540182418391785,4.533961239760311,0.49688941068426296
yard_service_emd__HO2_receive,10,2.215796438388298,0.309661772216585,1.9942777511180492,2.437315125658547,0.22151868727024893
yard_service_emd__LL_delivery,10,1.4582123850090132,0.2221392467642883,1.2993035407490579,1.6171212292689685,0.15890884425995533
yard_service_emd__LL_mixed,10,4.349428210678211,1.7210236305315771,3.118282071238742,5.580574350117681,1.2311461394394696
yard_service_emd__LL_receive,10,3.8259009050940707,0.3896103448246112,3.547190454286173,4.104611355901969,0.2787104508078977
yard_service_emd__RMG_delivery,10,2.5966167819618007,0.09086480309575612,2.531616017557587,2.6616175463660143,0.06500076440421365
yard_service_emd__RMG_mixed,10,4.343335355977319,0.3811493574639833,4.070677530909178,4.615993181045461,0.2726578250681415
yard_service_emd__RMG_receive,10,2.3853021832810275,0.10426020078558434,2.3107189286311716,2.4598854379308834,0.07458325464985593
yard_service_emd_raw__HO2_delivery,10,1.9453646303413716,0.3896130428042889,1.6666522495150793,2.224077011167664,0.27871238082629235
yard_service_emd_raw__HO2_mixed,10,4.037071829076048,0.6946035000669152,3.540182418391785,4.533961239760311,0.49688941068426296
yard_service_emd_raw__HO2_receive,10,2.215796438388298,0.309661772216585,1.9942777511180492,2.437315125658547,0.22151868727024893
yard_service_emd_raw__LL_delivery,10,1.4582123850090132,0.2221392467642883,1.2993035407490579,1.6171212292689685,0.15890884425995533
yard_service_emd_raw__LL_mixed,10,4.349428210678211,1.7210236305315771,3.118282071238742,5.580574350117681,1.2311461394394696
yard_service_emd_raw__LL_receive,10,3.8259009050940707,0.3896103448246112,3.547190454286173,4.104611355901969,0.2787104508078977
yard_service_emd_raw__RMG_delivery,10,2.5966167819618007,0.09086480309575612,2.531616017557587,2.6616175463660143,0.06500076440421365
yard_service_emd_raw__RMG_mixed,10,4.343335355977319,0.3811493574639833,4.070677530909178,4.615993181045461,0.2726578250681415
yard_service_emd_raw__RMG_receive,10,2.3853021832810275,0.10426020078558434,2.3107189286311716,2.4598854379308834,0.07458325464985593
