seed,sim_events,sim_cases,mean_service_time_emd_min,mean_service_time_emd_min_raw,yard_service_time_emd_unweighted_min,yard_service_time_emd_frequency_weighted_min,yard_service_time_emd_unweighted_min_raw,yard_service_time_emd_frequency_weighted_min_raw,mean_waiting_time_emd_min,case_turnaround_emd_min,case_turnaround_emd_min_raw,case_turnaround_ks,case_turnaround_sim_mean,case_turnaround_sim_p90,inter_arrival_emd_min,inter_arrival_ks,sim_zero_inter_arrival_share,sim_service_events_above_24h,sim_turnaround_cases_above_24h,yard_activity_rate_l1_error,yard_activity_rate_max_abs_error,gate_only_cases,wrong_case_boundary_cases,within_case_overlap_cases,decreasing_completion_cases,gate_out_before_final_yard_cases,yard_service_emd__HO2_delivery,yard_service_emd_raw__HO2_delivery,yard_service_emd__HO2_mixed,yard_service_emd_raw__HO2_mixed,yard_service_emd__HO2_receive,yard_service_emd_raw__HO2_receive,yard_service_emd__LL_delivery,yard_service_emd_raw__LL_delivery,yard_service_emd__LL_mixed,yard_service_emd_raw__LL_mixed,yard_service_emd__LL_receive,yard_service_emd_raw__LL_receive,yard_service_emd__RMG_delivery,yard_service_emd_raw__RMG_delivery,yard_service_emd__RMG_mixed,yard_service_emd_raw__RMG_mixed,yard_service_emd__RMG_receive,yard_service_emd_raw__RMG_receive
42,55009,17892,2.397060006318722,2.397060006318722,2.9297400077228826,2.383752850080293,2.9297400077228826,2.383752850080293,,8.026827632461435,8.026827632461435,0.12390000000000001,31.715627095908786,54.0,0.07238276228270613,0.01880000000000004,0.5440724386563076,0,0,0.17342946568298676,0.06488933601609656,8,0,0,0,0,1.616845524863136,1.616845524863136,4.600792045837546,4.600792045837546,2.6795499082689234,2.6795499082689234,1.5409582126000034,1.5409582126000034,2.6999999999999997,2.6999999999999997,4.05819509556437,4.05819509556437,2.5626833793797053,2.5626833793797053,4.170300569451991,4.170300569451991,2.4383353335402713,2.4383353335402713
43,55018,17892,2.6426257228526344,2.6426257228526344,3.2298758834865535,2.4097607260905076,3.2298758834865535,2.4097607260905076,,7.989995528727923,7.989995528727923,0.12229999999999996,31.7524591996423,54.0,0.07098541165948757,0.017300000000000093,0.5419484657090157,0,0,0.19226469930695278,0.06868991728146656,15,0,0,0,0,1.7881297446514877,1.7881297446514877,4.383889450623525,4.383889450623525,2.2324126101614703,2.2324126101614703,1.5671125790516276,1.5671125790516276,5.480519480519481,5.480519480519481,3.8085106382978733,3.8085106382978733,2.6836679827278576,2.6836679827278576,4.727594344552536,4.727594344552536,2.3970461207931217,2.3970461207931217
44,55009,17892,2.5562999832774933,2.5562999832774933,3.124366646228047,2.3963519767994463,3.124366646228047,2.3963519767994463,,8.180192264699308,8.180192264699308,0.13319999999999999,31.562262463670915,55.0,0.08344977921859564,0.02300000000000002,0.5411659493600134,0,0,0.16403979432148444,0.06690140845070422,11,0,0,0,0,1.5472956517028378,1.5472956517028378,5.358327192336036,5.358327192336036,2.0641463647502496,2.0641463647502496,1.6574151136099757,1.6574151136099757,3.5454545454545454,3.5454545454545454,4.329092058141985,4.329092058141985,2.5325755142739057,2.5325755142739057,4.623865794353756,4.623865794353756,2.461127581429131,2.461127581429131
45,54994,17892,2.323014151794335,2.323014151794335,2.8392395188597437,2.320638055930132,2.8392395188597437,2.320638055930132,,7.935110663983903,7.935110663983903,0.12729999999999997,31.807344064386317,54.0,0.0852942820412439,0.026499999999999968,0.5387066122631491,0,0,0.18723451822043363,0.07176391683433936,10,0,0,0,0,1.4580432764393614,1.4580432764393614,4.05897953085313,4.05897953085313,2.4414977625690977,2.4414977625690977,1.2376179655848154,1.2376179655848154,3.6545454545454548,3.6545454545454548,3.6409955184266636,3.6409955184266636,2.658321761731824,2.658321761731824,3.9098472425084494,3.9098472425084494,2.4933071570788936,2.4933071570788936
46,54993,17892,2.4384062477898043,2.4384062477898043,2.980274302854206,2.3757044038694213,2.980274302854206,2.3757044038694213,,8.100827185334229,8.100827185334229,0.13529999999999998,31.641627543035995,54.0,0.06729640601419129,0.023499999999999965,0.5427868760829467,0,0,0.16884641180415821,0.06891348088531185,9,0,0,0,0,1.8235730116417725,1.8235730116417725,3.0084298303109756,3.0084298303109756,2.1962072442185896,2.1962072442185896,1.6900883423553092,1.6900883423553092,4.424242424242425,4.424242424242425,4.480295229851019,4.480295229851019,2.6862340670311076,2.6862340670311076,4.156517486934463,4.156517486934463,2.356881089102187,2.356881089102187
47,54988,17892,3.0126305094957404,3.0126305094957404,3.6821039560503497,2.5689784763000487,3.6821039560503497,2.5689784763000487,,8.261010507489383,8.261010507489383,0.13449999999999995,31.481444220880842,54.0,0.0929517634564806,0.02629999999999999,0.5340115141691353,0,0,0.17549742901855572,0.06773977196512407,12,0,0,0,0,2.613509726170013,2.613509726170013,3.6083054626532887,3.6083054626532887,2.67701793006151,2.67701793006151,1.7800330572132408,1.7800330572132408,8.28409090909091,8.28409090909091,4.0673758865248235,4.0673758865248235,2.7447077858188162,2.7447077858188162,4.932079739675782,4.932079739675782,2.4318151072447636,2.4318151072447636
48,55013,17892,2.493761316926129,2.493761316926129,3.0479304984652686,2.245889213035669,3.0479304984652686,2.245889213035669,,7.669293539011846,7.669293539011846,0.11499999999999999,32.07316118935837,55.0,0.08244368676987834,0.03400000000000003,0.5397127047118663,0,0,0.1749944109099038,0.06863402638050525,11,0,0,0,0,1.9249773810911528,1.9249773810911528,4.36984392419175,4.36984392419175,1.9976518629688504,1.9976518629688504,1.3866138854773087,1.3866138854773087,5.520202020202021,5.520202020202021,3.5721868830883974,3.5721868830883974,2.5789623457508495,2.5789623457508495,3.8337940516529865,3.8337940516529865,2.2471421317641047,2.2471421317641047
49,54991,17892,2.3029178835901267,2.3029178835901267,2.8146774132768217,2.3732532097899592,2.8146774132768217,2.3732532097899592,,7.921529175050304,7.921529175050304,0.13219999999999998,31.82092555331992,55.0,0.0805432899223012,0.025600000000000067,0.5418366776591582,0,0,0.17175273865414706,0.06248602727475966,7,0,0,0,0,2.530067074431065,2.530067074431065,3.9037932151242813,3.9037932151242813,1.9821066481953462,1.9821066481953462,1.3094812603648422,1.3094812603648422,2.3636363636363638,2.3636363636363638,3.5148627813752706,3.5148627813752706,2.54481233638125,2.54481233638125,4.743832852841173,4.743832852841173,2.439504187141804,2.439504187141804
50,55018,17892,2.2881986949302497,2.2881986949302497,2.7966872938036382,2.1735217224602725,2.7966872938036382,2.1735217224602725,,7.639615470601388,7.639615470601388,0.1149,32.102839257768835,55.0,0.06438991671789729,0.01849999999999996,0.5447431669554524,0,0,0.17158506595126305,0.06282137268052759,14,0,0,0,0,2.083628798687712,2.083628798687712,3.921125975473802,3.921125975473802,2.1785672820155577,2.1785672820155577,1.0931247708707643,1.0931247708707643,3.630681818181819,3.630681818181819,3.434618325761326,3.434618325761326,2.5061365776387263,2.5061365776387263,4.162109563193611,4.162109563193611,2.1601925324094293,2.1601925324094293
51,54991,17892,2.233293410122182,2.233293410122182,2.729580834593778,2.2618006137997786,2.729580834593778,2.2618006137997786,,7.7028280795886435,7.7028280795886435,0.1199,32.03962664878158,55.0,0.06534011514168536,0.007800000000000029,0.5490470068749651,0,0,0.17376481108875472,0.06449809970936732,8,0,0,0,0,2.0675761137351794,2.0675761137351794,3.15723166335614,3.15723166335614,1.7088067706733892,1.7088067706733892,1.319678662962245,1.319678662962245,3.8909090909090907,3.8909090909090907,3.352876633908979,3.352876633908979,2.4680660688839646,2.4680660688839646,4.173411914608446,4.173411914608446,2.4276705923065687,2.4276705923065687
