configuration,metric,n,mean,sd,ci95_lo,ci95_hi
no_rules,case_turnaround_emd_min,10,7.9427230046948365,0.2151739211077177,7.788796854245644,8.096649155144028
no_rules,case_turnaround_sim_mean,10,31.799731723675382,0.21517392110771758,31.64580557322619,31.953657874124573
no_rules,case_turnaround_sim_p90,10,54.5,0.5270462766947299,54.1229738062003,54.8770261937997
no_rules,yard_service_time_emd_frequency_weighted_min,10,2.350965124815553,0.10884631647083184,2.273101160638675,2.428829088992431
no_rules,yard_activity_rate_l1_error,10,0.175340934495864,0.008373436096102345,0.16935093915781313,0.18133092983391486
no_rules,inter_arrival_emd_min,10,0.07650774132244668,0.009725339043284941,0.06955065287492666,0.0834648297699667
no_rules,gate_only_cases,10,10.5,2.6352313834736494,8.614869031001497,12.385130968998503
rules_only,case_turnaround_emd_min,10,7.82781131231836,0.16691167682296712,7.708409891615907,7.947212733020813
rules_only,case_turnaround_sim_mean,10,32.11808629555109,0.20893165207460515,31.968625595363658,32.26754699573851
rules_only,case_turnaround_sim_p90,10,54.4,0.6992058987801011,53.89981823161223,54.90018176838777
rules_only,yard_service_time_emd_frequency_weighted_min,10,2.3563225892077355,0.06377209061949443,2.310702783774893,2.401942394640578
rules_only,yard_activity_rate_l1_error,10,0.16504583053878819,0.007349694798256795,0.1597881756080785,0.17030348546949786
rules_only,inter_arrival_emd_min,10,0.07241070929517024,0.007032301118551268,0.06738010412514936,0.07744131446519112
rules_only,gate_only_cases,10,0.0,0.0,0.0,0.0
rules_workload,case_turnaround_emd_min,10,8.130538788285268,0.09373932645098615,8.063481713747516,8.19759586282302
rules_workload,case_turnaround_sim_mean,10,31.617292644757434,0.09417661296096472,31.549922754294883,31.684662535219985
rules_workload,case_turnaround_sim_p90,10,53.6,0.5163977794943222,53.230591282210824,53.96940871778918
rules_workload,yard_service_time_emd_frequency_weighted_min,10,2.353971141867111,0.05898268002972758,2.3117774743751873,2.3961648093590346
rules_workload,yard_activity_rate_l1_error,10,0.22642521797451373,0.006822648979307446,0.22154458891015244,0.23130584703887502
rules_workload,inter_arrival_emd_min,10,0.07241070929517024,0.007032301118551268,0.06738010412514936,0.07744131446519112
rules_workload,gate_only_cases,10,0.0,0.0,0.0,0.0
