seed,scenario,baseline_mean_turnaround_min,scenario_mean_turnaround_min,delta_mean_turnaround_min,delta_pct_mean_turnaround_min,baseline_median_turnaround_min,scenario_median_turnaround_min,delta_median_turnaround_min,delta_pct_median_turnaround_min,baseline_p90_turnaround_min,scenario_p90_turnaround_min,delta_p90_turnaround_min,delta_pct_p90_turnaround_min,baseline_mean_rmg_service_min,scenario_mean_rmg_service_min,delta_mean_rmg_service_min,delta_pct_mean_rmg_service_min,baseline_median_rmg_service_min,scenario_median_rmg_service_min,delta_median_rmg_service_min,delta_pct_median_rmg_service_min,baseline_p90_rmg_service_min,scenario_p90_rmg_service_min,delta_p90_rmg_service_min,delta_pct_p90_rmg_service_min,baseline_mean_rmg_pre_service_min,scenario_mean_rmg_pre_service_min,delta_mean_rmg_pre_service_min,delta_pct_mean_rmg_pre_service_min,baseline_median_rmg_pre_service_min,scenario_median_rmg_pre_service_min,delta_median_rmg_pre_service_min,delta_pct_median_rmg_pre_service_min,baseline_p90_rmg_pre_service_min,scenario_p90_rmg_pre_service_min,delta_p90_rmg_pre_service_min,delta_pct_p90_rmg_pre_service_min,baseline_rmg_events,scenario_rmg_events,delta_rmg_events,delta_pct_rmg_events,baseline_rmg_receive_events,scenario_rmg_receive_events,delta_rmg_receive_events,delta_pct_rmg_receive_events,baseline_mean_rmg_receive_service_min,scenario_mean_rmg_receive_service_min,delta_mean_rmg_receive_service_min,delta_pct_mean_rmg_receive_service_min,baseline_median_rmg_receive_service_min,scenario_median_rmg_receive_service_min,delta_median_rmg_receive_service_min,delta_pct_median_rmg_receive_service_min,baseline_p90_rmg_receive_service_min,scenario_p90_rmg_receive_service_min,delta_p90_rmg_receive_service_min,delta_pct_p90_rmg_receive_service_min,baseline_mean_rmg_receive_pre_service_min,scenario_mean_rmg_receive_pre_service_min,delta_mean_rmg_receive_pre_service_min,delta_pct_mean_rmg_receive_pre_service_min,baseline_median_rmg_receive_pre_service_min,scenario_median_rmg_receive_pre_service_min,delta_median_rmg_receive_pre_service_min,delta_pct_median_rmg_receive_pre_service_min,baseline_p90_rmg_receive_pre_service_min,scenario_p90_rmg_receive_pre_service_min,delta_p90_rmg_receive_pre_service_min,delta_pct_p90_rmg_receive_pre_service_min,baseline_rmg_delivery_events,scenario_rmg_delivery_events,delta_rmg_delivery_events,delta_pct_rmg_delivery_events,baseline_mean_rmg_delivery_service_min,scenario_mean_rmg_delivery_service_min,delta_mean_rmg_delivery_service_min,delta_pct_mean_rmg_delivery_service_min,baseline_median_rmg_delivery_service_min,scenario_median_rmg_delivery_service_min,delta_median_rmg_delivery_service_min,delta_pct_median_rmg_delivery_service_min,baseline_p90_rmg_delivery_service_min,scenario_p90_rmg_delivery_service_min,delta_p90_rmg_delivery_service_min,delta_pct_p90_rmg_delivery_service_min,baseline_mean_rmg_delivery_pre_service_min,scenario_mean_rmg_delivery_pre_service_min,delta_mean_rmg_delivery_pre_service_min,delta_pct_mean_rmg_delivery_pre_service_min,baseline_median_rmg_delivery_pre_service_min,scenario_median_rmg_delivery_pre_service_min,delta_median_rmg_delivery_pre_service_min,delta_pct_median_rmg_delivery_pre_service_min,baseline_p90_rmg_delivery_pre_service_min,scenario_p90_rmg_delivery_pre_service_min,delta_p90_rmg_delivery_pre_service_min,delta_pct_p90_rmg_delivery_pre_service_min,baseline_mean_inter_arrival_min,scenario_mean_inter_arrival_min,delta_mean_inter_arrival_min,delta_pct_mean_inter_arrival_min,baseline_zero_inter_arrival_share,scenario_zero_inter_arrival_share,delta_zero_inter_arrival_share,delta_pct_zero_inter_arrival_share,baseline_arrival_rate_per_elapsed_hour,scenario_arrival_rate_per_elapsed_hour,delta_arrival_rate_per_elapsed_hour,delta_pct_arrival_rate_per_elapsed_hour
42,t22_closed,31.48401520232506,31.994969818913482,0.5109546165884211,1.6229016956855224,28.0,28.0,0.0,0.0,53.0,54.0,1.0,1.8867924528301887,10.794909040603168,10.875121815397467,0.08021277479429934,0.7430611456992641,8.0,8.0,0.0,0.0,21.0,22.0,1.0,4.761904761904762,7.943349242581449,8.238062091048308,0.2947128484668591,3.710183695399028,5.0,6.0,1.0,20.0,19.0,19.0,0.0,0.0,14457.0,14366.0,-91.0,-0.6294528602061286,8040.0,8038.0,-2.0,-0.024875621890547265,11.275124378109453,11.422617566558845,0.14749318844939197,1.3081291478766175,9.0,9.0,0.0,0.0,22.0,22.0,0.0,0.0,8.038059701492537,8.26349838268226,0.225438681189722,2.8046405421430456,5.0,5.0,0.0,0.0,19.0,19.0,0.0,0.0,5441.0,5362.0,-79.0,-1.4519389818048154,8.6934387061202,8.695635956732563,0.0021972506123635327,0.025274815716094755,6.0,6.0,0.0,0.0,17.0,17.0,0.0,0.0,7.8200698401029225,8.168034315553898,0.34796447545097564,4.449633859617754,5.0,6.0,1.0,20.0,18.0,18.0,0.0,0.0,0.8192946174053993,0.8192946174053993,0.0,0.0,0.5416131015594433,0.5416131015594433,0.0,0.0,73.23372902169464,73.23372902169464,0.0,0.0
42,demand_plus_20pct,31.48401520232506,31.729488039347196,0.24547283702213463,0.7796744965489876,28.0,28.0,0.0,0.0,53.0,54.0,1.0,1.8867924528301887,10.794909040603168,11.016790397557761,0.22188135695459366,2.0554259060453925,8.0,8.0,0.0,0.0,21.0,22.0,1.0,4.761904761904762,7.943349242581449,7.98314022063415,0.03979097805270104,0.5009345156246671,5.0,5.0,0.0,0.0,19.0,19.0,0.0,0.0,14457.0,14413.0,-44.0,-0.30435083350625997,8040.0,8063.0,23.0,0.2860696517412935,11.275124378109453,11.368597296291703,0.09347291818225045,0.8290189540057512,9.0,9.0,0.0,0.0,22.0,22.0,0.0,0.0,8.038059701492537,8.080863202282028,0.04280350078949091,0.5325103616926731,5.0,5.0,0.0,0.0,19.0,19.0,0.0,0.0,5441.0,5376.0,-65.0,-1.1946333394596582,8.6934387061202,8.999813988095237,0.30637528197503805,3.524212826845483,6.0,7.0,1.0,16.666666666666668,17.0,18.0,1.0,5.882352941176471,7.8200698401029225,7.843377976190476,0.023308136087553777,0.2980553443145082,5.0,5.0,0.0,0.0,18.0,19.0,1.0,5.555555555555555,0.8192946174053993,0.7070594153484993,-0.11223520205690007,-13.699003956883608,0.5416131015594433,0.5991839472360405,0.057570845676597204,10.629514963880295,73.23372902169464,84.85849802371541,11.62476900202077,15.873517786561255
43,t22_closed,31.56052984574111,31.654202995752293,0.09367315001118115,0.29680474462573614,28.0,28.0,0.0,0.0,53.0,54.0,1.0,1.8867924528301887,10.833438441594843,10.877668136328644,0.044229694733800784,0.40827014407523154,8.0,8.0,0.0,0.0,21.0,22.0,1.0,4.761904761904762,7.89082755237895,7.989432430540975,0.09860487816202479,1.2496139030727784,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,14271.0,14289.0,18.0,0.12612991381122557,8006.0,8039.0,33.0,0.41219085685735696,11.304896327754184,11.280880706555541,-0.02401562119864309,-0.2124355721837389,9.0,9.0,0.0,0.0,22.0,22.0,0.0,0.0,8.059330502123407,8.154372434382386,0.0950419322589795,1.1792782568470002,5.0,6.0,1.0,20.0,19.0,19.0,0.0,0.0,5316.0,5287.0,-29.0,-0.545522949586155,8.707863054928518,8.76035558918101,0.05249253425249201,0.6028176364439037,6.0,7.0,1.0,16.666666666666668,17.0,17.0,0.0,0.0,7.629044394281415,7.805560809532817,0.1765164152514016,2.313742142904751,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,0.8389693141803142,0.8389693141803142,0.0,0.0,0.5384830361634342,0.5384830361634342,0.0,0.0,71.51632245169887,71.51632245169887,0.0,0.0
43,demand_plus_20pct,31.56052984574111,31.609210820478427,0.04868097473731581,0.15424637981445355,28.0,28.0,0.0,0.0,53.0,54.0,1.0,1.8867924528301887,10.833438441594843,10.982087881332214,0.14864943973737077,1.3721353616284302,8.0,8.0,0.0,0.0,21.0,22.0,1.0,4.761904761904762,7.89082755237895,7.97243212986286,0.08160457748391003,1.0341700783881362,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,14271.0,14292.0,21.0,0.1471515661130965,8006.0,8024.0,18.0,0.22483137646764925,11.304896327754184,11.400299102691925,0.09540277493774063,0.8439066769990735,9.0,9.0,0.0,0.0,22.0,22.0,0.0,0.0,8.059330502123407,8.05234297108674,-0.006987531036667605,-0.08670113522241812,5.0,5.0,0.0,0.0,19.0,19.0,0.0,0.0,5316.0,5306.0,-10.0,-0.18811136192626035,8.707863054928518,8.945910290237467,0.2380472353089491,2.7337043980522635,6.0,7.0,1.0,16.666666666666668,17.0,18.0,1.0,5.882352941176471,7.629044394281415,7.832642291745194,0.2035978974637791,2.668720837650285,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,0.8389693141803142,0.7234922586775474,-0.11547705550276677,-13.764157228514325,0.5384830361634342,0.5978424906377509,0.059359454474316675,11.02345858418102,71.51632245169887,82.93108776266996,11.414765310971092,15.961063040791096
44,t22_closed,31.5041918175721,31.83316566063045,0.32897384305834976,1.044222448121516,28.0,28.0,0.0,0.0,54.0,54.0,0.0,0.0,10.78709722513455,10.855483238855063,0.068386013720513,0.6339612250937139,8.0,8.0,0.0,0.0,21.0,22.0,1.0,4.761904761904762,7.872230376738659,7.99510112674085,0.12287075000219083,1.5608124269998085,5.0,5.0,0.0,0.0,18.0,19.0,1.0,5.555555555555555,14307.0,14289.0,-18.0,-0.12581253931641853,8029.0,8008.0,-21.0,-0.26155187445510025,11.197907585004359,11.309815184815184,0.11190759981082543,0.9993617018297787,9.0,9.0,0.0,0.0,22.0,22.0,0.0,0.0,8.034375389214098,8.181693306693306,0.1473179174792083,1.8335951501217889,5.0,5.0,0.0,0.0,18.0,19.0,1.0,5.555555555555555,5317.0,5329.0,12.0,0.22569117923641152,8.74346435960128,8.719084255957966,-0.024380103643313333,-0.278838028504586,6.0,7.0,1.0,16.666666666666668,17.400000000000546,17.0,-0.4000000000005457,-2.2988505747157078,7.615008463419222,7.802214299118034,0.187205835698812,2.4583798770297696,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,0.8147672013861719,0.8147672013861719,0.0,0.0,0.547593762226818,0.547593762226818,0.0,0.0,73.64066680386911,73.64066680386911,0.0,0.0
44,demand_plus_20pct,31.5041918175721,31.751620836127877,0.2474290185557777,0.7853844338827609,28.0,28.0,0.0,0.0,54.0,54.0,0.0,0.0,10.78709722513455,10.926122848747726,0.1390256236131755,1.2888140406228832,8.0,8.0,0.0,0.0,21.0,21.0,0.0,0.0,7.872230376738659,7.874842591297048,0.0026122145583888923,0.033182648796808864,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,14307.0,14294.0,-13.0,-0.0908646117285245,8029.0,7978.0,-51.0,-0.6351974093909578,11.197907585004359,11.334921032840311,0.13701344783595282,1.2235629450937238,9.0,9.0,0.0,0.0,22.0,22.0,0.0,0.0,8.034375389214098,7.955753321634495,-0.07862206757960344,-0.9785709998707697,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,5317.0,5358.0,41.0,0.7711115290577393,8.74346435960128,8.907801418439716,0.16433705883843608,1.879541702002548,6.0,7.0,1.0,16.666666666666668,17.400000000000546,18.0,0.5999999999994543,3.4482758620657212,7.615008463419222,7.8167226577081,0.20171419428887827,2.6489030873421564,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,0.8147672013861719,0.7034263037281314,-0.11134089765804045,-13.665363243465745,0.547593762226818,0.6041026214297691,0.05650885920295112,10.319485556803086,73.64066680386911,85.29678188319429,11.656115079325176,15.828367103694882
45,t22_closed,31.702380952380953,31.69081153588196,-0.011569416498993235,-0.0364938410032081,28.0,28.0,0.0,0.0,54.0,54.0,0.0,0.0,10.900544388609715,10.85070147274377,-0.049842915865944803,-0.4572516205523374,8.0,8.0,0.0,0.0,22.0,22.0,0.0,0.0,7.93962869905081,7.962308927200391,0.02268022814958126,0.2856585491496939,5.0,5.0,0.0,0.0,19.0,19.0,0.0,0.0,14328.0,14327.0,-1.0,-0.006979341150195421,8081.0,8084.0,3.0,0.037124118302190326,11.26184878109145,11.1448540326571,-0.1169947484343492,-1.0388591669849307,9.0,9.0,0.0,0.0,22.0,22.0,0.0,0.0,8.074495730726396,8.171202375061851,0.0967066443354554,1.1976802955935861,5.0,6.0,1.0,20.0,19.0,19.0,0.0,0.0,5247.0,5244.0,-3.0,-0.05717552887364208,8.78482942633886,8.975591151792525,0.19076172545366532,2.1714903750062526,6.0,7.0,1.0,16.666666666666668,18.0,18.0,0.0,0.0,7.81093958452449,7.73093058733791,-0.08000899718658072,-1.0243197546310487,5.0,5.0,0.0,0.0,19.0,18.0,-1.0,-5.2631578947368425,0.8275669330948522,0.8275669330948522,0.0,0.0,0.5407746911855122,0.5407746911855122,0.0,0.0,72.50168850466028,72.50168850466028,0.0,0.0
45,demand_plus_20pct,31.702380952380953,31.73345629331545,0.031075340934496154,0.09802210433712644,28.0,28.0,0.0,0.0,54.0,54.0,0.0,0.0,10.900544388609715,10.969901762697694,0.06935737408797849,0.636274406262241,8.0,8.0,0.0,0.0,22.0,22.0,0.0,0.0,7.93962869905081,7.888385703337281,-0.05124299571352875,-0.6454079612016982,5.0,5.0,0.0,0.0,19.0,18.0,-1.0,-5.2631578947368425,14328.0,14353.0,25.0,0.17448352875488554,8081.0,8085.0,4.0,0.04949882440292043,11.26184878109145,11.408905380333952,0.14705659924250192,1.3057944756762203,9.0,9.0,0.0,0.0,22.0,22.0,0.0,0.0,8.074495730726396,7.9713048855906,-0.10319084513579568,-1.2779850107928963,5.0,5.0,0.0,0.0,19.0,18.0,-1.0,-5.2631578947368425,5247.0,5279.0,32.0,0.6098723079855155,8.78482942633886,8.656184883500663,-0.12864454283819704,-1.4643943165531739,6.0,6.0,0.0,0.0,18.0,17.0,-1.0,-5.555555555555555,7.81093958452449,7.734608827429438,-0.07633075709505288,-0.9772288758484834,5.0,5.0,0.0,0.0,19.0,18.0,-1.0,-5.2631578947368425,0.8275669330948522,0.7141020624895199,-0.11346487060533228,-13.71065784141564,0.5407746911855122,0.5989044771113968,0.05812978592588458,10.74935400516797,72.50168850466028,84.02160300563557,11.51991450097529,15.88916718847839
46,t22_closed,31.661468812877263,31.519170579029733,-0.14229823384753004,-0.44943661549161895,28.0,28.0,0.0,0.0,54.0,53.0,-1.0,-1.8518518518518519,10.811203897007655,10.806285991812947,-0.0049179051947074726,-0.04548896905060369,8.0,8.0,0.0,0.0,22.0,22.0,0.0,0.0,7.912178148921364,7.785263303961702,-0.12691484495966243,-1.604044329777436,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,14370.0,14413.0,43.0,0.2992345163535143,8089.0,8113.0,24.0,0.29669922116454445,11.203115341822228,11.214963638604708,0.011848296782480006,0.10575894669449004,9.0,9.0,0.0,0.0,22.0,22.0,0.0,0.0,8.043021387068858,7.946382349315913,-0.09663903775294536,-1.201526554539771,5.0,5.0,0.0,0.0,19.0,18.0,-1.0,-5.2631578947368425,5329.0,5335.0,6.0,0.1125914805779696,8.844623756802402,8.833552014995314,-0.011071741807088031,-0.1251804724714576,7.0,6.0,-1.0,-14.285714285714286,17.0,18.0,1.0,5.882352941176471,7.747607431037718,7.599062792877226,-0.1485446381604918,-1.9172969136950149,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,0.829076071767928,0.829076071767928,0.0,0.0,0.5428427701078755,0.5428427701078755,0.0,0.0,72.36971617339715,72.36971617339715,0.0,0.0
46,demand_plus_20pct,31.661468812877263,31.485971383858708,-0.1754974290185558,-0.5542933906691593,28.0,28.0,0.0,0.0,54.0,53.0,-1.0,-1.8518518518518519,10.811203897007655,10.897523305969111,0.08631940896145629,0.7984255017644052,8.0,8.0,0.0,0.0,22.0,22.0,0.0,0.0,7.912178148921364,7.811882565743704,-0.10029558317765996,-1.2676102748183553,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,14370.0,14374.0,4.0,0.027835768963117607,8089.0,8131.0,42.0,0.5192236370379528,11.203115341822228,11.250399704833354,0.047284363011126374,0.42206441305312314,9.0,9.0,0.0,0.0,22.0,22.0,0.0,0.0,8.043021387068858,7.946501045381872,-0.0965203416869862,-1.2000507898955295,5.0,5.0,0.0,0.0,19.0,19.0,0.0,0.0,5329.0,5288.0,-41.0,-0.7693751172827923,8.844623756802402,8.880862329803328,0.03623857300092581,0.40972430255221104,7.0,7.0,0.0,0.0,17.0,17.300000000000182,0.3000000000001819,1.7647058823540112,7.747607431037718,7.602874432677761,-0.1447329983599568,-1.8680992764313458,5.0,5.0,0.0,0.0,18.0,18.0,0.0,0.0,0.829076071767928,0.7152199429880945,-0.11385612877983342,-13.732892873997166,0.5428427701078755,0.60097255603376,0.05812978592588447,10.708401976935738,72.36971617339715,83.89027821194124,11.520562038544085,15.91903719912474
