demand_multiplier,metric,n,mean,std,min,max
1.2,p90_turnaround_min,2,54.549999999999955,0.6363961030679571,54.09999999999991,55.0
1.2,mean_rmg_service_min,2,11.185926870798891,0.35060137335655134,10.938014262205156,11.433839479392624
1.2,median_rmg_service_min,2,8.5,0.7071067811865476,8.0,9.0
1.2,p90_rmg_service_min,2,22.5,0.7071067811865476,22.0,23.0
1.2,mean_rmg_pre_service_min,2,8.24190923878187,0.33125066267712916,8.007679648930335,8.476138828633406
1.2,median_rmg_pre_service_min,2,5.5,0.7071067811865476,5.0,6.0
1.2,p90_rmg_pre_service_min,2,19.0,1.4142135623730951,18.0,20.0
1.2,rmg_events,2,1833.5,14.849242404917497,1823.0,1844.0
1.2,rmg_receive_events,2,1109.5,9.192388155425117,1103.0,1116.0
1.2,mean_rmg_receive_service_min,2,11.45646038662884,0.5314829886200353,11.080645161290322,11.832275611967361
1.2,median_rmg_receive_service_min,2,8.5,0.7071067811865476,8.0,9.0
1.2,p90_rmg_receive_service_min,2,22.25,1.0606601717798212,21.5,23.0
1.2,mean_rmg_receive_pre_service_min,2,8.097658471357036,0.4029581735052646,7.812724014336918,8.382592928377154
1.2,median_rmg_receive_pre_service_min,2,5.5,0.7071067811865476,5.0,6.0
1.2,p90_rmg_receive_pre_service_min,2,18.5,0.7071067811865476,18.0,19.0
1.2,rmg_delivery_events,2,591.0,29.698484809834994,570.0,612.0
1.2,mean_rmg_delivery_service_min,2,9.061480908152735,0.04476883490794165,9.029824561403508,9.093137254901961
1.2,median_rmg_delivery_service_min,2,6.0,0.0,6.0,6.0
1.2,p90_rmg_delivery_service_min,2,17.94999999999999,1.3435028842544243,17.0,18.899999999999977
1.2,mean_rmg_delivery_pre_service_min,2,8.53342793257654,0.454170769347252,8.212280701754386,8.854575163398692
1.2,median_rmg_delivery_pre_service_min,2,5.5,0.7071067811865476,5.0,6.0
1.2,p90_rmg_delivery_pre_service_min,2,20.0,2.8284271247461903,18.0,22.0
1.2,mean_inter_arrival_min,2,0.551271363067945,0.024464302975607942,0.5339724885368904,0.5685702375989996
1.2,zero_inter_arrival_share,2,0.6162984576907045,0.009137269786070417,0.6098374322634431,0.6227594831179658
1.2,arrival_rate_per_elapsed_hour,2,108.9465994079955,4.8348287152925975,105.52785923753666,112.36533957845434
2.4,mean_turnaround_min,2,32.021875,0.12050278062720841,31.936666666666667,32.107083333333335
2.4,median_turnaround_min,2,28.0,0.0,28.0,28.0
2.4,p90_turnaround_min,2,54.0,0.0,54.0,54.0
2.4,mean_rmg_service_min,2,11.053350576620833,0.02725480822790319,11.034078516902945,11.072622636338723
2.4,median_rmg_service_min,2,8.25,0.3535533905932738,8.0,8.5
2.4,p90_rmg_service_min,2,22.0,0.0,22.0,22.0
2.4,mean_rmg_pre_service_min,2,8.151054366338697,0.054722733265217614,8.112359550561798,8.189749182115595
2.4,median_rmg_pre_service_min,2,5.5,0.7071067811865476,5.0,6.0
2.4,p90_rmg_pre_service_min,2,19.0,0.0,19.0,19.0
2.4,rmg_events,2,3658.5,13.435028842544403,3649.0,3668.0
2.4,rmg_receive_events,2,2192.0,7.0710678118654755,2187.0,2197.0
2.4,mean_rmg_receive_service_min,2,11.45694090894617,0.25046502552624045,11.279835390946502,11.634046426945835
2.4,median_rmg_receive_service_min,2,9.0,0.0,9.0,9.0
2.4,p90_rmg_receive_service_min,2,22.5,0.7071067811865476,22.0,23.0
2.4,mean_rmg_receive_pre_service_min,2,8.31252451955206,0.015201907136327478,8.301775147928995,8.323273891175125
2.4,median_rmg_receive_pre_service_min,2,5.0,0.0,5.0,5.0
2.4,p90_rmg_receive_pre_service_min,2,19.5,0.7071067811865476,19.0,20.0
2.4,rmg_delivery_events,2,1201.5,6.363961030678928,1197.0,1206.0
2.4,mean_rmg_delivery_service_min,2,8.8338819686031,0.3428099946297864,8.591478696741854,9.076285240464346
2.4,median_rmg_delivery_service_min,2,6.5,0.7071067811865476,6.0,7.0
2.4,p90_rmg_delivery_service_min,2,17.5,0.7071067811865476,17.0,18.0
2.4,mean_rmg_delivery_pre_service_min,2,7.897679522188556,0.13766711905942383,7.800334168755222,7.9950248756218905
2.4,median_rmg_delivery_pre_service_min,2,5.5,0.7071067811865476,5.0,6.0
2.4,p90_rmg_delivery_pre_service_min,2,19.0,0.0,19.0,19.0
2.4,mean_inter_arrival_min,2,0.2956866013752865,0.015913217830412,0.2844342571369035,0.3069389456136695
2.4,zero_inter_arrival_share,2,0.7523442383829965,0.010756156496482214,0.7447384871848302,0.7599499895811628
2.4,arrival_rate_per_elapsed_hour,2,203.21183500816903,10.936424515558093,195.4786150712831,210.94505494505495
3.0,mean_turnaround_min,2,32.01216666666667,0.2847283305577844,31.810833333333335,32.2135
3.0,median_turnaround_min,2,27.5,0.7071067811865476,27.0,28.0
3.0,p90_turnaround_min,2,54.0,0.0,54.0,54.0
3.0,mean_rmg_service_min,2,11.11133870467927,0.12109121457059606,11.025714285714285,11.196963123644252
3.0,median_rmg_service_min,2,8.0,0.0,8.0,8.0
3.0,p90_rmg_service_min,2,22.0,0.0,22.0,22.0
3.0,mean_rmg_pre_service_min,2,8.075537651069105,0.0017705059783043185,8.074285714285715,8.076789587852495
3.0,median_rmg_pre_service_min,2,5.5,0.7071067811865476,5.0,6.0
3.0,p90_rmg_pre_service_min,2,19.0,0.0,19.0,19.0
3.0,rmg_events,2,4580.0,42.42640687119285,4550.0,4610.0
3.0,rmg_receive_events,2,2760.5,3.5355339059327378,2758.0,2763.0
3.0,mean_rmg_receive_service_min,2,11.44535378540157,0.05706374293010281,11.405003625815809,11.485703944987332
3.0,median_rmg_receive_service_min,2,8.5,0.7071067811865476,8.0,9.0
3.0,p90_rmg_receive_service_min,2,22.15000000000009,0.21213203435609287,22.0,22.300000000000182
3.0,mean_rmg_receive_pre_service_min,2,8.093455828954927,0.008589463614694927,8.087382160986222,8.099529496923633
3.0,median_rmg_receive_pre_service_min,2,5.5,0.7071067811865476,5.0,6.0
3.0,p90_rmg_receive_pre_service_min,2,19.0,0.0,19.0,19.0
3.0,rmg_delivery_events,2,1496.0,26.870057685088806,1477.0,1515.0
3.0,mean_rmg_delivery_service_min,2,8.954108430477442,0.06298549889027623,8.90957095709571,8.998645903859174
3.0,median_rmg_delivery_service_min,2,7.0,0.0,7.0,7.0
3.0,p90_rmg_delivery_service_min,2,17.0,0.0,17.0,17.0
3.0,mean_rmg_delivery_pre_service_min,2,8.053855934002337,0.03211922635677317,8.031144211238997,8.076567656765677
3.0,median_rmg_delivery_pre_service_min,2,5.0,0.0,5.0,5.0
3.0,p90_rmg_delivery_pre_service_min,2,19.0,0.0,19.0,19.0
3.0,mean_inter_arrival_min,2,0.23920653442240375,0.006129280317002901,0.23487247874645775,0.24354059009834972
3.0,zero_inter_arrival_share,2,0.7902150358393065,0.0027110278325204826,0.7882980496749459,0.7921320220036673
3.0,arrival_rate_per_elapsed_hour,2,250.91163727460457,6.429204634261738,246.36550308008214,255.45777146912704
