demand_multiplier,metric,n,mean,std,ci95_lo,ci95_hi
1.0,mean_turnaround_min,10,31.627112676056335,0.13832402696249976,31.52816162810704,31.72606372400563
1.0,median_turnaround_min,10,27.9,0.31622776601683794,27.673784283720178,28.12621571627982
1.0,p90_turnaround_min,10,53.7,0.4830458915396479,53.35444978558636,54.045550214413645
1.0,mean_rmg_service_min,10,10.852073246767254,0.06500584770538063,10.805570864682734,10.898575628851775
1.0,median_rmg_service_min,10,8.0,0.0,8.0,8.0
1.0,p90_rmg_service_min,10,21.6,0.5163977794943222,21.23059128221082,21.969408717789182
1.0,mean_rmg_pre_service_min,10,7.8983357703775,0.04115928209287597,7.868892193687566,7.927779347067434
1.0,median_rmg_pre_service_min,10,5.0,0.0,5.0,5.0
1.0,p90_rmg_pre_service_min,10,18.3,0.48304589153964794,17.954449785586355,18.645550214413646
1.0,rmg_events,10,14356.5,55.05805017332968,14317.113843579229,14395.886156420771
1.0,rmg_receive_events,10,8039.5,32.76600541889583,8016.06061174252,8062.93938825748
1.0,mean_rmg_receive_service_min,10,11.273409956065347,0.065801626547044,11.226338308090817,11.320481604039877
1.0,median_rmg_receive_service_min,10,9.0,0.0,9.0,9.0
1.0,p90_rmg_receive_service_min,10,22.0,0.0,22.0,22.0
1.0,mean_rmg_receive_pre_service_min,10,8.037411940238723,0.03504806411959424,8.012340065529868,8.062483814947578
1.0,median_rmg_receive_pre_service_min,10,5.0,0.0,5.0,5.0
1.0,p90_rmg_receive_pre_service_min,10,18.8,0.4216370213557839,18.49837904496024,19.10162095503976
1.0,rmg_delivery_events,10,5340.6,54.12167362116175,5301.883687012412,5379.316312987588
1.0,mean_rmg_delivery_service_min,10,8.78436633362982,0.09395771172041198,8.717153035681422,8.851579631578216
1.0,median_rmg_delivery_service_min,10,6.3,0.48304589153964794,5.954449785586356,6.645550214413643
1.0,p90_rmg_delivery_service_min,10,17.340000000000053,0.4718756898449781,17.00244046650978,17.677559533490328
1.0,mean_rmg_delivery_pre_service_min,10,7.724516358232417,0.09200809735793514,7.658697730382197,7.7903349860826365
