demand_multiplier,metric,n,mean_delta,std_delta,ci95_delta_lo,ci95_delta_hi,ci_excludes_zero
1.2,mean_turnaround_min,10,0.005471719204114223,0.19780185185200183,-0.1360272015320016,0.14697063994023002,False
1.2,median_turnaround_min,10,0.1,0.31622776601683794,-0.12621571627982048,0.3262157162798205,False
1.2,p90_turnaround_min,10,0.0,0.816496580927726,-0.5840864678680845,0.5840864678680845,False
1.2,mean_rmg_service_min,10,0.09133294782713275,0.07608525720717399,0.03690483364142655,0.14576106201283895,True
1.2,median_rmg_service_min,10,0.0,0.0,0.0,0.0,False
1.2,p90_rmg_service_min,10,0.3,0.48304589153964794,-0.04555021441364382,0.6455502144136438,False
1.2,mean_rmg_pre_service_min,10,0.00863495192018826,0.11321293218056457,-0.07235270096036711,0.08962260480074363,False
1.2,median_rmg_pre_service_min,10,0.0,0.0,0.0,0.0,False
1.2,p90_rmg_pre_service_min,10,-0.1,0.5676462121975466,-0.5060696380436043,0.3060696380436043,False
1.2,rmg_events,10,4.3,33.62555245312377,-19.75427116442091,28.35427116442091,False
1.2,rmg_receive_events,10,4.6,25.966645271707062,-13.975419020006152,23.175419020006153,False
1.2,mean_rmg_receive_service_min,10,0.07341872834636423,0.04888875431943177,0.03844582031965555,0.10839163637307292,True
1.2,median_rmg_receive_service_min,10,0.0,0.0,0.0,0.0,False
1.2,p90_rmg_receive_service_min,10,0.0,0.0,0.0,0.0,False
1.2,mean_rmg_receive_pre_service_min,10,-0.03760392249740363,0.11334994842950806,-0.11868959089787091,0.043481745903063654,False
1.2,median_rmg_receive_pre_service_min,10,0.1,0.31622776601683794,-0.12621571627982048,0.3262157162798205,False
1.2,p90_rmg_receive_pre_service_min,10,-0.2,0.6324555320336759,-0.652431432559641,0.25243143255964096,False
1.2,rmg_delivery_events,10,-0.5,36.06552678420519,-26.299723652551158,25.299723652551158,False
1.2,mean_rmg_delivery_service_min,10,0.08141378609201855,0.1420530763436824,-0.020204863084812702,0.1830324352688498,False
1.2,median_rmg_delivery_service_min,10,0.5,0.5270462766947299,0.12297380620029924,0.8770261937997008,True
1.2,p90_rmg_delivery_service_min,10,0.18999999999996361,0.7519604008486079,-0.3479200657635573,0.7279200657634846,False
1.2,mean_rmg_delivery_pre_service_min,10,0.04929519039420125,0.13487627233080823,-0.04718948246922249,0.145779863257625,False
1.2,median_rmg_delivery_pre_service_min,10,-0.1,0.31622776601683794,-0.3262157162798205,0.12621571627982048,False
1.2,p90_rmg_delivery_pre_service_min,10,0.0,0.6666666666666666,-0.4769046039804431,0.4769046039804431,False
1.2,mean_inter_arrival_min,10,-0.11368285730255434,0.0011858230578094498,-0.11453114401621758,-0.1128345705888911,True
1.2,zero_inter_arrival_share,10,0.057945335643619686,0.0008134239778405427,0.05736344718358932,0.05852722410365005,True
1.2,arrival_rate_per_elapsed_hour,10,11.527215808394361,0.06907354734167166,11.477803569283605,11.576628047505118,True
1.5,mean_turnaround_min,10,0.576324614352783,0.7018020214598951,0.0742856916772745,1.0783635370282916,True
1.5,median_turnaround_min,10,0.2,0.42163702135578396,-0.10162095503976065,0.5016209550397607,False
1.5,p90_turnaround_min,10,1.1,1.286683937707919,0.1795617593591119,2.020438240640888,True
1.5,mean_rmg_service_min,10,0.061239867126087866,0.08039645015604452,0.0037277112914351,0.11875202296074064,True
1.5,median_rmg_service_min,10,0.0,0.0,0.0,0.0,False
1.5,p90_rmg_service_min,10,0.4,0.5163977794943222,0.030591282210820137,0.76940871778918,True
1.5,mean_rmg_pre_service_min,10,0.6942784128916949,0.8661392411380583,0.0746797252113941,1.3138771005719958,True
1.5,median_rmg_pre_service_min,10,0.2,0.42163702135578396,-0.10162095503976065,0.5016209550397607,False
1.5,p90_rmg_pre_service_min,10,1.3,1.8885620632287061,-0.05099591428486194,2.650995914284862,False
1.5,rmg_events,10,-13.1,34.99666650792139,-38.13510707239383,11.935107072393832,False
1.5,rmg_receive_events,10,-4.1,18.052085136564635,-17.0136837696119,8.8136837696119,False
1.5,mean_rmg_receive_service_min,10,0.07195038133267548,0.09612174154697338,0.0031890297031207104,0.14071173296223025,True
1.5,median_rmg_receive_service_min,10,0.0,0.0,0.0,0.0,False
1.5,p90_rmg_receive_service_min,10,0.03000000000001819,0.09486832980510891,-0.0378647148839691,0.09786471488400549,False
1.5,mean_rmg_receive_pre_service_min,10,0.400692302445668,0.5057465939992755,0.038902983757144405,0.7624816211341916,True
1.5,median_rmg_receive_pre_service_min,10,0.2,0.42163702135578396,-0.10162095503976065,0.5016209550397607,False
1.5,p90_rmg_receive_pre_service_min,10,0.6699999999999818,0.6667499947923167,0.19303578666939342,1.1469642133305702,True
1.5,rmg_delivery_events,10,-10.5,38.58972229320479,-38.10542434193415,17.105424341934157,False
1.5,mean_rmg_delivery_service_min,10,0.013215180406858096,0.10086126574196604,-0.05893662258659972,0.08536698340031591,False
1.5,median_rmg_delivery_service_min,10,0.5,0.5270462766947299,0.12297380620029924,0.8770261937997008,True
1.5,p90_rmg_delivery_service_min,10,-0.2300000000000182,0.40013886478456145,-0.5162421002709162,0.056242100270879836,False
1.5,mean_rmg_delivery_pre_service_min,10,1.1646538658482577,1.4508439976972638,0.1267825926094328,2.202525139087083,True
1.5,median_rmg_delivery_pre_service_min,10,0.2,0.42163702135578396,-0.10162095503976065,0.5016209550397607,False
1.5,p90_rmg_delivery_pre_service_min,10,2.0,3.265986323710904,-0.33634587147233797,4.3363458714723375,False
1.5,mean_inter_arrival_min,10,-0.22728187356771562,0.0023138971208488323,-0.22893713585282047,-0.22562661128261077,True
1.5,zero_inter_arrival_share,10,0.11594097590967523,0.0016873557645245283,0.1147339143106932,0.11714803750865725,True
1.5,arrival_rate_per_elapsed_hour,10,27.40264665904632,0.15925549510711717,27.288722140807664,27.516571177284973,True
2.0,mean_turnaround_min,10,4.644382964453388,1.1688663753995412,3.8082263306544264,5.480539598252348,True
2.0,median_turnaround_min,10,1.9,0.5676462121975466,1.4939303619563957,2.306069638043604,True
