activity,train_n,test_n,train_mean_min,test_mean_min,mean_shift_min,train_p90_min,test_p90_min,wasserstein_min,test_frequency_weight
HO2_delivery,5775,1449,10.14839826839827,11.912353347135955,1.7639550787376859,23.0,27.0,1.7673931865236279,0.07401920719248059
HO2_mixed,749,276,23.40987983978638,27.17753623188406,3.7676563920976776,41.0,49.5,3.767656392097676,0.01409889660809154
HO2_receive,4188,1276,16.53414517669532,18.550940438871475,2.0167952621761565,31.0,34.0,2.072188638684045,0.0651818553330609
LL_delivery,9612,3618,9.817207657095297,11.01934770591487,1.2021400488195724,20.0,21.300000000000182,1.2144101589431124,0.1848181446669391
LL_mixed,53,11,11.377358490566039,14.909090909090908,3.5317324185248697,18.60000000000001,19.0,4.149228130360206,0.0005619125459746629
LL_receive,1932,141,9.452380952380953,13.23404255319149,3.781661600810537,18.0,25.0,3.8054711246200617,0.007202697180220679
RMG_delivery,17823,4681,8.992818268529428,11.328348643452253,2.3355303749228256,18.0,24.0,2.3551820895694835,0.23911932979158154
RMG_mixed,3986,953,18.902659307576517,22.911857292759706,4.009197985183189,35.0,44.0,4.009882963930945,0.04868205966489579
RMG_receive,32794,7171,11.595627248886991,13.778831404267187,2.1832041553801957,23.0,27.0,2.183204155380194,0.3663158970167552
