seed,sim_events,sim_cases,mean_service_time_emd_min,mean_service_time_emd_min_raw,yard_service_time_emd_unweighted_min,yard_service_time_emd_frequency_weighted_min,yard_service_time_emd_unweighted_min_raw,yard_service_time_emd_frequency_weighted_min_raw,mean_waiting_time_emd_min,case_turnaround_emd_min,case_turnaround_emd_min_raw,case_turnaround_ks,case_turnaround_sim_mean,case_turnaround_sim_p90,inter_arrival_emd_min,inter_arrival_ks,sim_zero_inter_arrival_share,sim_service_events_above_24h,sim_turnaround_cases_above_24h,yard_activity_rate_l1_error,yard_activity_rate_max_abs_error,gate_only_cases,wrong_case_boundary_cases,within_case_overlap_cases,decreasing_completion_cases,gate_out_before_final_yard_cases,yard_service_emd__HO2_delivery,yard_service_emd_raw__HO2_delivery,yard_service_emd__HO2_mixed,yard_service_emd_raw__HO2_mixed,yard_service_emd__HO2_receive,yard_service_emd_raw__HO2_receive,yard_service_emd__LL_delivery,yard_service_emd_raw__LL_delivery,yard_service_emd__LL_mixed,yard_service_emd_raw__LL_mixed,yard_service_emd__LL_receive,yard_service_emd_raw__LL_receive,yard_service_emd__RMG_delivery,yard_service_emd_raw__RMG_delivery,yard_service_emd__RMG_mixed,yard_service_emd_raw__RMG_mixed,yard_service_emd__RMG_receive,yard_service_emd_raw__RMG_receive
42,54980,17892,2.409896582747126,2.409896582747126,2.9454291566909316,2.3179128608775206,2.9454291566909316,2.3179128608775206,,8.288564721663311,8.288564721663311,0.13569999999999993,31.45567851553767,53.0,0.06265720194510593,0.0232,0.5416131015594433,0,0,0.2386541471048514,0.09389671361502347,0,0,0,0,0,1.9139904286732552,1.9139904286732552,3.735476146047148,3.735476146047148,1.6495736954838796,1.6495736954838796,1.1144911835730191,1.1144911835730191,4.41919191919192,4.41919191919192,4.048453033540835,4.048453033540835,2.5612329394478266,2.5612329394478266,4.478625896225557,4.478625896225557,2.587827168034942,2.587827168034942
43,54994,17892,2.404886854640487,2.404886854640487,2.939306155671707,2.372917204938818,2.939306155671707,2.372917204938818,,8.251117818019225,8.251117818019225,0.1351,31.51179298010284,53.0,0.0832262031188804,0.022400000000000087,0.5384830361634342,0,0,0.21395036887994637,0.08858707802369774,0,0,0,0,0,2.286289940112323,2.286289940112323,2.778623188405798,2.778623188405798,2.3553919770901577,2.3553919770901577,1.279398493133066,1.279398493133066,4.614973262032086,4.614973262032086,4.371087521071576,4.371087521071576,2.582789904197239,2.582789904197239,3.5981112277019918,3.5981112277019918,2.5870898873011234,2.5870898873011234
44,55092,17892,2.328659466594782,2.328659466594782,2.8461393480602886,2.3306149766613293,2.8461393480602886,2.3306149766613293,,8.13134361725911,8.13134361725911,0.1412,31.61111111111111,53.0,0.05913587837459566,0.021700000000000053,0.547593762226818,0,0,0.22859378493181315,0.08808405991504582,0,0,0,0,0,2.3156916924481847,2.3156916924481847,4.091974734557854,4.091974734557854,2.1917508676668147,2.1917508676668147,1.2768191905853252,1.2768191905853252,2.426573426573427,2.426573426573427,4.025795130511078,4.025795130511078,2.535174454716709,2.535174454716709,4.366872804652155,4.366872804652155,2.3846018308310475,2.3846018308310475
45,55018,17892,2.414934128923336,2.414934128923336,2.9515861575729665,2.2754148767059252,2.9515861575729665,2.2754148767059252,,8.044489157165213,8.044489157165213,0.1339999999999999,31.697965571205007,54.0,0.07160024593370384,0.025800000000000045,0.5407746911855122,0,0,0.22088084059915045,0.08679856919293538,0,0,0,0,0,1.9904652936689602,1.9904652936689602,4.075314009661836,4.075314009661836,2.6568965517241376,2.6568965517241376,1.2912919930880968,1.2912919930880968,3.8257575757575766,3.8257575757575766,4.183743934303845,4.183743934303845,2.3779745057824995,2.3779745057824995,3.776857292759705,3.776857292759705,2.385974261410043,2.385974261410043
46,55080,17892,2.5237384700908723,2.5237384700908723,3.0845692412221775,2.339679676209695,3.0845692412221775,2.339679676209695,,8.144477978985023,8.144477978985023,0.12770000000000004,31.5979767493852,54.0,0.07389190095578191,0.028299999999999992,0.5428427701078755,0,0,0.2280348759221999,0.08780460541023921,0,0,0,0,0,2.1698190452796258,2.1698190452796258,4.8858695652173925,4.8858695652173925,1.7074979173845692,1.7074979173845692,1.3967166825590867,1.3967166825590867,3.30909090909091,3.30909090909091,4.675006408613177,4.675006408613177,2.4290022382234966,2.4290022382234966,4.749892820450407,4.749892820450407,2.4382275841809293,2.4382275841809293
47,55126,17892,2.388137596504433,2.388137596504433,2.9188348401720847,2.3258017474824135,2.9188348401720847,2.3258017474824135,,8.035434831209484,8.035434831209484,0.13319999999999999,31.7221104404203,54.0,0.07534514560392891,0.03249999999999997,0.5412777374098708,0,0,0.22602280348759224,0.08389224234294657,0,0,0,0,0,2.0497369193021417,2.0497369193021417,2.680980697991811,2.680980697991811,2.296704711745423,2.296704711745423,1.406416456007894,1.406416456007894,5.09659090909091,5.09659090909091,3.868963188112124,3.868963188112124,2.6206507518944457,2.6206507518944457,3.8409353069441035,3.8409353069441035,2.4085346204599105,2.4085346204599105
48,55039,17892,2.4966756302758784,2.4966756302758784,3.051492437003852,2.4922863389207506,3.051492437003852,2.4922863389207506,,8.17913033758104,8.17913033758104,0.13670000000000004,31.56332439078918,54.0,0.07299759655692184,0.03420000000000001,0.53999217483651,0,0,0.22730829420970264,0.09037558685446008,0,0,0,0,0,2.3981241852618713,2.3981241852618713,4.682438192668372,4.682438192668372,2.3351992834751445,2.3351992834751445,1.701956650198947,1.701956650198947,2.7012987012987018,2.7012987012987018,4.05906544376678,4.05906544376678,2.4118125572214892,2.4118125572214892,4.5752334033223905,4.5752334033223905,2.598303515820971,2.598303515820971
49,54990,17892,2.349846166793996,2.349846166793996,2.8720342038593287,2.340521908958657,2.8720342038593287,2.340521908958657,,8.074614352783366,8.074614352783366,0.13069999999999993,31.667840375586856,54.0,0.07400368900563925,0.027800000000000047,0.5410541613101559,0,0,0.22803487592219981,0.09059915045830538,0,0,0,0,0,2.153133222802377,2.153133222802377,4.7793061433884825,4.7793061433884825,1.3730749750174533,1.3730749750174533,1.370762888390075,1.370762888390075,2.874125874125875,2.874125874125875,4.286674132138859,4.286674132138859,2.738683426763534,2.738683426763534,3.8225530352311505,3.8225530352311505,2.4499941368761524,2.4499941368761524
50,55073,17892,2.3671042843117722,2.3671042843117722,2.8931274586032774,2.4035429262722774,2.8931274586032774,2.4035429262722774,,8.000838363514424,8.000838363514424,0.1259,31.7534652358596,54.0,0.07232686825777701,0.018100000000000005,0.5441283326812364,0,0,0.22037782249049853,0.08590431477755421,0,0,0,0,0,2.6251071220015367,2.6251071220015367,2.8368282672822884,2.8368282672822884,2.3693871694114517,2.3693871694114517,1.5395078640648003,1.5395078640648003,3.727272727272727,3.727272727272727,3.9242475645810115,3.9242475645810115,2.6650546580672074,2.6650546580672074,3.97859036048879,3.97859036048879,2.3721513942596806,2.3721513942596806
51,55044,17892,2.3922330828486333,2.3922330828486333,2.9238404345927744,2.341018901643725,2.9238404345927744,2.341018901643725,,8.155376704672479,8.155376704672479,0.13039999999999996,31.59166107757657,53.0,0.07892236319936785,0.019600000000000062,0.5442960147560226,0,0,0.2323943661971831,0.08914598703331097,0,0,0,0,0,1.6994546832750732,1.6994546832750732,4.227842809364548,4.227842809364548,1.8664841122061755,1.8664841122061755,1.5105318685858888,1.5105318685858888,3.9090909090909096,3.9090909090909096,3.9780250477210313,3.9780250477210313,2.6741832521686035,2.6741832521686035,4.0230828334394175,4.0230828334394175,2.42586839548332,2.42586839548332
