metric,real_n,real_mean,real_std,real_p50,real_p90,real_min,real_max,sim_n,sim_mean,sim_std,sim_p50,sim_p90,sim_min,sim_max,wasserstein_min,ks_stat,ks_pvalue,abs_error_mean,rel_error_mean,abs_error_p50,rel_error_p50,abs_error_p90,rel_error_p90,real_n_raw,real_mean_raw,real_std_raw,real_p50_raw,real_p90_raw,real_min_raw,real_max_raw,sim_n_raw,sim_mean_raw,sim_std_raw,sim_p50_raw,sim_p90_raw,sim_min_raw,sim_max_raw,wasserstein_min_raw,ks_stat_raw,ks_pvalue_raw,abs_error_mean_raw,rel_error_mean_raw,abs_error_p50_raw,rel_error_p50_raw,abs_error_p90_raw,rel_error_p90_raw,real_excluded_above_24h,sim_excluded_above_24h
turnaround_min,71568,37.29291023921306,28.655701960713756,29.0,67.0,6.0,587.0,17892,30.360887547507264,16.60578164941059,27.0,51.0,3.0,181.0,6.932022691705792,0.09130000000000005,1.017050874470658e-36,6.932022691705793,0.18588044342049906,2.0,0.06896551724137931,16.0,0.23880597014925373,71568.0,37.29291023921306,28.655701960713756,29.0,67.0,6.0,587.0,17892.0,30.360887547507264,16.60578164941059,27.0,51.0,3.0,181.0,6.932022691705792,0.09130000000000005,1.017050874470658e-36,6.932022691705793,0.18588044342049906,2.0,0.06896551724137931,16.0,0.23880597014925373,0.0,0.0
n_events,71568,3.074670243684328,0.2670267501237235,3.0,3.0,3.0,6.0,17892,3.077576570534317,0.2741161496947382,3.0,3.0,3.0,6.0,0.002906326849988816,0.0010999999999999899,1.0,0.0029063268499891493,0.0009452483094598607,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
