kind,activity,real_n,real_mean,real_std,real_p50,real_p90,real_min,real_max,sim_n,sim_mean,sim_std,sim_p50,sim_p90,sim_min,sim_max,wasserstein_min,ks_stat,ks_pvalue,abs_error_mean,rel_error_mean,abs_error_p50,rel_error_p50,abs_error_p90,rel_error_p90,real_n_raw,real_mean_raw,real_std_raw,real_p50_raw,real_p90_raw,real_min_raw,real_max_raw,sim_n_raw,sim_mean_raw,sim_std_raw,sim_p50_raw,sim_p90_raw,sim_min_raw,sim_max_raw,wasserstein_min_raw,ks_stat_raw,ks_pvalue_raw,abs_error_mean_raw,rel_error_mean_raw,abs_error_p50_raw,rel_error_p50_raw,abs_error_p90_raw,rel_error_p90_raw,real_excluded_above_24h,sim_excluded_above_24h
service_time,Gate In,71568,0.0,0.0,0.0,0.0,0.0,0.0,17892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,,71568,0.0,0.0,0.0,0.0,0.0,0.0,17892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,,0,0
service_time,Gate Out,71568,0.0,0.0,0.0,0.0,0.0,0.0,17892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,,71568,0.0,0.0,0.0,0.0,0.0,0.0,17892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,,0,0
service_time,HO2_delivery,5775,10.14839826839827,10.218328638286437,7.0,23.0,0.0,91.0,1419,10.072586328400282,11.307333878575891,7.0,22.0,0.0,91.0,0.6532648746602229,0.042790697674418565,0.029974788994947654,0.07581193999798685,0.00747033551433061,0.0,0.0,1.0,0.043478260869565216,5775,10.14839826839827,10.218328638286437,7.0,23.0,0.0,91.0,1419,10.072586328400282,11.307333878575891,7.0,22.0,0.0,91.0,0.6532648746602229,0.042790697674418565,0.029974788994947654,0.07581193999798685,0.00747033551433061,0.0,0.0,1.0,0.043478260869565216,0,0
service_time,HO2_mixed,749,23.40987983978638,13.415369851315106,21.0,41.0,1.0,90.0,204,23.90686274509804,13.994585580756846,21.0,42.0,5.0,81.0,0.9745739417262231,0.07204377077933977,0.3601377480181115,0.4969829053116577,0.02122962222416058,0.0,0.0,1.0,0.024390243902439025,749,23.40987983978638,13.415369851315106,21.0,41.0,1.0,90.0,204,23.90686274509804,13.994585580756846,21.0,42.0,5.0,81.0,0.9745739417262231,0.07204377077933977,0.3601377480181115,0.4969829053116577,0.02122962222416058,0.0,0.0,1.0,0.024390243902439025,0,0
service_time,HO2_receive,4188,16.53414517669532,12.319100542460095,13.0,31.0,0.0,117.0,1031,17.078564500484966,12.24025811468204,14.0,33.0,1.0,101.0,0.7479188610569948,0.05149626154631448,0.02402161141998871,0.5444193237896471,0.03292697130523564,1.0,0.07692307692307693,2.0,0.06451612903225806,4188,16.53414517669532,12.319100542460095,13.0,31.0,0.0,117.0,1031,17.078564500484966,12.24025811468204,14.0,33.0,1.0,101.0,0.7479188610569948,0.05149626154631448,0.02402161141998871,0.5444193237896471,0.03292697130523564,1.0,0.07692307692307693,2.0,0.06451612903225806,0,0
service_time,LL_delivery,9612,9.817207657095297,8.9697919256248,7.0,20.0,1.0,62.0,2332,9.59605488850772,7.947367719571534,7.0,19.0,1.0,62.0,0.6520788765329781,0.03257970133102639,0.036381783520094135,0.2211527685875776,0.022527054159615485,0.0,0.0,1.0,0.05,9612,9.817207657095297,8.9697919256248,7.0,20.0,1.0,62.0,2332,9.59605488850772,7.947367719571534,7.0,19.0,1.0,62.0,0.6520788765329781,0.03257970133102639,0.036381783520094135,0.2211527685875776,0.022527054159615485,0.0,0.0,1.0,0.05,0,0
service_time,LL_mixed,53,11.377358490566039,7.9038121646707715,9.0,18.60000000000001,3.0,48.0,18,8.88888888888889,5.063001770501821,7.5,13.900000000000002,3.0,23.0,2.4884696016771484,0.21802935010482177,0.4990651591793157,2.4884696016771493,0.21872120877096005,1.5,0.16666666666666666,4.700000000000006,0.252688172043011,53,11.377358490566039,7.9038121646707715,9.0,18.60000000000001,3.0,48.0,18,8.88888888888889,5.063001770501821,7.5,13.900000000000002,3.0,23.0,2.4884696016771484,0.21802935010482177,0.4990651591793157,2.4884696016771493,0.21872120877096005,1.5,0.16666666666666666,4.700000000000006,0.252688172043011,0,0
service_time,LL_receive,1932,9.452380952380953,7.854800227371846,7.0,18.0,2.0,71.0,494,8.951417004048583,7.163525202211011,7.0,18.0,2.0,70.0,0.5545594756121074,0.0274117568167912,0.9212743976552523,0.5009639483323696,0.052998704861359,0.0,0.0,0.0,0.0,1932,9.452380952380953,7.854800227371846,7.0,18.0,2.0,71.0,494,8.951417004048583,7.163525202211011,7.0,18.0,2.0,70.0,0.5545594756121074,0.0274117568167912,0.9212743976552523,0.5009639483323696,0.052998704861359,0.0,0.0,0.0,0.0,0,0
service_time,RMG_delivery,17823,8.992818268529428,9.225692586458216,6.0,18.0,0.0,177.0,4507,8.857111160417128,7.707363850272396,7.0,18.0,0.0,109.0,0.47315116158184956,0.019650299534058134,0.17904029854716141,0.13570710811229958,0.015090609424101195,1.0,0.16666666666666666,0.0,0.0,17823,8.992818268529428,9.225692586458216,6.0,18.0,0.0,177.0,4507,8.857111160417128,7.707363850272396,7.0,18.0,0.0,109.0,0.47315116158184956,0.019650299534058134,0.17904029854716141,0.13570710811229958,0.015090609424101195,1.0,0.16666666666666666,0.0,0.0,0,0
service_time,RMG_mixed,3986,18.902659307576517,13.954849508175258,15.0,35.0,3.0,139.0,974,19.10164271047228,13.526835167631587,16.0,35.0,2.0,139.0,1.1485079709166877,0.05521378211831757,0.01625065569940213,0.1989834028957631,0.010526741219739757,1.0,0.06666666666666667,0.0,0.0,3986,18.902659307576517,13.954849508175258,15.0,35.0,3.0,139.0,974,19.10164271047228,13.526835167631587,16.0,35.0,2.0,139.0,1.1485079709166877,0.05521378211831757,0.01625065569940213,0.1989834028957631,0.010526741219739757,1.0,0.06666666666666667,0.0,0.0,0,0
