model,mean_arrivals_per_slot,mae,rmse,r2,notes,tree_max_depth,tree_min_samples_leaf
pooled_exponential_rate,31.4328882642305,29.2311437412928,35.81185970895061,-0.006546723541102972,single arrival rate across all periods,,
time_aware_decision_tree,34.32105263157895,11.657894736842104,19.55650923216244,0.6998330549822929,"tree conditioned on hour, weekday, weekend indicator",14.0,5.0
