activity,max_depth,min_samples_leaf,baseline_mae_mean,baseline_rmse_mean,baseline_r2_mean,tree_mae_mean,tree_rmse_mean,tree_r2_mean,tree_mae_std,tree_rmse_std,tree_r2_std,n_folds
Gate In,3.0,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5
Gate In,5.0,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5
Gate In,5.0,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5
Gate In,8.0,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5
Gate In,,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5
Gate Out,3.0,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5
Gate Out,5.0,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5
Gate Out,5.0,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5
Gate Out,8.0,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5
Gate Out,,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5
HO2_delivery,3.0,5,6.944321277048845,9.927574692248902,-0.012186378203844939,6.730452049103292,9.579281796874232,0.05269691370333056,0.39835780741139676,0.8563786253489926,0.0616442986568864,5
HO2_delivery,5.0,5,6.944321277048845,9.927574692248902,-0.012186378203844939,7.052318224463333,9.950332124631169,-0.021960928358655662,0.3946277542188769,1.0272927637132425,0.09074380339840767,5
HO2_delivery,5.0,10,6.944321277048845,9.927574692248902,-0.012186378203844939,7.181850585608006,10.289836052309301,-0.10489756494494684,0.5120882603448728,0.825224336287684,0.16896827940155518,5
HO2_delivery,8.0,5,6.944321277048845,9.927574692248902,-0.012186378203844939,7.415718423558745,10.528463196234023,-0.1543286644417204,0.47902687699943736,0.9263601062689383,0.17077480894343056,5
HO2_delivery,,5,6.944321277048845,9.927574692248902,-0.012186378203844939,8.02245101855456,11.452370756278489,-0.36234940855609393,0.33838840398769016,0.8222348486357323,0.1441842107643686,5
HO2_mixed,3.0,5,10.979073963464613,14.838753025685705,-0.06609625378394184,10.857917028237933,14.714052269336094,-0.05100367667164758,0.5592104493427407,1.8172770270804626,0.10627886136515474,5
HO2_mixed,5.0,5,10.979073963464613,14.838753025685705,-0.06609625378394184,10.936105909947964,14.828707712376806,-0.0655583623262738,0.6738218799797644,2.023507420885783,0.11682868740474517,5
HO2_mixed,5.0,10,10.979073963464613,14.838753025685705,-0.06609625378394184,10.954309275340174,14.75282923798891,-0.05221428787468156,0.8523457181200743,2.1685696056905654,0.11833363570155601,5
HO2_mixed,8.0,5,10.979073963464613,14.838753025685705,-0.06609625378394184,11.429946111949121,15.623945853109763,-0.18017036267400113,0.8945577949882267,2.0972735701503806,0.1024773752980737,5
HO2_mixed,,5,10.979073963464613,14.838753025685705,-0.06609625378394184,12.381015913611822,16.796029720822382,-0.3712466614248695,1.088205242772092,2.1011443025741707,0.19151464848458802,5
HO2_receive,3.0,5,8.789325353044253,12.440771701594565,-0.02445586471298018,8.671065757624728,12.06810394163298,0.029526567079226962,0.5635894853917122,0.8362470413468093,0.0720102893891284,5
HO2_receive,5.0,5,8.789325353044253,12.440771701594565,-0.02445586471298018,8.80112210356471,12.657481637308956,-0.07313435372768333,0.4601944363338005,0.9225651882738163,0.14011622001353763,5
HO2_receive,5.0,10,8.789325353044253,12.440771701594565,-0.02445586471298018,8.71523023264093,12.387975847227427,-0.022893938294004747,0.4780747411090629,0.973719575145289,0.09445729300326962,5
HO2_receive,8.0,5,8.789325353044253,12.440771701594565,-0.02445586471298018,9.251778350960757,13.27611056626434,-0.18022968221336227,0.6666663221316996,0.9477276990403841,0.1480944802162837,5
HO2_receive,,5,8.789325353044253,12.440771701594565,-0.02445586471298018,10.28899352899353,14.501205498048552,-0.4164690826221712,0.9623353493871235,1.2190973781864853,0.2593779637385366,5
LL_delivery,3.0,5,6.471263193122707,9.657795110340542,-0.013411940938006905,5.7568032719160716,8.529342572162353,0.2101702595932058,0.4647336507510253,0.7275868983343003,0.06936058510961284,5
LL_delivery,5.0,5,6.471263193122707,9.657795110340542,-0.013411940938006905,5.630097893016204,8.510048366993232,0.21035545688202797,0.3965604574274531,0.805055118171317,0.11469268714505079,5
LL_delivery,5.0,10,6.471263193122707,9.657795110340542,-0.013411940938006905,5.6902533214577975,8.635049089291567,0.18663432772082628,0.3571833600673908,0.6773918297397931,0.10216895014111109,5
LL_delivery,8.0,5,6.471263193122707,9.657795110340542,-0.013411940938006905,5.770479413530144,9.17392887045261,0.08210887971302147,0.5881137121659099,0.9774833111367149,0.15095442041130996,5
LL_delivery,,5,6.471263193122707,9.657795110340542,-0.013411940938006905,6.3649316139116845,9.876939083145048,-0.06288601126236688,0.5765935099210207,0.8763895707831569,0.13959347765308175,5
LL_mixed,3.0,5,5.39497516699785,7.619523657652944,-0.013479430058889274,4.8121585331265715,7.033932670253686,0.13679873175492802,0.2555566760483638,0.5125775688148063,0.058675104989112555,5
LL_mixed,5.0,5,5.39497516699785,7.619523657652944,-0.013479430058889274,4.8279262395453815,7.12673268714629,0.11254187226674142,0.3307128591343629,0.5340020975742816,0.08124666592156288,5
LL_mixed,5.0,10,5.39497516699785,7.619523657652944,-0.013479430058889274,4.821456645922175,7.035137958762812,0.13471941183055908,0.38708681986194166,0.6187681253679951,0.09978792478136382,5
LL_mixed,8.0,5,5.39497516699785,7.619523657652944,-0.013479430058889274,5.1315183637884845,7.598396537818418,-0.010536767937088309,0.44117681469768316,0.6760620995758985,0.13042803710160533,5
LL_mixed,,5,5.39497516699785,7.619523657652944,-0.013479430058889274,5.535624152508574,8.052706437910283,-0.1359783733160927,0.3723568577299402,0.544882610133532,0.12584943272587232,5
LL_receive,3.0,5,5.8970641300039635,9.149530036526212,-0.08773815201538446,6.217173640579209,9.585955108525088,-0.1917546555318036,1.5631970620531943,2.9092006874347542,0.14453756961369288,5
