bucket_minutes,fold,model,mae,rmse,r2,max_depth,min_samples_leaf
15,1,pooled_mean,14.97341550077726,17.54068556101287,-0.03104198253705559,,
15,1,time_aware_tree,6.336713081333073,9.81782258089007,0.6769917743745798,3.0,5.0
15,1,time_aware_tree,5.894692506421146,9.75801478494187,0.6809151633649355,5.0,5.0
15,1,time_aware_tree,5.920586733502081,9.805827541619859,0.6777805703552602,5.0,10.0
15,1,time_aware_tree,5.7381699085021864,9.486737032466307,0.6984099929413526,8.0,5.0
15,1,time_aware_tree,5.731228423475259,9.458836473777412,0.7001813408913162,,5.0
15,2,pooled_mean,14.000957036720864,17.265297355441888,-0.006953962154377713,,
15,2,time_aware_tree,6.738675245591679,10.974263191257233,0.5931706909243459,3.0,5.0
15,2,time_aware_tree,6.794758807179693,11.395078036825142,0.5613722565900683,5.0,5.0
15,2,time_aware_tree,6.802529552608666,11.395435251939002,0.5613447557840738,5.0,10.0
15,2,time_aware_tree,6.875263713080169,11.548149728484924,0.5495088097518965,8.0,5.0
15,2,time_aware_tree,6.924138537271448,11.622372623264377,0.5436993572800042,,5.0
15,3,pooled_mean,14.22448117277636,17.42272164326943,-0.02513168121667375,,
15,3,time_aware_tree,10.032206454182075,15.075321818704122,0.23249565443645115,3.0,5.0
15,3,time_aware_tree,9.778701276469848,14.999445745202669,0.24020211192927976,5.0,5.0
15,3,time_aware_tree,9.778701276469848,14.999445745202669,0.24020211192927976,5.0,10.0
15,3,time_aware_tree,9.749778988831078,14.933188676865527,0.24689979844413146,8.0,5.0
15,3,time_aware_tree,9.733774011769931,14.927308763373775,0.24749274511361474,,5.0
15,4,pooled_mean,14.524609143017289,18.21109481277419,-0.002510399211824499,,
15,4,time_aware_tree,5.613093049156605,10.558280836228429,0.6630207228372484,3.0,5.0
15,4,time_aware_tree,5.235634362407405,10.389988613969262,0.6736775757611696,5.0,5.0
15,4,time_aware_tree,5.235634362407405,10.389988613969262,0.6736775757611696,5.0,10.0
15,4,time_aware_tree,5.302496715871269,10.440855008515163,0.6704745930855222,8.0,5.0
15,4,time_aware_tree,5.33583287470189,10.450102031508349,0.6698906412216883,,5.0
15,5,pooled_mean,14.539258658153104,19.828664488800655,-0.05214596188413956,,
15,5,time_aware_tree,7.857666048036753,13.146467683379676,0.5375048100304511,3.0,5.0
15,5,time_aware_tree,7.410701218321506,12.855958390462012,0.557719308169303,5.0,5.0
15,5,time_aware_tree,7.410701218321506,12.855958390462012,0.557719308169303,5.0,10.0
15,5,time_aware_tree,7.45435676036679,12.832713348651795,0.5593172502909105,8.0,5.0
15,5,time_aware_tree,7.455139913764608,12.837473638517812,0.5589902474731201,,5.0
30,1,pooled_mean,29.452700067368717,33.69298313829216,-0.03307827789927509,,
30,1,time_aware_tree,11.363308720112519,17.04296508173535,0.7356711240946425,3.0,5.0
30,1,time_aware_tree,10.675956350794682,17.01438505963071,0.7365569078581033,5.0,5.0
30,1,time_aware_tree,10.782601920414937,17.316333449519604,0.7271234717646735,5.0,10.0
30,1,time_aware_tree,10.49043600562588,16.550271292939627,0.750733144575709,8.0,5.0
30,1,time_aware_tree,10.478691983122362,16.551388007411056,0.7506995053330872,,5.0
