bucket_minutes,model,max_depth,min_samples_leaf,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,n_folds
15,pooled_mean,,,14.452544302288976,0.3674110013537712,18.053692772259808,1.0557187474119583,-0.023556797400814223,0.019965304883482998,5
15,time_aware_tree,3.0,5.0,7.3156707756600365,1.7221627312588907,11.914431222091906,2.1580066493953067,0.5406367305206153,0.1811705606960871,5
15,time_aware_tree,5.0,5.0,7.02289763415992,1.7510032461452436,11.87969711428019,2.1000916987284945,0.5427772831629513,0.17912128010382253,5
15,time_aware_tree,5.0,10.0,7.029630628661901,1.7466095788994744,11.889331108638562,2.0880690542880456,0.5421448643998172,0.1785206737225976,5
15,time_aware_tree,8.0,5.0,7.024013217330298,1.7502951965873403,11.848328758996743,2.129177013818629,0.5449220889027627,0.179142061143153,5
15,time_aware_tree,,5.0,7.036022752196628,1.7363159988175096,11.859218706088345,2.1315311423457293,0.5440508663959487,0.17915245041477695,5
30,pooled_mean,,,28.434127884185113,0.7793595787846044,33.88388990825085,1.7981941822537941,-0.026461773239284357,0.022921690329768093,5
30,time_aware_tree,3.0,5.0,13.138281537164147,3.205654880387026,20.279954584886315,4.453807401301686,0.6128780947522272,0.19897906694214437,5
30,time_aware_tree,5.0,5.0,12.523927336752317,3.169915150240454,20.218963703222535,4.339995425622504,0.6146423970793027,0.19600839442813434,5
30,time_aware_tree,5.0,10.0,12.555160479798566,3.1785213802337413,20.28831918114689,4.304567977939131,0.6122776529094031,0.19562353399283708,5
30,time_aware_tree,8.0,5.0,12.527467465420298,3.1496700230252634,20.184724393954248,4.327018832825099,0.6159157843888216,0.19405597913687145,5
30,time_aware_tree,,5.0,12.532614526823386,3.1266720771460874,20.22413359482872,4.311880124095932,0.6145094796000229,0.19352941173676688,5
60,pooled_mean,,,55.59305404825676,1.9580027186194533,62.52909656985541,2.940255294363272,-0.031613680919781915,0.02825876070366782,5
60,time_aware_tree,3.0,5.0,19.684444004075534,6.409340002843235,30.49689766097136,10.75371821614501,0.722741279651873,0.23112574079513443,5
60,time_aware_tree,5.0,5.0,18.63269417210774,6.225519180680505,30.484125393958116,10.633688647514772,0.7222107605295855,0.22793542005221304,5
60,time_aware_tree,5.0,10.0,18.901800306236538,6.112338063241244,30.584645332873652,10.571147993858993,0.7209213206577715,0.22685685664427122,5
60,time_aware_tree,8.0,5.0,18.38818445803075,6.240497564520783,30.265964155591792,10.71414116500262,0.725109364755198,0.22800627142787291,5
60,time_aware_tree,,5.0,18.495473176612414,6.228365412634296,30.353610445244545,10.677727524845613,0.7238204233665504,0.22752869558835617,5
