activity,max_depth,min_samples_leaf,baseline_mae,baseline_rmse,tree_mae,tree_rmse,tree_r2,n_test,n_train
HO2_mixed,2.0,5,11.826437301946582,18.40400442578956,11.61147607988859,17.528167782959468,0.029566601960525185,470,1880
HO2_mixed,2.0,10,11.826437301946582,18.40400442578956,11.535417556851343,17.462127062152085,0.03686541262620768,470,1880
HO2_mixed,2.0,20,11.826437301946582,18.40400442578956,11.620543235204345,17.594633785117182,0.02219297099027928,470,1880
HO2_mixed,2.0,50,11.826437301946582,18.40400442578956,12.205148807678057,18.487359243117876,-0.07954923017307158,470,1880
HO2_mixed,3.0,5,11.826437301946582,18.40400442578956,11.584364278338642,17.59635432390412,0.022001726637380647,470,1880
HO2_mixed,3.0,10,11.826437301946582,18.40400442578956,11.48542931155324,17.505149008728402,0.032113761460438095,470,1880
HO2_mixed,3.0,20,11.826437301946582,18.40400442578956,11.79314746126467,17.9057839628976,-0.012696646509837706,470,1880
HO2_mixed,3.0,50,11.826437301946582,18.40400442578956,11.87277496359181,18.276630333262613,-0.05507892159709993,470,1880
HO2_mixed,5.0,5,11.826437301946582,18.40400442578956,11.282831376585856,17.47895962990304,0.035007695991026155,470,1880
HO2_mixed,5.0,10,11.826437301946582,18.40400442578956,11.199532125679237,17.286980674215876,0.05608913713117847,470,1880
HO2_mixed,5.0,20,11.826437301946582,18.40400442578956,11.515606779687431,17.69829965719164,0.010636738944590274,470,1880
HO2_mixed,5.0,50,11.826437301946582,18.40400442578956,11.910168819150975,18.37486699707728,-0.06645147586614186,470,1880
HO2_mixed,8.0,5,11.826437301946582,18.40400442578956,11.798187949486975,17.83481334725608,-0.004684791706922153,470,1880
HO2_mixed,8.0,10,11.826437301946582,18.40400442578956,11.349594221118592,17.608332599954146,0.020669777946846435,470,1880
HO2_mixed,8.0,20,11.826437301946582,18.40400442578956,11.576714466764443,17.832032914736903,-0.004371557083930222,470,1880
HO2_mixed,8.0,50,11.826437301946582,18.40400442578956,11.686005953555913,18.020653085286217,-0.02573161972270266,470,1880
HO2_mixed,,5,11.826437301946582,18.40400442578956,12.587291455589327,18.851690303545993,-0.12251792359151836,470,1880
HO2_mixed,,10,11.826437301946582,18.40400442578956,11.849639332015574,18.15499382228356,-0.04108191464057276,470,1880
HO2_mixed,,20,11.826437301946582,18.40400442578956,11.723249147624147,17.934148619910417,-0.015907625113410928,470,1880
HO2_mixed,,50,11.826437301946582,18.40400442578956,11.8577434516285,18.073377644583893,-0.03174254090374751,470,1880
HO2_receive,2.0,5,8.804399201887561,12.18499297415713,8.840486068478777,11.600767851704783,0.08898549649608478,1022,4084
HO2_receive,2.0,10,8.804399201887561,12.18499297415713,8.840486068478777,11.600767851704783,0.08898549649608478,1022,4084
HO2_receive,2.0,20,8.804399201887561,12.18499297415713,8.840486068478777,11.600767851704783,0.08898549649608478,1022,4084
HO2_receive,2.0,50,8.804399201887561,12.18499297415713,8.837584447383824,11.574475722152672,0.0931102869437227,1022,4084
HO2_receive,3.0,5,8.804399201887561,12.18499297415713,8.6905707694568,11.4516476661843,0.1122559417690735,1022,4084
HO2_receive,3.0,10,8.804399201887561,12.18499297415713,8.771703099573543,11.710638747285905,0.07164733822713643,1022,4084
HO2_receive,3.0,20,8.804399201887561,12.18499297415713,8.691260783943292,11.463109533953775,0.11047797977647555,1022,4084
HO2_receive,3.0,50,8.804399201887561,12.18499297415713,8.823792372476154,11.656770747638303,0.08016839064554127,1022,4084
HO2_receive,5.0,5,8.804399201887561,12.18499297415713,8.462512981696989,11.444912411992052,0.11329988299825311,1022,4084
HO2_receive,5.0,10,8.804399201887561,12.18499297415713,8.652126853897736,11.8084452627409,0.056075495489648075,1022,4084
HO2_receive,5.0,20,8.804399201887561,12.18499297415713,8.49775057747757,11.37503057199312,0.12409508331444696,1022,4084
HO2_receive,5.0,50,8.804399201887561,12.18499297415713,8.665664958679674,11.506816617771413,0.10368182518979396,1022,4084
HO2_receive,8.0,5,8.804399201887561,12.18499297415713,8.513519441046173,11.43274603621637,0.1151840726622807,1022,4084
HO2_receive,8.0,10,8.804399201887561,12.18499297415713,8.732014601819207,11.87078005473389,0.046083555347565364,1022,4084
HO2_receive,8.0,20,8.804399201887561,12.18499297415713,8.449629530334928,11.288067958336384,0.13743655349767636,1022,4084
HO2_receive,8.0,50,8.804399201887561,12.18499297415713,8.674928565970184,11.467420589177548,0.10980878968737295,1022,4084
HO2_receive,,5,8.804399201887561,12.18499297415713,9.390194685180008,13.016730063682548,-0.1469793960130814,1022,4084
HO2_receive,,10,8.804399201887561,12.18499297415713,9.48424484844953,13.181844063837717,-0.1762622480663465,1022,4084
HO2_receive,,20,8.804399201887561,12.18499297415713,9.01806485291856,11.910458488899307,0.03969590973404169,1022,4084
HO2_receive,,50,8.804399201887561,12.18499297415713,8.854051473535383,11.599626168052104,0.0891648017281721,1022,4084
LL_delivery,2.0,5,6.523716841464717,10.064157378227735,5.833207389915737,8.823855542181425,0.21905032863676965,2048,8191
LL_delivery,2.0,10,6.523716841464717,10.064157378227735,5.833207389915737,8.823855542181425,0.21905032863676965,2048,8191
LL_delivery,2.0,20,6.523716841464717,10.064157378227735,5.833207389915737,8.823855542181425,0.21905032863676965,2048,8191
LL_delivery,2.0,50,6.523716841464717,10.064157378227735,5.833207389915737,8.823855542181425,0.21905032863676965,2048,8191
LL_delivery,3.0,5,6.523716841464717,10.064157378227735,5.98963647782778,9.063582373030783,0.17604016935193811,2048,8191
LL_delivery,3.0,10,6.523716841464717,10.064157378227735,5.939885345773963,8.965456992865299,0.19378452391104017,2048,8191
LL_delivery,3.0,20,6.523716841464717,10.064157378227735,5.917555491212891,8.950374788404599,0.1964947658877063,2048,8191
LL_delivery,3.0,50,6.523716841464717,10.064157378227735,5.947786197498413,9.039734339723632,0.18037045939450636,2048,8191
