case:concept:name,concept:name,org:resource,enabled:timestamp,start:timestamp,time:timestamp,n_deliveries,has_reefer,has_hazardous,vc_utilization,target_rank_group,target_utilization,gate_demand,n_receives,target_rank,visit_complexity,mt_demand,full_ratio,rmg_demand,target_utilization_bin,rmg_utilization,target_area,target_demand,n_containers,process_flow_type,primary_target_area,n_stops,vc_demand,target_demand_bin,mt_utilization,gate_utilization
case_15,Gate In,Res.GateIn,2026-04-20 18:24:00,2026-04-20 18:24:00,2026-04-20 18:24:00,1,0,0,0.5259,non_rmg,0.8341,109.48,0,,3,23.88,0.0,85.87,very_high,0.6159,MT,23.88,1,delivery,MT,1,15.57,very_high,0.8341,0.6359
case_15,LL_delivery,LL,2026-04-20 18:24:00,2026-04-20 18:24:00,2026-04-20 18:29:00,1,0,0,0.5259,non_rmg,0.8341,109.48,0,,3,23.88,0.0,85.87,very_high,0.6159,MT,23.88,1,delivery,MT,1,15.57,very_high,0.8341,0.6359
case_16,Gate In,Res.GateIn,2026-04-20 18:24:00,2026-04-20 18:24:00,2026-04-20 18:24:00,1,0,0,0.42,non_rmg,0.8334,114.7,0,,3,24.75,0.0,92.2,very_high,0.5268,MT,24.75,1,delivery,MT,1,12.55,very_high,0.8334,0.5634
case_17,Gate In,Res.GateIn,2026-04-20 18:25:00,2026-04-20 18:25:00,2026-04-20 18:25:00,0,0,0,0.4663,mid,0.6637,147.33,1,10.0,5,5.73,1.0,120.4,high,0.5868,T11,4.27,1,receive,T11,1,32.2,low,0.9132,0.62
case_18,Gate In,Res.GateIn,2026-04-20 18:25:00,2026-04-20 18:25:00,2026-04-20 18:25:00,0,0,0,0.4655,mid,0.65,98.97,1,8.0,5,12.28,1.0,52.2,high,0.59,T16,5.73,1,receive,T16,1,11.35,medium,0.7645,0.6
case_18,RMG_receive,T16,2026-04-20 18:25:00,2026-04-20 18:25:00,2026-04-20 18:30:00,0,0,0,0.4655,mid,0.65,98.97,1,8.0,5,12.28,1.0,52.2,high,0.59,T16,5.73,1,receive,T16,1,11.35,medium,0.7645,0.6
case_3,RMG_receive,T21,2026-04-20 18:17:00,2026-04-20 18:26:00,2026-04-20 18:31:00,0,0,0,0.4,top_3,0.63,144.6,1,2.0,5,11.5,1.0,135.3,medium,0.4908,T21,7.7,1,receive,T21,1,12.8,high,0.8115,0.5308
case_11,RMG_delivery,T26,2026-04-20 18:21:00,2026-04-20 18:26:00,2026-04-20 18:32:00,1,0,0,0.4698,mid,0.69,150.75,0,7.0,3,5.05,0.0,116.3,high,0.5851,T26,8.85,1,delivery,T26,1,40.4,high,0.9149,0.62
case_19,Gate In,Res.GateIn,2026-04-20 18:29:00,2026-04-20 18:29:00,2026-04-20 18:29:00,0,0,0,0.53,mid,0.7082,47.97,1,8.0,5,12.27,1.0,37.5,high,0.6291,T25,2.9,1,receive,T25,1,6.73,low,0.82,0.6491
case_7,Gate Out,Res.GateOut,2026-04-20 18:28:00,2026-04-20 18:30:00,2026-04-20 18:30:00,0,0,0,0.4684,non_rmg,0.7568,151.5,1,,5,21.27,1.0,135.5,very_high,0.52,MT,21.27,1,receive,MT,1,24.93,very_high,0.7568,0.55
