scenario,metric,contrast,n_paired_seeds,difference_in_differences,sd_difference,ci95_lo,ci95_hi,interval_excludes_zero
t22_closed,median_rmg_delivery_pre_service_min,rules_workload_response_minus_rules_only_response,10,-0.3,0.8232726023485646,-0.8889337415864864,0.2889337415864865,False
t22_closed,median_rmg_delivery_service_min,rules_workload_response_minus_rules_only_response,10,1.05,0.6851601597031489,0.5598659480603889,1.5401340519396112,True
t22_closed,median_rmg_pre_service_min,rules_workload_response_minus_rules_only_response,10,-0.35,0.6687467549246293,-0.8283926094808052,0.12839260948080522,False
t22_closed,median_rmg_receive_pre_service_min,rules_workload_response_minus_rules_only_response,10,-0.1,0.8755950357709131,-0.7263629556723539,0.5263629556723539,False
t22_closed,median_rmg_receive_service_min,rules_workload_response_minus_rules_only_response,10,0.0,0.0,0.0,0.0,False
t22_closed,median_rmg_service_min,rules_workload_response_minus_rules_only_response,10,0.0,0.0,0.0,0.0,False
t22_closed,median_turnaround_min,rules_workload_response_minus_rules_only_response,10,-0.1,0.31622776601683794,-0.3262157162798205,0.12621571627982048,False
t22_closed,p90_rmg_delivery_pre_service_min,rules_workload_response_minus_rules_only_response,10,-0.060000000000081856,0.5834761729877264,-0.47739370981618606,0.3573937098160223,False
t22_closed,p90_rmg_delivery_service_min,rules_workload_response_minus_rules_only_response,10,0.26000000000003637,0.960555394897499,-0.4271399353072684,0.9471399353073411,False
t22_closed,p90_rmg_pre_service_min,rules_workload_response_minus_rules_only_response,10,0.1,0.31622776601683794,-0.12621571627982048,0.3262157162798205,False
t22_closed,p90_rmg_receive_pre_service_min,rules_workload_response_minus_rules_only_response,10,0.01999999999998181,0.6356099432828543,-0.4346879624310305,0.4746879624309941,False
t22_closed,p90_rmg_receive_service_min,rules_workload_response_minus_rules_only_response,10,-0.2,0.7888106377466155,-0.7642811372151657,0.3642811372151657,False
t22_closed,p90_rmg_service_min,rules_workload_response_minus_rules_only_response,10,0.010000000000036379,0.667416245265615,-0.46744082020773225,0.487440820207805,False
t22_closed,p90_turnaround_min,rules_workload_response_minus_rules_only_response,10,-0.1,0.8755950357709131,-0.7263629556723539,0.5263629556723539,False
t22_closed,rmg_delivery_events,rules_workload_response_minus_rules_only_response,10,-13.0,48.712307365684175,-47.84668547980785,21.846685479807853,False
t22_closed,rmg_events,rules_workload_response_minus_rules_only_response,10,-21.5,47.10803187001837,-55.19905592490381,12.19905592490381,False
t22_closed,rmg_receive_events,rules_workload_response_minus_rules_only_response,10,-13.0,23.865363092891663,-30.072252301997473,4.072252301997473,False
t22_closed,zero_inter_arrival_share,rules_workload_response_minus_rules_only_response,10,0.0,0.0,0.0,0.0,False
