metric,real_n,real_mean,real_std,real_p50,real_p90,real_min,real_max,sim_n,sim_mean,sim_std,sim_p50,sim_p90,sim_min,sim_max,wasserstein_min,ks_stat,ks_pvalue,abs_error_mean,rel_error_mean,abs_error_p50,rel_error_p50,abs_error_p90,rel_error_p90,real_n_raw,real_mean_raw,real_std_raw,real_p50_raw,real_p90_raw,real_min_raw,real_max_raw,sim_n_raw,sim_mean_raw,sim_std_raw,sim_p50_raw,sim_p90_raw,sim_min_raw,sim_max_raw,wasserstein_min_raw,ks_stat_raw,ks_pvalue_raw,abs_error_mean_raw,rel_error_mean_raw,abs_error_p50_raw,rel_error_p50_raw,abs_error_p90_raw,rel_error_p90_raw,real_excluded_above_24h,sim_excluded_above_24h
turnaround_min,71568,37.29291023921306,28.655701960713756,29.0,67.0,6.0,587.0,17892,32.10468365750056,20.264964050214513,28.0,54.0,2.0,555.0,5.234895484015198,0.06570000000000009,3.30001610838993e-19,5.188226581712499,0.1391209897117962,1.0,0.034482758620689655,13.0,0.19402985074626866,71568.0,37.29291023921306,28.655701960713756,29.0,67.0,6.0,587.0,17892.0,32.10468365750056,20.264964050214513,28.0,54.0,2.0,555.0,5.234895484015198,0.06570000000000009,3.30001610838993e-19,5.188226581712499,0.1391209897117962,1.0,0.034482758620689655,13.0,0.19402985074626866,0.0,0.0
n_events,71568,3.074670243684328,0.2670267501237235,3.0,3.0,3.0,6.0,17892,3.0919405320813773,0.6375325977006723,3.0,3.0,3.0,34.0,0.04267270288397018,0.012399999999999967,0.42213807595263886,0.01727028839704925,0.005616956300443634,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
