scenario,metric,configuration,n_paired_seeds,mean_scenario_delta,sd_scenario_delta,ci95_lo,ci95_hi,interval_excludes_zero
demand_plus_20pct,rmg_events,rules_only,10,-8.5,23.2820865807933,-25.155001420977428,8.155001420977428,False
demand_plus_20pct,rmg_events,rules_workload,10,-19.6,34.53564985795274,-44.3053156280713,5.1053156280712955,False
demand_plus_20pct,rmg_receive_events,rules_only,10,-2.9,18.91765783012733,-16.432877173571605,10.632877173571604,False
demand_plus_20pct,rmg_receive_events,rules_workload,10,-3.9,24.812407290618854,-21.649726909101066,13.849726909101067,False
demand_plus_20pct,zero_inter_arrival_share,rules_only,10,0.05794533564361966,0.0008134239778405249,0.05736344718358931,0.05852722410365001,True
demand_plus_20pct,zero_inter_arrival_share,rules_workload,10,0.05794533564361966,0.0008134239778405249,0.05736344718358931,0.05852722410365001,True
t22_closed,arrival_rate_per_elapsed_hour,rules_only,10,0.0,0.0,0.0,0.0,False
t22_closed,arrival_rate_per_elapsed_hour,rules_workload,10,0.0,0.0,0.0,0.0,False
t22_closed,mean_inter_arrival_min,rules_only,10,0.0,0.0,0.0,0.0,False
t22_closed,mean_inter_arrival_min,rules_workload,10,0.0,0.0,0.0,0.0,False
t22_closed,mean_rmg_delivery_pre_service_min,rules_only,10,0.14594910533281516,0.18193646093023008,0.015799601558513066,0.27609860910711725,True
t22_closed,mean_rmg_delivery_pre_service_min,rules_workload,10,0.0936178883693804,0.09276433311140596,0.02725828205037295,0.15997749468838784,True
t22_closed,mean_rmg_delivery_service_min,rules_only,10,0.006013646506068877,0.1840608060876049,-0.12565552224722665,0.13768281525936438,False
t22_closed,mean_rmg_delivery_service_min,rules_workload,10,0.035849553177347275,0.15274994306572165,-0.07342117348134256,0.1451202798360371,False
t22_closed,mean_rmg_pre_service_min,rules_only,10,0.11846879496902822,0.11298415074650568,0.03764480246728476,0.19929278747077167,True
t22_closed,mean_rmg_pre_service_min,rules_workload,10,0.06515325926759546,0.0648363846058112,0.018772103781658334,0.1115344147535326,True
t22_closed,mean_rmg_receive_pre_service_min,rules_only,10,0.10543991859455823,0.17384848440304515,-0.018923795315693506,0.22980363250480995,False
t22_closed,mean_rmg_receive_pre_service_min,rules_workload,10,0.06371338013951726,0.09314137534782731,-0.0029159459471568144,0.13034270622619132,False
t22_closed,mean_rmg_receive_service_min,rules_only,10,0.04245176215995484,0.12811828128026262,-0.049198535134973166,0.13410205945488285,False
t22_closed,mean_rmg_receive_service_min,rules_workload,10,-0.06484906436812157,0.15073255656478118,-0.17267663966135166,0.0429785109251085,False
t22_closed,mean_rmg_service_min,rules_only,10,0.00966320802755086,0.0883626098345579,-0.05354759514719151,0.07287401120229323,False
t22_closed,mean_rmg_service_min,rules_workload,10,-0.019029542112309967,0.11405043954538709,-0.1006163116700924,0.06255722744547247,False
t22_closed,mean_turnaround_min,rules_only,10,0.025290632684998808,0.1519852986270235,-0.08343310029385623,0.13401436566385386,False
t22_closed,mean_turnaround_min,rules_workload,10,0.09180639391907126,0.1507913195712616,-0.016063217896660154,0.19967600573480268,False
t22_closed,median_rmg_delivery_pre_service_min,rules_only,10,0.4,0.6992058987801011,-0.10018176838777082,0.9001817683877709,False
t22_closed,median_rmg_delivery_pre_service_min,rules_workload,10,0.1,0.31622776601683794,-0.12621571627982048,0.3262157162798205,False
t22_closed,median_rmg_delivery_service_min,rules_only,10,-0.5,0.5270462766947299,-0.8770261937997008,-0.12297380620029924,True
t22_closed,median_rmg_delivery_service_min,rules_workload,10,0.55,0.6851601597031488,0.05986594806038903,1.040134051939611,True
t22_closed,median_rmg_pre_service_min,rules_only,10,0.45,0.4972144630058767,0.09431420014025055,0.8056857998597495,True
t22_closed,median_rmg_pre_service_min,rules_workload,10,0.1,0.31622776601683794,-0.12621571627982048,0.3262157162798205,False
t22_closed,median_rmg_receive_pre_service_min,rules_only,10,0.5,0.7071067811865476,-0.005833719180484476,1.0058337191804845,False
