scenario,metric,n,mean_delta,std_delta,ci95_delta_lo,ci95_delta_hi,mean_delta_pct,std_delta_pct,ci95_delta_pct_lo,ci95_delta_pct_hi,ci_excludes_zero
t22_closed,mean_turnaround_min,10,0.07163536776212923,0.22824398439127927,-0.091640542718433,0.23491127824269145,0.22856779499717708,0.7231003983473852,-0.28870706867076346,0.7458426586651176,False
t22_closed,median_turnaround_min,10,0.1,0.31622776601683794,-0.12621571627982048,0.3262157162798205,0.37037037037037035,1.1712139482105108,-0.46746561585118696,1.2082063565919277,False
t22_closed,p90_turnaround_min,10,0.2,0.6324555320336759,-0.25243143255964096,0.652431432559641,0.38085255066387147,1.1859747939941991,-0.4675427085270152,1.2292478098547581,False
t22_closed,mean_rmg_service_min,10,-0.001155198036223304,0.08553722049441231,-0.062344839434436625,0.060034443361990014,-0.008629414055313775,0.786611387446564,-0.5713373023803795,0.5540784742697519,False
t22_closed,median_rmg_service_min,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
t22_closed,p90_rmg_service_min,10,0.2,0.6324555320336759,-0.25243143255964096,0.652431432559641,0.9740259740259738,2.9665000314320022,-1.1480803100211028,3.0961322580730504,False
t22_closed,mean_rmg_pre_service_min,10,0.08081928132620594,0.12825802352185772,-0.010930981546302926,0.1725695441987148,1.0207342133896702,1.6208763536527198,-0.1387708799203522,2.1802393066996926,False
t22_closed,median_rmg_pre_service_min,10,0.1,0.31622776601683794,-0.12621571627982048,0.3262157162798205,2.0,6.324555320336759,-2.52431432559641,6.52431432559641,False
t22_closed,p90_rmg_pre_service_min,10,0.3,0.6749485577105528,-0.18282911193318363,0.7828291119331836,1.6959064327485378,3.687767088060031,-0.9421632213065338,4.3339760868036095,False
t22_closed,rmg_events,10,5.0,42.38710495736488,-25.321908255354362,35.32190825535436,0.0354043105210304,0.2940562956967186,-0.17495089134976907,0.2457595123918299,False
t22_closed,rmg_receive_events,10,9.9,15.807522822307668,-1.408020617226681,21.20802061722668,0.12306004303604912,0.19673610348835607,-0.017676487248105777,0.263796573320204,False
t22_closed,mean_rmg_receive_service_min,10,-0.0019401462757087985,0.1414139127597253,-0.10310156536871139,0.0992212728172938,-0.014194231108972522,1.2505602274336522,-0.9087911261358806,0.8804026639179355,False
t22_closed,median_rmg_receive_service_min,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
t22_closed,p90_rmg_receive_service_min,10,-0.1,0.31622776601683794,-0.3262157162798205,0.12621571627982048,-0.4545454545454546,1.4373989364401727,-1.4827987103628206,0.5737078012719115,False
t22_closed,mean_rmg_receive_pre_service_min,10,0.09405322942821917,0.13573586600752433,-0.0030463597081721583,0.1911528185646105,1.1737668139185398,1.6955632946031831,-0.03916609838621987,2.3866997262232994,False
t22_closed,median_rmg_receive_pre_service_min,10,0.4,0.5163977794943223,0.03059128221082008,0.76940871778918,8.0,10.327955589886445,0.6118256442164025,15.388174355783597,True
t22_closed,p90_rmg_receive_pre_service_min,10,0.0,0.4714045207910317,-0.3372224794536563,0.3372224794536563,0.029239766081871288,2.5507401739841393,-1.7954498327144974,1.85392936487824,False
t22_closed,rmg_delivery_events,10,-5.8,38.87529921285352,-33.60971376359071,22.00971376359071,-0.10545796036208914,0.720444656131733,-0.6208330204955851,0.40991709977140683,False
t22_closed,mean_rmg_delivery_service_min,10,0.02850859232864167,0.08762886392569658,-0.03417732064296902,0.09119450530025236,0.32623113391000697,0.998053366444364,-0.3877332343032393,1.0401955021232532,False
t22_closed,median_rmg_delivery_service_min,10,0.3,0.6749485577105528,-0.18282911193318363,0.7828291119331836,5.238095238095238,10.753895038701158,-2.4547778439233037,12.93096832011378,False
t22_closed,p90_rmg_delivery_service_min,10,0.05999999999994543,0.5891613625409994,-0.3614606494248449,0.48146064942473576,0.3910299752081679,3.39646907063067,-2.0386576303832467,2.820717580799583,False
t22_closed,mean_rmg_delivery_pre_service_min,10,0.07416502443931963,0.2309235661714604,-0.0910277433728083,0.23935779225144757,0.9613730894404149,2.9763013977704187,-1.1677446697047962,3.0904908485856257,False
t22_closed,median_rmg_delivery_pre_service_min,10,0.0,0.4714045207910317,-0.3372224794536563,0.3372224794536563,0.3333333333333332,8.670939117834076,-5.869482845860456,6.536149512527122,False
