seed,sim_events,sim_cases,mean_service_time_emd_min,mean_service_time_emd_min_raw,yard_service_time_emd_unweighted_min,yard_service_time_emd_frequency_weighted_min,yard_service_time_emd_unweighted_min_raw,yard_service_time_emd_frequency_weighted_min_raw,mean_waiting_time_emd_min,case_turnaround_emd_min,case_turnaround_emd_min_raw,case_turnaround_ks,case_turnaround_sim_mean,case_turnaround_sim_p90,inter_arrival_emd_min,inter_arrival_ks,sim_zero_inter_arrival_share,sim_service_events_above_24h,sim_turnaround_cases_above_24h,yard_activity_rate_l1_error,yard_activity_rate_max_abs_error,gate_only_cases,wrong_case_boundary_cases,within_case_overlap_cases,decreasing_completion_cases,gate_out_before_final_yard_cases,yard_service_emd__HO2_delivery,yard_service_emd_raw__HO2_delivery,yard_service_emd__HO2_mixed,yard_service_emd_raw__HO2_mixed,yard_service_emd__HO2_receive,yard_service_emd_raw__HO2_receive,yard_service_emd__LL_delivery,yard_service_emd_raw__LL_delivery,yard_service_emd__LL_mixed,yard_service_emd_raw__LL_mixed,yard_service_emd__LL_receive,yard_service_emd_raw__LL_receive,yard_service_emd__RMG_delivery,yard_service_emd_raw__RMG_delivery,yard_service_emd__RMG_mixed,yard_service_emd_raw__RMG_mixed,yard_service_emd__RMG_receive,yard_service_emd_raw__RMG_receive
42,55404,17892,2.5182978184705185,2.5182978184705185,3.0779195559084114,2.2794592601369064,3.0779195559084114,2.2794592601369064,,7.82841493404876,7.82841493404876,0.1261,32.2887323943662,55.0,0.06265720194510593,0.0232,0.5416131015594433,0,0,0.17806841046277663,0.06343617259110215,0,0,0,0,0,1.9234499291707574,1.9234499291707574,5.891821946169772,5.891821946169772,1.8876411474006785,1.8876411474006785,1.229337493852614,1.229337493852614,3.8671328671328675,3.8671328671328675,3.977102330293819,3.977102330293819,2.357727310599519,2.357727310599519,4.081560073200741,4.081560073200741,2.485502905354933,2.485502905354933
43,55223,17892,2.5642999366659534,2.5642999366659534,3.134144367036165,2.4420234443536706,3.134144367036165,2.4420234443536706,,8.117650346523584,8.117650346523584,0.1268999999999999,31.749441090990388,53.0,0.0832262031188804,0.022400000000000087,0.5384830361634342,0,0,0.1670579029733959,0.06460988151128996,0,0,0,0,0,1.8468145122069886,1.8468145122069886,2.7206146926536734,2.7206146926536734,2.244269871602183,2.244269871602183,1.5351884857686477,1.5351884857686477,5.609090909090909,5.609090909090909,4.614434710054235,4.614434710054235,2.5297221481044483,2.5297221481044483,4.43218249601174,4.43218249601174,2.6749814778326604,2.6749814778326604
44,55184,17892,2.384214089567509,2.384214089567509,2.914039442804733,2.442285017016485,2.914039442804733,2.442285017016485,,8.018835233623987,8.018835233623987,0.1341,31.8546277665996,55.0,0.05913587837459566,0.021700000000000053,0.547593762226818,0,0,0.1702436843281913,0.06729264475743349,0,0,0,0,0,2.2499605814784567,2.2499605814784567,3.8061912026442903,3.8061912026442903,1.5540370058872999,1.5540370058872999,1.589351869026404,1.589351869026404,2.684848484848484,2.684848484848484,5.098161449157519,5.098161449157519,2.7917632775985948,2.7917632775985948,3.9108975998614333,3.9108975998614333,2.5411435147401167,2.5411435147401167
45,55229,17892,2.433884949622078,2.433884949622078,2.9747482717603173,2.252367192222435,2.9747482717603173,2.252367192222435,,7.59646769505924,7.59646769505924,0.12029999999999996,32.30337581041806,55.0,0.07160024593370384,0.025800000000000045,0.5407746911855122,0,0,0.15152023250614788,0.06147999105745583,0,0,0,0,0,1.8993840113405374,1.8993840113405374,4.0570543041732146,4.0570543041732146,2.296009354630044,2.296009354630044,1.303766886158739,1.303766886158739,4.7272727272727275,4.7272727272727275,3.8389311620543154,3.8389311620543154,2.4004060961858786,2.4004060961858786,3.8716701428022406,3.8716701428022406,2.378239761225156,2.378239761225156
46,55251,17892,2.3683379843138486,2.3683379843138486,2.8946353141613703,2.331103241809802,2.8946353141613703,2.331103241809802,,7.6396713615023515,7.6396713615023515,0.12070000000000003,32.16392801251956,55.0,0.07389190095578191,0.028299999999999992,0.5428427701078755,0,0,0.16918175720992615,0.060362173038229355,0,0,0,0,0,1.82816418287792,1.82816418287792,3.2281691432764634,3.2281691432764634,1.8312534998246812,1.8312534998246812,1.4421744704374104,1.4421744704374104,4.554545454545455,4.554545454545455,4.051829971846587,4.051829971846587,2.748931284903392,2.748931284903392,3.957088364539451,3.957088364539451,2.409561455200975,2.409561455200975
47,55325,17892,2.6430539333713625,2.6430539333713625,3.2303992518983318,2.3887836338307884,3.2303992518983318,2.3887836338307884,,7.949754080035765,7.949754080035765,0.13329999999999997,31.988095238095237,54.0,0.07534514560392891,0.03249999999999997,0.5412777374098708,0,0,0.16504583053878827,0.06282137268052759,0,0,0,0,0,2.26728528017098,2.26728528017098,5.708786231884058,5.708786231884058,2.077024309457621,2.077024309457621,1.536098355234431,1.536098355234431,5.1818181818181825,5.1818181818181825,3.6904740884611993,3.6904740884611993,2.496558689955884,2.496558689955884,3.606356310441436,3.606356310441436,2.5091918196611984,2.5091918196611984
48,55371,17892,2.6958044266406698,2.6958044266406698,3.2948720770052633,2.3338445270853776,3.2948720770052633,2.3338445270853776,,7.744802146210603,7.744802146210603,0.11860000000000004,32.323720098367986,54.0,0.07299759655692184,0.03420000000000001,0.53999217483651,0,0,0.1584507042253521,0.05969148222669349,0,0,0,0,0,1.8387692677771863,1.8387692677771863,3.203597762522246,3.203597762522246,2.0480655160760275,2.0480655160760275,1.2138965304197962,1.2138965304197962,6.7272727272727275,6.7272727272727275,5.008510638297873,5.008510638297873,2.5790200848130422,2.5790200848130422,4.529588465304987,4.529588465304987,2.505127700563482,2.505127700563482
49,55218,17892,2.4590412761615306,2.4590412761615306,3.0054948930863157,2.4014374880380767,3.0054948930863157,2.4014374880380767,,7.8863179074446705,7.8863179074446705,0.12829999999999997,31.9881511289962,54.0,0.07400368900563925,0.027800000000000047,0.5410541613101559,0,0,0.16543706684551746,0.06270959087860495,0,0,0,0,0,1.8792354296473488,1.8792354296473488,4.64081306804225,4.64081306804225,1.8543802423112754,1.8543802423112754,1.8821205138835733,1.8821205138835733,3.053475935828877,3.053475935828877,4.579020719130355,4.579020719130355,2.5655252208467143,2.5655252208467143,4.205435274411082,4.205435274411082,2.389447633675364,2.389447633675364
50,55335,17892,2.4003302676794447,2.4003302676794447,2.933736993830432,2.3647755178854504,2.933736993830432,2.3647755178854504,,7.789514866979657,7.789514866979657,0.11870000000000003,32.20824949698189,54.0,0.07232686825777701,0.018100000000000005,0.5441283326812364,0,0,0.15878604963111997,0.0635479543930248,0,0,0,0,0,2.082469007032885,2.082469007032885,5.2260210803689064,5.2260210803689064,1.7174291914430828,1.7174291914430828,1.3911445058731597,1.3911445058731597,2.1608391608391613,2.1608391608391613,4.343956346294939,4.343956346294939,2.5612370971120515,2.5612370971120515,4.445837875283978,4.445837875283978,2.474698680225726,2.474698680225726
51,55404,17892,2.555829526530468,2.555829526530468,3.123791643537239,2.327146569698359,3.123791643537239,2.327146569698359,,7.706684551754984,7.706684551754984,0.12419999999999998,32.31254191817572,55.0,0.07892236319936785,0.019600000000000062,0.5442960147560226,0,0,0.16666666666666663,0.05969148222669346,0,0,0,0,0,1.9620088955691668,1.9620088955691668,3.614661980387052,3.614661980387052,1.9819798583170833,1.9819798583170833,1.4005368149617996,1.4005368149617996,5.75598086124402,5.75598086124402,4.201224020372957,4.201224020372957,2.6669922483680475,2.6669922483680475,4.15766183372713,4.15766183372713,2.3730782788878932,2.3730782788878932
