metric,n,mean,std,ci95_lo,ci95_hi,half_width
mean_service_time_emd_min,10,2.502309420902338,0.11208173161667115,2.4221309801572017,2.5824878616474747,0.08017844074513647
mean_service_time_emd_min_raw,10,2.502309420902338,0.11208173161667115,2.4221309801572017,2.5824878616474747,0.08017844074513647
yard_service_time_emd_unweighted_min,10,3.058378181102858,0.1369887830870426,2.9603823090810244,3.1563740531246913,0.09799587202183346
yard_service_time_emd_frequency_weighted_min,10,2.3563225892077355,0.06377209061949443,2.310702783774893,2.401942394640578,0.0456198054328425
yard_service_time_emd_unweighted_min_raw,10,3.058378181102858,0.1369887830870426,2.9603823090810244,3.1563740531246913,0.09799587202183346
yard_service_time_emd_frequency_weighted_min_raw,10,2.3563225892077355,0.06377209061949443,2.310702783774893,2.401942394640578,0.0456198054328425
mean_waiting_time_emd_min,0,,,,,
case_turnaround_emd_min,10,7.827811312318362,0.16691167682296704,7.708409891615909,7.947212733020815,0.11940142070245319
case_turnaround_emd_min_raw,10,7.827811312318362,0.16691167682296704,7.708409891615909,7.947212733020815,0.11940142070245319
case_turnaround_ks,10,0.12511999999999998,0.0056679998431741355,0.12106535716914472,0.12917464283085525,0.004054642830855264
case_turnaround_sim_mean,10,32.11808629555109,0.20893165207460537,31.968625595363658,32.26754699573851,0.14946070018742752
case_turnaround_sim_p90,10,54.4,0.6992058987801011,53.89981823161223,54.90018176838777,0.500181768387769
inter_arrival_emd_min,10,0.07241070929517027,0.0070323011185512594,0.06738010412514939,0.07744131446519115,0.00503060517002088
inter_arrival_ks,10,0.02536000000000003,0.005339829377215867,0.021540116178303623,0.029179883821696433,0.003819883821696405
sim_zero_inter_arrival_share,10,0.5422055782236879,0.0026001504164092394,0.5403455426667471,0.5440656137806287,0.001860035556940809
sim_service_events_above_24h,10,0.0,0.0,0.0,0.0,0.0
sim_turnaround_cases_above_24h,10,0.0,0.0,0.0,0.0,0.0
yard_activity_rate_l1_error,10,0.16504583053878824,0.0073496947982567805,0.1597881756080786,0.1703034854694979,0.005257654930709649
yard_activity_rate_max_abs_error,10,0.0625642745361055,0.0023778569809435506,0.06086325812337697,0.06426529094883401,0.0017010164127285211
gate_only_cases,10,0.0,0.0,0.0,0.0,0.0
wrong_case_boundary_cases,10,0.0,0.0,0.0,0.0,0.0
within_case_overlap_cases,10,0.0,0.0,0.0,0.0,0.0
decreasing_completion_cases,10,0.0,0.0,0.0,0.0,0.0
gate_out_before_final_yard_cases,10,0.0,0.0,0.0,0.0,0.0
yard_service_emd__HO2_delivery,10,1.9777541097272227,0.16558772122538806,1.8592997898046961,2.0962084296497494,0.11845431992252664
yard_service_emd__HO2_mixed,10,4.209773141212193,1.1069864309641468,3.4178827530061726,5.001663529418214,0.7918903882060206
yard_service_emd__HO2_receive,10,1.9492089996949975,0.2287876442723488,1.7855441783640131,2.112873821025982,0.16366482133098437
yard_service_emd__LL_delivery,10,1.4523615925616578,0.19792087193686814,1.3107775299858837,1.5939456551374318,0.14158406257577405
yard_service_emd__LL_mixed,10,4.432227730989341,1.4720087872762033,3.379216079361806,5.485239382616877,1.0530116516275354
yard_service_emd__LL_receive,10,4.34036454359638,0.47855386797261756,3.998027729263194,4.682701357929565,0.3423368143331855
yard_service_emd__RMG_delivery,10,2.569788345848757,0.13808946237583045,2.4710050952964306,2.6685715964010837,0.09878325055232651
yard_service_emd__RMG_mixed,10,4.119827843558422,0.29389103170227365,3.909590864427357,4.330064822689487,0.2102369791310652
yard_service_emd__RMG_receive,10,2.4740973227367506,0.09303437836195608,2.4075445376828375,2.540650107790664,0.06655278505391315
yard_service_emd_raw__HO2_delivery,10,1.9777541097272227,0.16558772122538806,1.8592997898046961,2.0962084296497494,0.11845431992252664
yard_service_emd_raw__HO2_mixed,10,4.209773141212193,1.1069864309641468,3.4178827530061726,5.001663529418214,0.7918903882060206
yard_service_emd_raw__HO2_receive,10,1.9492089996949975,0.2287876442723488,1.7855441783640131,2.112873821025982,0.16366482133098437
yard_service_emd_raw__LL_delivery,10,1.4523615925616578,0.19792087193686814,1.3107775299858837,1.5939456551374318,0.14158406257577405
yard_service_emd_raw__LL_mixed,10,4.432227730989341,1.4720087872762033,3.379216079361806,5.485239382616877,1.0530116516275354
yard_service_emd_raw__LL_receive,10,4.34036454359638,0.47855386797261756,3.998027729263194,4.682701357929565,0.3423368143331855
yard_service_emd_raw__RMG_delivery,10,2.569788345848757,0.13808946237583045,2.4710050952964306,2.6685715964010837,0.09878325055232651
yard_service_emd_raw__RMG_mixed,10,4.119827843558422,0.29389103170227365,3.909590864427357,4.330064822689487,0.2102369791310652
yard_service_emd_raw__RMG_receive,10,2.4740973227367506,0.09303437836195608,2.4075445376828375,2.540650107790664,0.06655278505391315
