demand_multiplier,metric,n,mean_delta,std_delta,ci95_delta_lo,ci95_delta_hi,ci_excludes_zero
1.2,mean_turnaround_min,10,-0.41979999999999895,0.4310633621896234,-0.7281641530532799,-0.11143584694671799,True
1.2,median_turnaround_min,10,-0.15,0.5797509043642028,-0.5647288131796708,0.2647288131796709,False
1.2,p90_turnaround_min,10,-0.3300000000000409,1.0614978934401083,-1.089349848745735,0.4293498487456532,False
1.2,mean_rmg_service_min,10,0.09045555513284124,0.28818986252202294,-0.11570305325302431,0.2966141635187068,False
1.2,median_rmg_service_min,10,0.05,0.49721446300587663,-0.3056857998597494,0.4056857998597494,False
1.2,p90_rmg_service_min,10,0.2599999999999909,1.1393955512561103,-0.55507447622332,1.0750744762233018,False
1.2,mean_rmg_pre_service_min,10,-0.15301270653161234,0.362227994604668,-0.4121350040079662,0.10610959094474157,False
1.2,median_rmg_pre_service_min,10,0.2,0.7888106377466155,-0.3642811372151657,0.7642811372151657,False
1.2,p90_rmg_pre_service_min,10,-0.4700000000000045,0.8485936077482074,-1.077047297665246,0.13704729766523693,False
1.2,rmg_events,10,-3.0,6.091888960832355,-7.357874838537881,1.3578748385378807,False
1.2,rmg_receive_events,10,-3.7,5.518655230720212,-7.647808130966835,0.24780813096683474,False
1.2,mean_rmg_receive_service_min,10,0.10266708997638237,0.4146688591568386,-0.19396914211243904,0.39930332206520375,False
1.2,median_rmg_receive_service_min,10,0.1,0.5676462121975466,-0.3060696380436043,0.5060696380436043,False
1.2,p90_rmg_receive_service_min,10,0.42000000000000454,1.1717034133640114,-0.4181861284993414,1.2581861284993505,False
1.2,mean_rmg_receive_pre_service_min,10,-0.10100612693017678,0.4636022589789488,-0.4326472045143684,0.2306349506540148,False
1.2,median_rmg_receive_pre_service_min,10,0.0,0.4714045207910317,-0.3372224794536563,0.3372224794536563,False
1.2,p90_rmg_receive_pre_service_min,10,-0.15,1.0617072205755342,-0.9094995923576282,0.6094995923576282,False
1.2,rmg_delivery_events,10,0.6,4.550946177566937,-2.655550776823307,3.855550776823307,False
1.2,mean_rmg_delivery_service_min,10,-0.04208863122853472,0.46291967788077404,-0.373241419710262,0.2890641572531925,False
1.2,median_rmg_delivery_service_min,10,-0.1,0.5676462121975466,-0.5060696380436043,0.3060696380436043,False
1.2,p90_rmg_delivery_service_min,10,-0.18000000000000113,1.663196387148019,-1.3697790215317958,1.0097790215317937,False
1.2,mean_rmg_delivery_pre_service_min,10,-0.2657652982215767,0.3282020409662695,-0.5005468947804645,-0.030983701662688823,True
1.2,median_rmg_delivery_pre_service_min,10,0.05,0.7619419633774974,-0.49506044545094,0.5950604454509401,False
1.2,p90_rmg_delivery_pre_service_min,10,-0.5700000000000103,1.5804710971380982,-1.700600914024782,0.5606009140247614,False
1.2,mean_inter_arrival_min,10,-0.11225612806403204,0.004764501293444567,-0.11566444696780377,-0.10884780916026031,True
1.2,zero_inter_arrival_share,10,0.05652826413206604,0.003889245886173263,0.053746065228373996,0.059310463035758085,True
1.2,arrival_rate_per_elapsed_hour,10,17.30180111349627,0.67144746327562,16.821476533645573,17.78212569334697,True
1.5,mean_turnaround_min,10,-0.16994999999999932,0.7299128734155718,-0.6920982147547201,0.3521982147547215,False
1.5,median_turnaround_min,10,0.0,0.6666666666666666,-0.4769046039804431,0.4769046039804431,False
1.5,p90_turnaround_min,10,0.07999999999997272,1.4358891941155236,-0.9471732512192192,1.1071732512191648,False
1.5,mean_rmg_service_min,10,0.14014378850358772,0.27721117811512014,-0.05816114217332746,0.3384487191805029,False
