demand_multiplier,metric,n,calendar_preserving_mean,compression_mean,mean_difference_clean_minus_compression,std_difference,ci95_lo,ci95_hi
1.0,mean_turnaround_min,10,32.1951,32.1951,0.0,0.0,0.0,0.0
1.0,p90_turnaround_min,10,53.93000000000004,53.93000000000004,0.0,0.0,0.0,0.0
1.0,mean_rmg_service_min,10,10.956336580200292,10.956336580200292,0.0,0.0,0.0,0.0
1.0,mean_rmg_pre_service_min,10,8.212835438202934,8.212835438202934,0.0,0.0,0.0,0.0
1.0,arrival_rate_per_elapsed_hour,10,87.97997069833838,87.97997069833838,0.0,0.0,0.0,0.0
1.0,arrival_span_min,10,1365.3,1365.3,0.0,0.0,0.0,0.0
1.2,mean_turnaround_min,10,32.18383333333334,31.775299999999998,0.4085333333333317,0.37354495944717964,0.14131536690225988,0.6757512997644035
1.2,p90_turnaround_min,10,54.209999999999994,53.6,0.6099999999999909,1.1685223337379798,-0.22591052122043076,1.4459105212204126
1.2,mean_rmg_service_min,10,11.024558571305501,11.046792135333131,-0.02223356402763361,0.3582174014887181,-0.27848685602145434,0.23401972796618714
1.2,mean_rmg_pre_service_min,10,8.227584741911427,8.05982273167132,0.16776201024010823,0.2506043144870277,-0.011509516794231317,0.34703353727444775
1.2,arrival_rate_per_elapsed_hour,10,105.64851041010391,105.28177181183464,0.36673859826924515,3.5455884192401603,-2.169622563163816,2.903099759702306
1.2,arrival_span_min,10,1364.3,1140.9,223.4,42.983717847575726,192.65130059344222,254.1486994065578
1.5,mean_turnaround_min,10,32.099000000000004,32.02515,0.0738500000000002,0.5194287843747561,-0.2977269680624289,0.44542696806242926
1.5,p90_turnaround_min,10,54.5,54.01000000000001,0.48999999999998634,1.0857153299911517,-0.286673959227403,1.2666739592273757
1.5,mean_rmg_service_min,10,11.094702976617722,11.096480368703881,-0.0017773920861568371,0.2515389588545006,-0.18171752342339476,0.17816273925108106
1.5,mean_rmg_pre_service_min,10,8.083538807089688,8.098184082251462,-0.014645275161772631,0.24997557335707307,-0.1934670278867313,0.16417647756318604
1.5,arrival_rate_per_elapsed_hour,10,131.24732070200275,131.11509062709618,0.13223007490661304,4.007081915667443,-2.7342636462562524,2.998723796069479
1.5,arrival_span_min,10,1372.5,916.1,456.4,34.7761092961501,431.52267005220835,481.2773299477916
2.0,mean_turnaround_min,10,32.109500000000004,32.07175,0.037750000000000485,0.4571578258958017,-0.28928100787309596,0.364781007873097
2.0,p90_turnaround_min,10,54.1,53.8,0.3,1.567021236472421,-0.8209794633132363,1.4209794633132364
2.0,mean_rmg_service_min,10,11.032032680164713,10.952562185663812,0.07947049450089967,0.25172372815178296,-0.10060181282916046,0.2595428018309598
2.0,mean_rmg_pre_service_min,10,8.194310788330114,8.102359225160482,0.0919515631696303,0.19253821507522872,-0.0457819786476997,0.2296851049869603
2.0,arrival_rate_per_elapsed_hour,10,172.72783139250515,173.6958543266403,-0.9680229341351634,8.045126601214532,-6.72315980772228,4.787113939451953
2.0,arrival_span_min,10,1390.0,691.5,698.5,44.59509190731893,666.5985930317029,730.4014069682971
2.4,mean_turnaround_min,10,32.01116666666667,31.948949999999996,0.06221666666666685,0.45948714483153047,-0.2664806355933114,0.39091396892664515
2.4,p90_turnaround_min,10,54.1,53.72000000000003,0.3799999999999727,1.246149625401712,-0.5114417404038987,1.271441740403844
2.4,mean_rmg_service_min,10,10.995072169919712,10.994679196742517,0.0003929731771970424,0.3709158412652421,-0.2649442354058127,0.2657301817602068
2.4,mean_rmg_pre_service_min,10,8.20260351076298,8.135685835164027,0.06691767559895387,0.16228349067494433,-0.04917294018039352,0.18300829137830127
2.4,arrival_rate_per_elapsed_hour,10,205.03400916916559,207.26704520636758,-2.2330360372020466,8.013390391066274,-7.965470193690271,3.499398119286177
2.4,arrival_span_min,10,1405.0,579.5,825.5,32.626676202150904,802.1602818599226,848.8397181400774
3.0,mean_turnaround_min,10,32.12561666666667,32.265350000000005,-0.1397333333333332,0.6220897190265396,-0.5847495099723187,0.30528284330565225
3.0,p90_turnaround_min,10,54.3,54.710000000000015,-0.41000000000001363,1.644147871154603,-1.5861525340674254,0.766152534067398
3.0,mean_rmg_service_min,10,11.089015145257704,11.11179158600603,-0.022776440748325653,0.3331120081881585,-0.2610704162674814,0.2155175347708301
3.0,mean_rmg_pre_service_min,10,8.128929153017841,8.252478074259624,-0.12354892124178285,0.20818182414269804,-0.2724732268398323,0.025375384356266628
3.0,arrival_rate_per_elapsed_hour,10,252.91597768331104,257.08545461325247,-4.169476929941473,10.457552033235526,-11.650358996464071,3.3114051365811266
3.0,arrival_span_min,10,1423.5,467.2,956.3,27.39038760830765,936.7060970671838,975.8939029328161
