seed,scenario,sim_cases,sim_events,rmg_events,mean_turnaround_min,median_turnaround_min,p90_turnaround_min,max_turnaround_min,mean_rmg_service_min,median_rmg_service_min,p90_rmg_service_min,mean_rmg_pre_service_min,median_rmg_pre_service_min,p90_rmg_pre_service_min,rmg_receive_events,mean_rmg_receive_service_min,median_rmg_receive_service_min,p90_rmg_receive_service_min,mean_rmg_receive_pre_service_min,median_rmg_receive_pre_service_min,p90_rmg_receive_pre_service_min,rmg_delivery_events,mean_rmg_delivery_service_min,median_rmg_delivery_service_min,p90_rmg_delivery_service_min,mean_rmg_delivery_pre_service_min,median_rmg_delivery_pre_service_min,p90_rmg_delivery_pre_service_min,mean_inter_arrival_min,zero_inter_arrival_share,arrival_span_min,arrival_rate_per_elapsed_hour,service_events_above_24h,turnaround_cases_above_24h,gate_arrivals,closed_period_gate_arrivals,sunday_gate_arrivals,night_gate_arrivals,arrival_calendar_compliance,demand_multiplier,nominal_cases,experiment
44,calendar_demand_x1.20,2400,7402,1833,32.125,28.0,55.0,476.0,11.099836333878889,9.0,23.0,8.068739770867431,5.0,18.0,1092,11.371794871794872,9.0,23.0,8.05952380952381,6.0,18.0,608,9.049342105263158,7.0,18.0,8.070723684210526,5.0,18.0,0.5514797832430179,0.5956648603584827,1323.0,108.79818594104307,0,0,2400,0,0,547,True,1.2,2400,calendar_preserving
44,calendar_demand_x1.50,3000,9272,2290,32.022333333333336,28.0,54.0,628.0,11.242794759825328,9.0,22.0,8.28646288209607,5.0,20.0,1364,11.463343108504398,9.0,22.0,8.527126099706745,5.0,20.0,753,9.217795484727755,7.0,18.0,7.892430278884462,5.0,19.0,0.4311437145715238,0.6695565188396132,1293.0,139.1647331786543,0,0,3000,0,0,678,True,1.5,3000,calendar_preserving
44,calendar_demand_x2.00,4000,12319,3062,32.04125,28.0,54.0,462.0,11.001632919660352,8.0,22.0,8.139451338994121,6.0,19.0,1816,11.343612334801762,9.0,22.0,8.269823788546255,6.0,19.0,1005,8.94228855721393,7.0,17.600000000000023,8.192039800995024,6.0,19.0,0.3335833958489622,0.7236809202300575,1334.0,179.86506746626688,0,0,4000,0,0,976,True,2.0,4000,calendar_preserving
44,calendar_demand_x2.40,4800,14717,3646,31.577291666666667,28.0,53.0,208.0,11.15112452002194,8.0,22.0,8.230663741086122,6.0,19.0,2149,11.315495579339228,9.0,22.0,8.284783620288506,6.0,19.0,1213,8.873866446826051,7.0,17.0,8.0840890354493,6.0,18.799999999999955,0.2879766618045426,0.7572410918941446,1382.0,208.35021707670043,0,0,4800,0,0,1009,True,2.4,4800,calendar_preserving
44,calendar_demand_x3.00,6000,18434,4604,32.272666666666666,28.0,55.0,246.0,11.412250217202432,8.0,23.0,8.315377932232842,6.0,19.699999999999815,2756,11.63679245283019,9.0,23.0,8.333817126269956,6.0,19.0,1491,9.04896042924212,7.0,18.0,8.310529845741113,5.0,20.0,0.2405400900150025,0.7871311885314219,1443.0,249.43866943866945,0,0,6000,0,0,1268,True,3.0,6000,calendar_preserving
45,calendar_demand_x1.00,2000,6194,1497,32.058,28.0,53.100000000000136,330.0,10.852371409485638,8.0,21.40000000000009,8.04742818971276,5.0,19.0,901,11.27968923418424,9.0,21.0,7.924528301886792,5.0,19.0,487,8.447638603696099,6.0,16.400000000000034,8.252566735112936,6.0,19.400000000000038,0.6878439219609805,0.5407703851925963,1375.0,87.22909090909091,0,0,2000,0,0,425,True,1.0,2000,calendar_preserving
45,calendar_demand_x1.20,2400,7430,1808,32.276666666666664,28.0,55.0,341.0,11.130530973451329,8.0,23.0,8.146570796460177,5.0,19.0,1068,11.375468164794007,9.0,23.0,8.29868913857678,5.0,19.0,612,8.588235294117647,6.0,17.0,7.939542483660131,5.0,18.0,0.5652355147978324,0.5977490621092122,1356.0,106.15044247787613,0,0,2400,0,0,543,True,1.2,2400,calendar_preserving
45,calendar_demand_x1.50,3000,9278,2265,32.30266666666667,28.0,56.0,335.0,11.253863134657836,9.0,22.0,8.141721854304636,6.0,19.0,1350,11.56074074074074,9.0,22.0,8.125185185185185,6.0,19.0,752,8.644946808510639,7.0,17.0,8.253989361702128,5.0,20.0,0.4618206068689563,0.6535511837279093,1385.0,129.92057761732852,0,0,3000,0,0,667,True,1.5,3000,calendar_preserving
45,calendar_demand_x2.00,4000,12377,3009,32.31075,28.0,55.0,1132.0,11.015619807244931,8.0,23.0,8.140910601528747,5.0,19.0,1774,11.390078917700112,9.0,23.0,8.293686583990981,6.0,20.0,1013,8.629812438302073,6.0,18.0,7.839091806515301,5.0,18.800000000000068,0.3410852713178294,0.7164291072768192,1364.0,175.9090909090909,0,0,4000,0,0,830,True,2.0,4000,calendar_preserving
45,calendar_demand_x2.40,4800,14863,3600,31.918125,28.0,54.0,555.0,10.589444444444444,8.0,21.0,8.294444444444444,6.0,19.0,2114,10.883632923368022,9.0,20.0,8.519867549668874,6.0,20.0,1219,8.598851517637408,6.0,17.0,8.126333059885152,5.0,19.0,0.2854761408626797,0.754115440716816,1370.0,210.17518248175185,0,0,4800,0,0,1016,True,2.4,4800,calendar_preserving
