seed,activity,wasserstein_min
42,HO2_delivery,1.616845524863136
43,HO2_delivery,1.7881297446514877
44,HO2_delivery,1.5472956517028378
45,HO2_delivery,1.4580432764393614
46,HO2_delivery,1.8235730116417725
47,HO2_delivery,2.613509726170013
48,HO2_delivery,1.9249773810911528
49,HO2_delivery,2.530067074431065
50,HO2_delivery,2.083628798687712
51,HO2_delivery,2.0675761137351794
42,HO2_mixed,4.600792045837546
43,HO2_mixed,4.383889450623525
44,HO2_mixed,5.358327192336036
45,HO2_mixed,4.05897953085313
46,HO2_mixed,3.0084298303109756
47,HO2_mixed,3.6083054626532887
48,HO2_mixed,4.36984392419175
49,HO2_mixed,3.9037932151242813
50,HO2_mixed,3.921125975473802
51,HO2_mixed,3.15723166335614
42,HO2_receive,2.6795499082689234
43,HO2_receive,2.2324126101614703
44,HO2_receive,2.0641463647502496
45,HO2_receive,2.4414977625690977
46,HO2_receive,2.1962072442185896
47,HO2_receive,2.67701793006151
48,HO2_receive,1.9976518629688504
49,HO2_receive,1.9821066481953462
50,HO2_receive,2.1785672820155577
51,HO2_receive,1.7088067706733892
42,LL_delivery,1.5409582126000034
43,LL_delivery,1.5671125790516276
44,LL_delivery,1.6574151136099757
45,LL_delivery,1.2376179655848154
46,LL_delivery,1.6900883423553092
47,LL_delivery,1.7800330572132408
48,LL_delivery,1.3866138854773087
49,LL_delivery,1.3094812603648422
50,LL_delivery,1.0931247708707643
51,LL_delivery,1.319678662962245
42,LL_mixed,2.6999999999999997
43,LL_mixed,5.480519480519481
44,LL_mixed,3.5454545454545454
45,LL_mixed,3.6545454545454548
46,LL_mixed,4.424242424242425
47,LL_mixed,8.28409090909091
48,LL_mixed,5.520202020202021
49,LL_mixed,2.3636363636363638
50,LL_mixed,3.630681818181819
51,LL_mixed,3.8909090909090907
42,LL_receive,4.05819509556437
43,LL_receive,3.8085106382978733
44,LL_receive,4.329092058141985
45,LL_receive,3.6409955184266636
46,LL_receive,4.480295229851019
47,LL_receive,4.0673758865248235
48,LL_receive,3.5721868830883974
49,LL_receive,3.5148627813752706
50,LL_receive,3.434618325761326
51,LL_receive,3.352876633908979
42,RMG_delivery,2.5626833793797053
43,RMG_delivery,2.6836679827278576
44,RMG_delivery,2.5325755142739057
45,RMG_delivery,2.658321761731824
46,RMG_delivery,2.6862340670311076
47,RMG_delivery,2.7447077858188162
48,RMG_delivery,2.5789623457508495
49,RMG_delivery,2.54481233638125
50,RMG_delivery,2.5061365776387263
51,RMG_delivery,2.4680660688839646
42,RMG_mixed,4.170300569451991
43,RMG_mixed,4.727594344552536
44,RMG_mixed,4.623865794353756
45,RMG_mixed,3.9098472425084494
46,RMG_mixed,4.156517486934463
47,RMG_mixed,4.932079739675782
48,RMG_mixed,3.8337940516529865
49,RMG_mixed,4.743832852841173
50,RMG_mixed,4.162109563193611
51,RMG_mixed,4.173411914608446
42,RMG_receive,2.4383353335402713
43,RMG_receive,2.3970461207931217
44,RMG_receive,2.461127581429131
45,RMG_receive,2.4933071570788936
46,RMG_receive,2.356881089102187
47,RMG_receive,2.4318151072447636
48,RMG_receive,2.2471421317641047
49,RMG_receive,2.439504187141804
50,RMG_receive,2.1601925324094293
51,RMG_receive,2.4276705923065687
