seed,activity,wasserstein_min
42,HO2_delivery,1.9139904286732552
43,HO2_delivery,2.286289940112323
44,HO2_delivery,2.3156916924481847
45,HO2_delivery,1.9904652936689602
46,HO2_delivery,2.1698190452796258
47,HO2_delivery,2.0497369193021417
48,HO2_delivery,2.3981241852618713
49,HO2_delivery,2.153133222802377
50,HO2_delivery,2.6251071220015367
51,HO2_delivery,1.6994546832750732
42,HO2_mixed,3.735476146047148
43,HO2_mixed,2.778623188405798
44,HO2_mixed,4.091974734557854
45,HO2_mixed,4.075314009661836
46,HO2_mixed,4.8858695652173925
47,HO2_mixed,2.680980697991811
48,HO2_mixed,4.682438192668372
49,HO2_mixed,4.7793061433884825
50,HO2_mixed,2.8368282672822884
51,HO2_mixed,4.227842809364548
42,HO2_receive,1.6495736954838796
43,HO2_receive,2.3553919770901577
44,HO2_receive,2.1917508676668147
45,HO2_receive,2.6568965517241376
46,HO2_receive,1.7074979173845692
47,HO2_receive,2.296704711745423
48,HO2_receive,2.3351992834751445
49,HO2_receive,1.3730749750174533
50,HO2_receive,2.3693871694114517
51,HO2_receive,1.8664841122061755
42,LL_delivery,1.1144911835730191
43,LL_delivery,1.279398493133066
44,LL_delivery,1.2768191905853252
45,LL_delivery,1.2912919930880968
46,LL_delivery,1.3967166825590867
47,LL_delivery,1.406416456007894
48,LL_delivery,1.701956650198947
49,LL_delivery,1.370762888390075
50,LL_delivery,1.5395078640648003
51,LL_delivery,1.5105318685858888
42,LL_mixed,4.41919191919192
43,LL_mixed,4.614973262032086
44,LL_mixed,2.426573426573427
45,LL_mixed,3.8257575757575766
46,LL_mixed,3.30909090909091
47,LL_mixed,5.09659090909091
48,LL_mixed,2.7012987012987018
49,LL_mixed,2.874125874125875
50,LL_mixed,3.727272727272727
51,LL_mixed,3.9090909090909096
42,LL_receive,4.048453033540835
43,LL_receive,4.371087521071576
44,LL_receive,4.025795130511078
45,LL_receive,4.183743934303845
46,LL_receive,4.675006408613177
47,LL_receive,3.868963188112124
48,LL_receive,4.05906544376678
49,LL_receive,4.286674132138859
50,LL_receive,3.9242475645810115
51,LL_receive,3.9780250477210313
42,RMG_delivery,2.5612329394478266
43,RMG_delivery,2.582789904197239
44,RMG_delivery,2.535174454716709
45,RMG_delivery,2.3779745057824995
46,RMG_delivery,2.4290022382234966
47,RMG_delivery,2.6206507518944457
48,RMG_delivery,2.4118125572214892
49,RMG_delivery,2.738683426763534
50,RMG_delivery,2.6650546580672074
51,RMG_delivery,2.6741832521686035
42,RMG_mixed,4.478625896225557
43,RMG_mixed,3.5981112277019918
44,RMG_mixed,4.366872804652155
45,RMG_mixed,3.776857292759705
46,RMG_mixed,4.749892820450407
47,RMG_mixed,3.8409353069441035
48,RMG_mixed,4.5752334033223905
49,RMG_mixed,3.8225530352311505
50,RMG_mixed,3.97859036048879
51,RMG_mixed,4.0230828334394175
42,RMG_receive,2.587827168034942
43,RMG_receive,2.5870898873011234
44,RMG_receive,2.3846018308310475
45,RMG_receive,2.385974261410043
46,RMG_receive,2.4382275841809293
47,RMG_receive,2.4085346204599105
48,RMG_receive,2.598303515820971
49,RMG_receive,2.4499941368761524
50,RMG_receive,2.3721513942596806
51,RMG_receive,2.42586839548332
