demand_multiplier,metric,n,mean,std,min,max
1.0,mean_turnaround_min,10,32.1951,0.3330936471591391,31.6765,32.696
1.0,median_turnaround_min,10,27.9,0.3162277660168379,27.0,28.0
1.0,p90_turnaround_min,10,53.93000000000004,0.9877584050093686,53.0,55.100000000000136
1.0,mean_rmg_service_min,10,10.956336580200292,0.1858726472125651,10.61187214611872,11.191906005221933
1.0,median_rmg_service_min,10,8.2,0.4216370213557839,8.0,9.0
1.0,p90_rmg_service_min,10,21.84000000000001,0.888444333277738,20.0,23.0
1.0,mean_rmg_pre_service_min,10,8.212835438202934,0.2870657538788521,7.758620689655173,8.86038961038961
1.0,median_rmg_pre_service_min,10,5.5,0.5270462766947299,5.0,6.0
1.0,p90_rmg_pre_service_min,10,19.1,0.5676462121975466,18.0,20.0
1.0,rmg_events,10,1528.6,23.434068267280345,1497.0,1579.0
1.0,rmg_receive_events,10,918.8,23.14591396625619,883.0,957.0
1.0,mean_rmg_receive_service_min,10,11.219057269596856,0.27900547785916735,10.781350482315112,11.596656217345872
1.0,median_rmg_receive_service_min,10,8.8,0.4216370213557839,8.0,9.0
1.0,p90_rmg_receive_service_min,10,21.439999999999998,1.1462014560179934,20.0,23.399999999999977
1.0,mean_rmg_receive_pre_service_min,10,8.224599569915977,0.37063010201595337,7.739549839228296,8.86833855799373
1.0,median_rmg_receive_pre_service_min,10,5.5,0.5270462766947299,5.0,6.0
1.0,p90_rmg_receive_pre_service_min,10,19.1,0.5676462121975466,18.0,20.0
1.0,rmg_delivery_events,10,495.0,17.90716802475106,472.0,525.0
1.0,mean_rmg_delivery_service_min,10,8.739717879738643,0.30927043274134614,8.370762711864407,9.205761316872428
1.0,median_rmg_delivery_service_min,10,6.3,0.48304589153964794,6.0,7.0
1.0,p90_rmg_delivery_service_min,10,17.370000000000005,1.2329278612762005,16.0,19.0
1.0,mean_rmg_delivery_pre_service_min,10,8.17349506440979,0.36603327135862,7.6460905349794235,8.726377952755906
1.0,median_rmg_delivery_pre_service_min,10,5.5,0.5270462766947299,5.0,6.0
1.0,p90_rmg_delivery_pre_service_min,10,18.97000000000001,0.9381423725166305,18.0,20.400000000000034
1.0,mean_inter_arrival_min,10,0.682991495747874,0.027707665817216995,0.6423211605802901,0.7238619309654828
1.0,zero_inter_arrival_share,10,0.5479239619809906,0.011439223011601501,0.5302651325662832,0.5652826413206603
1.0,arrival_rate_per_elapsed_hour,10,87.97997069833838,3.593814229148624,82.88873531444368,93.41121495327103
1.2,mean_turnaround_min,10,32.18383333333334,0.32200901710785135,31.655416666666667,32.62833333333333
1.2,median_turnaround_min,10,27.9,0.3162277660168379,27.0,28.0
1.2,p90_turnaround_min,10,54.209999999999994,1.1337744239682102,52.0,56.0
1.2,mean_rmg_service_min,10,11.024558571305501,0.18097681181973815,10.752741228070175,11.433839479392624
1.2,median_rmg_service_min,10,8.4,0.5163977794943222,8.0,9.0
1.2,p90_rmg_service_min,10,22.129999999999995,0.692900505924999,21.0,23.0
1.2,mean_rmg_pre_service_min,10,8.227584741911427,0.22860289245261015,7.964285714285714,8.656708310700706
1.2,median_rmg_pre_service_min,10,5.6,0.5163977794943222,5.0,6.0
1.2,p90_rmg_pre_service_min,10,19.0,0.6666666666666666,18.0,20.0
1.2,rmg_events,10,1835.3,21.155771474154914,1808.0,1883.0
1.2,rmg_receive_events,10,1100.2,24.800537628581093,1068.0,1141.0
1.2,mean_rmg_receive_service_min,10,11.274526604971365,0.2404327511423149,11.06610800744879,11.832275611967361
1.2,median_rmg_receive_service_min,10,8.9,0.31622776601683794,8.0,9.0
1.2,p90_rmg_receive_service_min,10,22.15,0.6687467549246293,21.0,23.0
1.2,mean_rmg_receive_pre_service_min,10,8.224521517635438,0.25446127042643046,7.812724014336918,8.70713623725672
1.2,median_rmg_receive_pre_service_min,10,5.6,0.5163977794943222,5.0,6.0
1.2,p90_rmg_receive_pre_service_min,10,18.85,0.6687467549246293,18.0,20.0
1.2,rmg_delivery_events,10,599.1,23.057657200061666,565.0,629.0
1.2,mean_rmg_delivery_service_min,10,8.829581522305487,0.189219888654001,8.588235294117647,9.093137254901961
1.2,median_rmg_delivery_service_min,10,6.6,0.5163977794943222,6.0,7.0
1.2,p90_rmg_delivery_service_min,10,17.45,0.8127456893491032,16.0,18.899999999999977
1.2,mean_rmg_delivery_pre_service_min,10,8.322066476545698,0.4545976549729961,7.814516129032258,9.076422764227642
1.2,median_rmg_delivery_pre_service_min,10,5.6,0.6992058987801011,5.0,7.0
1.2,p90_rmg_delivery_pre_service_min,10,19.1,1.4491376746189437,18.0,22.0
1.2,mean_inter_arrival_min,10,0.5686952897040435,0.02196770177081067,0.5339724885368904,0.5989995831596499
1.2,zero_inter_arrival_share,10,0.6043768236765319,0.009911980882073837,0.5881617340558566,0.6227594831179658
1.2,arrival_rate_per_elapsed_hour,10,105.64851041010391,4.140159415807701,100.1670146137787,112.36533957845434
1.5,mean_turnaround_min,10,32.099000000000004,0.23374756881286654,31.761666666666667,32.45133333333333
1.5,median_turnaround_min,10,28.0,0.0,28.0,28.0
1.5,p90_turnaround_min,10,54.5,0.7071067811865476,54.0,56.0
1.5,mean_rmg_service_min,10,11.094702976617722,0.19048780687414596,10.784728213977568,11.34978354978355
1.5,median_rmg_service_min,10,8.4,0.5163977794943222,8.0,9.0
1.5,p90_rmg_service_min,10,22.0,0.4714045207910317,21.0,23.0
1.5,mean_rmg_pre_service_min,10,8.083538807089688,0.15968348091273787,7.889664195377235,8.387968613775065
1.5,median_rmg_pre_service_min,10,5.2,0.4216370213557839,5.0,6.0
1.5,p90_rmg_pre_service_min,10,18.8,0.6324555320336759,18.0,20.0
1.5,rmg_events,10,2292.2,30.86817850869151,2256.0,2358.0
1.5,rmg_receive_events,10,1374.6,27.609177218212544,1343.0,1428.0
