case:concept:name,concept:name,org:resource,enabled:timestamp,start:timestamp,time:timestamp,gate_utilization,process_flow_type,n_stops,n_containers,target_rank_group,vc_utilization,mt_utilization,target_rank,n_deliveries,target_utilization,target_utilization_bin,rmg_utilization,n_receives,visit_complexity,target_demand_bin,has_reefer,target_demand,primary_target_area,gate_demand,mt_demand,has_hazardous,target_area,vc_demand,rmg_demand,full_ratio
case_14,Gate In,Res.GateIn,2026-04-20 18:23:00,2026-04-20 18:23:00,2026-04-20 18:23:00,0.618,receive,1,1,non_rmg,0.4741,0.9,,0,0.4741,low,0.58,1,4,very_high,0,30.17,VC,185.0,20.08,0,VC,30.17,143.08,1.0
case_13,HO2_receive,HO2,2026-04-20 18:23:00,2026-04-20 18:24:00,2026-04-20 18:36:00,0.63,delivery,1,1,low,0.49,0.86,12.0,1,0.43,low,0.61,0,3,low,0,4.0,T06,38.0,10.0,0,T06,6.0,32.0,1.0
case_15,Gate In,Res.GateIn,2026-04-20 18:24:00,2026-04-20 18:24:00,2026-04-20 18:24:00,0.6359,delivery,1,1,non_rmg,0.5259,0.8341,,1,0.8341,very_high,0.6159,0,3,very_high,0,23.88,MT,109.48,23.88,0,MT,15.57,85.87,0.0
case_14,LL_delivery,LL,2026-04-20 18:23:00,2026-04-20 18:24:00,2026-04-20 18:35:00,0.618,receive,1,1,non_rmg,0.4741,0.9,,0,0.4741,low,0.58,1,4,very_high,0,30.17,VC,185.0,20.08,0,VC,30.17,143.08,1.0
case_16,Gate In,Res.GateIn,2026-04-20 18:24:00,2026-04-20 18:24:00,2026-04-20 18:24:00,0.5634,delivery,1,1,non_rmg,0.42,0.8334,,1,0.8334,very_high,0.5268,0,3,very_high,0,24.75,MT,114.7,24.75,0,MT,12.55,92.2,0.0
case_17,Gate In,Res.GateIn,2026-04-20 18:24:00,2026-04-20 18:24:00,2026-04-20 18:24:00,0.62,receive,1,1,mid,0.4663,0.9132,10.0,0,0.6637,high,0.5868,1,5,low,0,4.27,T11,147.33,5.73,0,T11,32.2,120.4,1.0
case_18,Gate In,Res.GateIn,2026-04-20 18:25:00,2026-04-20 18:25:00,2026-04-20 18:25:00,0.6,receive,1,1,mid,0.4655,0.7645,8.0,0,0.65,high,0.59,1,5,medium,0,5.73,T16,98.97,12.28,0,T16,11.35,52.2,1.0
case_1,RMG_receive,T14,2026-04-20 18:17:00,2026-04-20 18:26:00,2026-04-20 18:41:00,0.64,receive,1,1,low,0.524,0.8179,17.0,0,0.5121,medium,0.62,1,4,low,0,3.42,T09,112.42,19.0,0,T09,9.58,77.33,1.0
case_6,RMG_receive,T20,2026-04-20 18:19:00,2026-04-20 18:26:00,2026-04-20 18:30:00,0.603,mixed,2,2,low,0.473,0.847,16.0,1,0.4791,low,0.5661,1,8,medium,0,5.22,T11,108.67,11.95,0,T11,18.83,64.97,0.5
case_19,Gate In,Res.GateIn,2026-04-20 18:26:00,2026-04-20 18:26:00,2026-04-20 18:26:00,0.6491,receive,1,1,mid,0.53,0.82,8.0,0,0.7082,high,0.6291,1,5,low,0,2.9,T25,47.97,12.27,0,T25,6.73,37.5,1.0
case_20,Gate In,Res.GateIn,2026-04-20 18:26:00,2026-04-20 18:26:00,2026-04-20 18:26:00,0.64,mixed,1,2,top_3,0.5311,0.8222,2.0,1,0.7689,very_high,0.6289,1,13,high,0,8.35,T23,166.0,19.75,0,T23,22.0,126.55,1.0
case_21,Gate In,Res.GateIn,2026-04-20 18:27:00,2026-04-20 18:27:00,2026-04-20 18:27:00,0.6335,receive,1,1,mid,0.5235,0.8335,8.0,0,0.7135,high,0.61,1,7,low,1,1.8,T19,71.2,0.0,0,T19,17.8,82.4,1.0
case_20,RMG_delivery,T12,2026-04-20 18:26:00,2026-04-20 18:27:00,2026-04-20 18:43:00,0.64,mixed,1,2,top_3,0.5311,0.8222,2.0,1,0.7689,very_high,0.6289,1,13,high,0,8.35,T23,166.0,19.75,0,T23,22.0,126.55,1.0
case_22,Gate In,Res.GateIn,2026-04-20 18:27:00,2026-04-20 18:27:00,2026-04-20 18:27:00,0.5544,delivery,1,1,top_3,0.4056,0.74,3.0,1,0.6744,high,0.5444,0,4,medium,0,6.17,T14,152.47,32.5,0,T14,20.87,120.3,1.0
case_23,Gate In,Res.GateIn,2026-04-20 18:27:00,2026-04-20 18:27:00,2026-04-20 18:27:00,0.508,receive,1,1,low,0.35,0.87,12.0,0,0.458,low,0.45,1,5,medium,0,4.6,T13,185.0,37.2,0,T13,36.0,122.4,1.0
case_24,Gate In,Res.GateIn,2026-04-20 18:27:00,2026-04-20 18:27:00,2026-04-20 18:27:00,0.6091,receive,1,1,mid,0.45,0.8582,7.0,0,0.7009,high,0.5791,1,4,medium,0,6.9,T13,167.8,33.03,0,T13,19.77,116.33,1.0
case_8,RMG_delivery,T06,2026-04-20 18:21:00,2026-04-20 18:28:00,2026-04-20 18:33:00,0.6327,receive,1,1,non_rmg,0.47,0.8727,,0,0.47,low,0.6127,1,5,very_high,0,31.83,VC,196.83,39.17,0,VC,31.83,136.08,1.0
case_25,Gate In,Res.GateIn,2026-04-20 18:28:00,2026-04-20 18:28:00,2026-04-20 18:28:00,0.56,delivery,1,1,non_rmg,0.5,0.8318,,1,0.8318,very_high,0.5082,0,3,very_high,0,21.73,MT,136.13,21.73,0,MT,41.53,103.0,0.0
case_19,RMG_delivery,T27,2026-04-20 18:26:00,2026-04-20 18:29:00,2026-04-20 18:36:00,0.6491,receive,1,1,mid,0.53,0.82,8.0,0,0.7082,high,0.6291,1,5,low,0,2.9,T25,47.97,12.27,0,T25,6.73,37.5,1.0
case_9,Gate Out,Res.GateOut,2026-04-20 18:29:00,2026-04-20 18:30:00,2026-04-20 18:30:00,0.6,receive,1,1,mid,0.42,0.9145,5.0,0,0.7,high,0.56,1,4,low,0,3.65,T20,73.08,6.78,0,T20,7.3,71.15,1.0
case_26,Gate In,Res.GateIn,2026-04-20 18:30:00,2026-04-20 18:30:00,2026-04-20 18:30:00,0.5072,delivery,1,1,mid,0.35,0.87,10.0,1,0.5172,medium,0.45,0,2,very_high,0,11.8,T14,181.2,38.7,0,T14,36.3,115.5,0.0
case_27,Gate In,Res.GateIn,2026-04-20 18:30:00,2026-04-20 18:30:00,2026-04-20 18:30:00,0.63,receive,1,1,non_rmg,0.47,0.87,,0,0.47,low,0.61,1,7,very_high,0,14.9,VC,94.23,26.03,0,VC,14.9,67.33,1.0
case_28,Gate In,Res.GateIn,2026-04-20 18:30:00,2026-04-20 18:30:00,2026-04-20 18:30:00,0.63,receive,2,2,mid,0.4784,0.87,7.0,0,0.6916,high,0.61,2,10,low,0,1.95,T10,28.65,6.0,0,T10,2.95,21.35,1.0
case_29,Gate In,Res.GateIn,2026-04-20 18:30:00,2026-04-20 18:30:00,2026-04-20 18:30:00,0.6013,receive,1,1,low,0.5713,0.81,15.0,0,0.5027,low,0.5613,1,4,medium,0,4.6,T09,38.4,8.27,0,T09,9.4,30.6,1.0
case_30,Gate In,Res.GateIn,2026-04-20 18:30:00,2026-04-20 18:30:00,2026-04-20 18:30:00,0.5924,delivery,1,1,top_3,0.47,0.7048,3.0,1,0.6876,high,0.5976,0,3,high,0,9.77,T14,71.97,3.2,0,T14,6.0,69.6,0.0
case_11,RMG_receive,T19,2026-04-20 18:22:00,2026-04-20 18:31:00,2026-04-20 18:48:00,0.62,delivery,1,1,mid,0.4698,0.9149,7.0,1,0.69,high,0.5851,0,3,high,0,8.85,T26,150.75,5.05,0,T26,40.4,116.3,0.0
case_23,RMG_receive,T15,2026-04-20 18:27:00,2026-04-20 18:31:00,2026-04-20 18:41:00,0.508,receive,1,1,low,0.35,0.87,12.0,0,0.458,low,0.45,1,5,medium,0,4.6,T13,185.0,37.2,0,T13,36.0,122.4,1.0
case_26,LL_delivery,LL,2026-04-20 18:30:00,2026-04-20 18:31:00,2026-04-20 18:52:00,0.5072,delivery,1,1,mid,0.35,0.87,10.0,1,0.5172,medium,0.45,0,2,very_high,0,11.8,T14,181.2,38.7,0,T14,36.3,115.5,0.0
case_31,Gate In,Res.GateIn,2026-04-20 18:31:00,2026-04-20 18:31:00,2026-04-20 18:31:00,0.6351,mixed,1,2,top_3,0.5251,0.8351,1.0,1,0.7851,very_high,0.61,1,14,medium,1,5.13,T21,92.97,0.0,0,T21,28.27,96.37,0.5
case_32,Gate In,Res.GateIn,2026-04-20 18:31:00,2026-04-20 18:31:00,2026-04-20 18:31:00,0.59,receive,1,1,non_rmg,0.393,0.75,,0,0.75,very_high,0.6,1,4,very_high,0,25.48,MT,173.02,25.48,0,MT,51.32,141.5,1.0
case_27,RMG_delivery,T12,2026-04-20 18:30:00,2026-04-20 18:32:00,2026-04-20 18:34:00,0.63,receive,1,1,non_rmg,0.47,0.87,,0,0.47,low,0.61,1,7,very_high,0,14.9,VC,94.23,26.03,0,VC,14.9,67.33,1.0
case_4,Gate Out,Res.GateOut,2026-04-20 18:28:00,2026-04-20 18:33:00,2026-04-20 18:33:00,0.62,receive,1,1,mid,0.4672,0.9136,9.0,0,0.6664,high,0.5864,1,5,medium,0,6.27,T15,148.17,5.57,0,T15,34.2,119.4,1.0
case_7,Gate Out,Res.GateOut,2026-04-20 18:28:00,2026-04-20 18:33:00,2026-04-20 18:33:00,0.55,receive,1,1,non_rmg,0.4684,0.7568,,0,0.7568,very_high,0.52,1,5,very_high,0,21.27,MT,151.5,21.27,0,MT,24.93,135.5,1.0
case_31,LL_delivery,LL,2026-04-20 18:31:00,2026-04-20 18:33:00,2026-04-20 18:36:00,0.6351,mixed,1,2,top_3,0.5251,0.8351,1.0,1,0.7851,very_high,0.61,1,14,medium,1,5.13,T21,92.97,0.0,0,T21,28.27,96.37,0.5
case_10,Gate Out,Res.GateOut,2026-04-20 18:32:00,2026-04-20 18:34:00,2026-04-20 18:34:00,0.63,mixed,2,2,low,0.4906,0.8594,15.0,1,0.4306,low,0.61,1,11,low,0,3.53,T06,35.43,7.9,0,T06,5.53,30.37,1.0
case_32,LL_delivery,LL,2026-04-20 18:31:00,2026-04-20 18:35:00,2026-04-20 18:39:00,0.59,receive,1,1,non_rmg,0.393,0.75,,0,0.75,very_high,0.6,1,4,very_high,0,25.48,MT,173.02,25.48,0,MT,51.32,141.5,1.0
case_5,Gate Out,Res.GateOut,2026-04-20 18:34:00,2026-04-20 18:36:00,2026-04-20 18:36:00,0.5948,mixed,1,2,top_3,0.3997,0.75,2.0,1,0.7497,very_high,0.6,1,15,very_high,0,13.47,T22,173.53,25.87,1,T22,25.6,115.47,1.0
case_27,Gate Out,Res.GateOut,2026-04-20 18:34:00,2026-04-20 18:36:00,2026-04-20 18:36:00,0.63,receive,1,1,non_rmg,0.47,0.87,,0,0.47,low,0.61,1,7,very_high,0,14.9,VC,94.23,26.03,0,VC,14.9,67.33,1.0
case_16,RMG_receive,T10,2026-04-20 18:24:00,2026-04-20 18:37:00,2026-04-20 19:03:00,0.5634,delivery,1,1,non_rmg,0.42,0.8334,,1,0.8334,very_high,0.5268,0,3,very_high,0,24.75,MT,114.7,24.75,0,MT,12.55,92.2,0.0
case_6,Gate Out,Res.GateOut,2026-04-20 18:30:00,2026-04-20 18:38:00,2026-04-20 18:38:00,0.603,mixed,2,2,low,0.473,0.847,16.0,1,0.4791,low,0.5661,1,8,medium,0,5.22,T11,108.67,11.95,0,T11,18.83,64.97,0.5
case_25,RMG_receive,T12,2026-04-20 18:28:00,2026-04-20 18:38:00,2026-04-20 18:45:00,0.56,delivery,1,1,non_rmg,0.5,0.8318,,1,0.8318,very_high,0.5082,0,3,very_high,0,21.73,MT,136.13,21.73,0,MT,41.53,103.0,0.0
case_30,RMG_delivery,T20,2026-04-20 18:30:00,2026-04-20 18:38:00,2026-04-20 18:56:00,0.5924,delivery,1,1,top_3,0.47,0.7048,3.0,1,0.6876,high,0.5976,0,3,high,0,9.77,T14,71.97,3.2,0,T14,6.0,69.6,0.0
case_12,Gate Out,Res.GateOut,2026-04-20 18:37:00,2026-04-20 18:40:00,2026-04-20 18:40:00,0.5646,receive,1,1,low,0.3846,0.8154,20.0,0,0.2616,low,0.55,1,4,high,0,10.73,T09,171.0,22.07,0,T09,32.2,127.0,1.0
case_8,Gate Out,Res.GateOut,2026-04-20 18:33:00,2026-04-20 18:41:00,2026-04-20 18:41:00,0.6327,receive,1,1,non_rmg,0.47,0.8727,,0,0.47,low,0.6127,1,5,very_high,0,31.83,VC,196.83,39.17,0,VC,31.83,136.08,1.0
