log,fitness_log,fitness_perc_fit_traces,fitness_average_trace,precision_token,compute_seconds,generalization,simplicity
train,1.0,100.0,1.0,0.7814601293103448,2.1942641735076904,0.9762109204093145,0.5
test,1.0,100.0,1.0,0.7641293904131525,0.46117305755615234,0.948754307321857,0.5
